"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","phylum","order","scientificNameAuthorship","identifiedBy","county","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","eventTime","dayIdentified","individualCount","relatedCatalogItem","sex"
"1","2020-09-23 10:44:21-03","E","E","165322","PreservedSpecimen","Plantae","Verbenaceae","Stachytarpheta","radlkoferiana","Stachytarpheta radlkoferiana","Ganev, W.","3326","1994","06","08","E. Tropical South America","BR","Bahia","herbarium specimen of unspecif","BGBASE:203429","<a href=http://data.rbge.org.uk/herb/E00165322 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00165322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:44:21-03","E","E","165326","PreservedSpecimen","Plantae","Verbenaceae","Stachytarpheta","radlkoferiana","Stachytarpheta radlkoferiana","Stannard, B.; Silva, T.",NA,"1992","03","24","E. Tropical South America","BR","Bahia","herbarium specimen of unspecif","BGBASE:203439","<a href=http://data.rbge.org.uk/herb/E00165326 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00165326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:44:21-03","E","E","291688","PreservedSpecimen","Plantae","Verbenaceae","Stachytarpheta","radlkoferiana","Stachytarpheta radlkoferiana","Atkins, S.; Sakuragui, C.M.; Harley, R.M.; Sano, P.T. & Souza, V.C.","14586","1994","02","26","E. Tropical South America","BR","Bahia","herbarium specimen of unspecif","BGBASE:322763","<a href=http://data.rbge.org.uk/herb/E00291688 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00291688","Municipio de Abaira","-41.901667","-13.290833","-41.901667","-13.290833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:44:21-03","E","E","84733","PreservedSpecimen","Plantae","Verbenaceae","Stachytarpheta","radlkoferiana","Stachytarpheta radlkoferiana","Atkins, S.; Sakuragui, C.M.; Harley, R.M.; Sano, P.T. & Souza, V.C.",NA,"1994","02","20","E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:93887","<a href=http://data.rbge.org.uk/herb/E00084733 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00084733",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:44:21-03","E","E","165310","PreservedSpecimen","Plantae","Verbenaceae","Stachytarpheta","radlkoferiana","Stachytarpheta radlkoferiana","Harley, R.M.","27796","1988","12","26","E. Tropical South America","BR","Bahia","herbarium specimen of unspecif","BGBASE:203328","<a href=http://data.rbge.org.uk/herb/E00165310 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00165310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1018489","PreservedSpecimen","Plantae","Verbenaceae","Stachytarpheta","radlkoferiana","Stachytarpheta radlkoferiana","S. Atkins","CFCR14258","1994","02","20","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1259861' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018489","3-5 km N da cidade, em direção a Palmeiras. Campo rupestre, próximo ao Rio Moreira.","-41.3894","-13.0058",NA,NA,"Magnoliophyta","Lamiales","Mansf.","S. Atkins","Mucugê","NY01018489_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","684975","PreservedSpecimen","Plantae","Verbenaceae","Stachytarpheta","radlkoferiana","Stachytarpheta radlkoferiana","R. M. Harley","27796","1988","12","26","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=884061' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684975","As vertentes das serras ao oeste de Catolés, perto de Catolé de Cima","-41.88","-13.3",NA,NA,"Magnoliophyta","Lamiales","Mansf.","S. Atkins","Abaíra","NY00684975_01","1450","1450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","684976","PreservedSpecimen","Plantae","Verbenaceae","Stachytarpheta","radlkoferiana","Stachytarpheta radlkoferiana","R. M. Harley","52817","1992","03","24","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=884062' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684976","Garimpo do Bicota","-41.85","-13.33",NA,NA,"Magnoliophyta","Lamiales","Mansf.","S. Atkins","Abaíra","NY00684976_01","1400","1750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","583477","PreservedSpecimen","Plantae","Verbenaceae","Stachytarpheta","radlkoferiana","Stachytarpheta radlkoferiana","G. G. Hatschbach","47946","1984","06","15","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=302409' target='other'> <mi>dwc_moreinfo</mi></a>","NY00583477","Rio Paraguaçu","-41.3706","-13.0056",NA,NA,"Magnoliophyta","Lamiales","Mansf.","H. N. Moldenke","Mucugê","NY00583477_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1018598","PreservedSpecimen","Plantae","Verbenaceae","Stachytarpheta","radlkoferiana","Stachytarpheta radlkoferiana","S. Atkins","CFCR14686","1994","03","01","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1261267' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018598","Estrada entre o Distrito de Mato Grosso e o pé do Morro do Itabira.","-41.86806","-13.39444",NA,NA,"Magnoliophyta","Lamiales","Mansf.","S. Atkins","Rio de Contas","NY01018598_01","1400","1600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
