"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","yearIdentified","monthIdentified","dayIdentified","phylum","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean"
"1","2020-12-20 21:16:31-03","UFV","VIC","39929","PreservedSpecimen","Plantae","Cactaceae","Brasilicereus","markgrafii","Brasilicereus markgrafii","Backeb & Voll","Santos, M.R.","Santos, M.R.","82","2011","03","17","Brasil","Minas Gerais","Cristália","Campo rupestre.","-42.8622016906738","-16.8003005981445","30029","Colunar, sobre areia cascalho ou rocha.","VIC039929","VIC039929","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-20 21:16:31-03","UFV","VIC","39937","PreservedSpecimen","Plantae","Cactaceae","Brasilicereus","markgrafii","Brasilicereus markgrafii","Backeb & Voll","Santos, M.R.","Santos, M.R.","80","2011","03","17","Brasil","Minas Gerais","Cristália","Campo rupestre.","-42.8622016906738","-16.8003005981445","30029","Colunar , sobre areia ou rocha.","VIC039937","VIC039937","auto","2011","03","17",NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:27:12-03","UNICAMP","UEC","114520","S","Plantae","Cactaceae","Brasilicereus","markgrafii","Brasilicereus markgrafii","Backeb. & Voll","Zappi, DC","Aona, LYS; Belinello, R","691","2000","08","16","Brazil","Minas Gerais","Grão Mogol","Estrada p/ Cristália, afloramento. 13 km de Grão -Mogol.","-45.886111","-16.653056",NA,"Até 1 m, cultivo.","UEC041449","UEC041449",NA,"2001","08",NA,"Magnoliopsida","-45.886111","-16.653056","620","620",NA
"4","2021-03-01 16:27:12-03","UNICAMP","UEC","114521","S","Plantae","Cactaceae","Brasilicereus","markgrafii","Brasilicereus markgrafii","Backeb. & Voll","Zappi, DC","Aona, LYS; Belinello, R","699","2000","08","16","Brazil","Minas Gerais","Grão Mogol","Parque Estadual G.M., inicio da trilha para Serra do Barão.","-45.886111","-16.653056",NA,"Até 1 m, espinho central amarelo, botão com perianto externo esverdeado com ápice vermelho, cultivo.","UEC041450","UEC041450",NA,"2001","08",NA,"Magnoliopsida","-45.886111","-16.653056",NA,NA,NA
"5","2021-03-01 16:27:12-03","UNICAMP","UEC","117839","S","Plantae","Cactaceae","Brasilicereus","markgrafii","Brasilicereus markgrafii","Backeb. & Voll","Aona, LYS","Harley, RM; Giulietti, AM; Stannard, BL; Hind, DJN; Kameyama, C; Prado, J","25069","1988","10","15","Brazil","Minas Gerais","Grão Mogol","Ca. 7 Km ao direção sul da cidade, na estrada para Francisco Sá.","-42.933333","-16.616667",NA,"Cactáceas cespitosas, com raiz lenhosa, não tuberosa, atingindo 2,5 m de altura, cladódios com 10-14 costelas, 1,8-2,0 cm de diâmetro, verde-amarelados, crescimento secundário dos espinhos acentuado, maiores com 5 cm de comprimento. Fl","UEC041452","UEC041452",NA,"2000",NA,NA,"Magnoliopsida","-42.933333","-16.616667","900","900",NA
"6","2021-03-01 16:27:12-03","UNICAMP","UEC","110682","S","Plantae","Cactaceae","Brasilicereus","markgrafii","Brasilicereus markgrafii","Backeb. & Voll","Gonzaga, DR","Vitta, FA; Forzza, RC","369","1996","10","22","Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328","26557","Frutos imaturos verdes passando a vináceo.; Afloramento rochoso 500 m antes da estátua do Juquinha.","UEC090782","UEC090782","auto","2015","09","14","Magnoliopsida",NA,NA,NA,NA,NA
"7","2020-12-21 16:19:44-03","MBM","MBM","227765","PreservedSpecimen","Plantae","Cactaceae","Brasilicereus","markgrafii","Brasilicereus markgrafii","Backeb. & Voll.","Zappi, D.C.","Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","68082","1998","07","19","Brazil","Minas Gerais","Cristália","Sonora","-42.8622016906738","-16.8003005981445","30029",NA,"MBM227765","MBM227765","auto",NA,NA,NA,NA,NA,NA,NA,NA,"Southern America"
"8","2020-12-11 11:34:14-03","UFMG","BHCB","21330","PreservedSpecimen","Plantae","Cactaceae","Brasilicereus","markgrafii","Brasilicereus markgrafii","Backeb. & Voll",NA,"Taylor, NP; Zappi, DC","s.n.","1991","01","31","Brasil","Minas Gerais","Grão Mogol",NA,"-42.8897018432617","-16.5594005584717","67219",NA,NA,NA,"auto",NA,NA,NA,"Dicotyledon",NA,NA,NA,NA,"Southern America"
"9","2020-12-11 11:34:14-03","UFMG","BHCB","21330","PreservedSpecimen","Plantae","Cactaceae","Brasilicereus","markgrafii","Brasilicereus markgrafii","Backeb. & Voll",NA,"Taylor, NP; Zappi, DC","s.n.","1991","01","31","Brasil","Minas Gerais","Grão Mogol",NA,"-42.8897018432617","-16.5594005584717","67219",NA,NA,NA,"auto",NA,NA,NA,"Dicotyledon",NA,NA,NA,NA,"Southern America"
"10","2008-05-27 22:02:00-03","MO","MOBOT","1439290","PreservedSpecimen","Plantae","Cactaceae","Brasilicereus","markgrafii","Brasilicereus markgrafii","Backeb. & Voll","N.P. Taylor (K)","Howard S. Irwin|et al.","Irwin 23684","1969","2","21","Brazil","Minas Gerais",NA,"Serra do Espinhaco, 18 km west of Grao Mogol.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"950.00000000",NA,"South America"
