"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","county","locality","decimalLongitude","decimalLatitude","yearIdentified","day","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","class","minimumElevationInMeters","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","537908","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Stigmaphyllon","vitifolium","Stigmaphyllon vitifolium","A.Juss.","F. J. Niedenzu","E. H. G. Ule","776","1887","10","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=544047' target='other'> <mi>dwc_moreinfo</mi></a>","NY00537908","NY00537908_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-30 19:32:00-03","NY","NYBG","02361279","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Stigmaphyllon","vitifolium","Stigmaphyllon vitifolium",NA,NA,"Schwake","5072",NA,NA,"South America",NA,NA,"sheet","Ex Hort. Berol. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2547343' target='other'> <mi>dwc_moreinfo</mi></a>","NY02361279","NY02361279_01 NY02361279_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","537907","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Stigmaphyllon","vitifolium","Stigmaphyllon vitifolium","A.Juss.","C. E. Anderson","Wilkes Expedition",NA,"1838",NA,"South America","Brazil","Rio de Janeiro","sheet","Herbarium of the U. S. South Pacific Exploring Expedition under the command of Capt. Wilkes, U. S. N. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=544046' target='other'> <mi>dwc_moreinfo</mi></a>","NY00537907","NY00537907_01","Rio de Janeiro","Near Rio Janeiro","-43.448386","-22.913514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","537906","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Stigmaphyllon","vitifolium","Stigmaphyllon vitifolium","A.Juss.","C. E. Anderson","Wilkes Expedition",NA,"1838",NA,"South America","Brazil","Rio de Janeiro","sheet","Herbarium of the U. S. South Pacific Exploring Expedition under the command of Capt. Wilkes, U. S. N. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=544045' target='other'> <mi>dwc_moreinfo</mi></a>","NY00537906","NY00537906_01","Rio de Janeiro","Near Rio Janeiro","-43.448386","-22.913514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-30 19:32:00-03","NY","NYBG","02361278","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Stigmaphyllon","vitifolium","Stigmaphyllon vitifolium",NA,NA,"F. Sellow","1285",NA,NA,"South America",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2547342' target='other'> <mi>dwc_moreinfo</mi></a>","NY02361278","NY02361278_01 NY02361278_02 NY02361278_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:31:13-03","UFRJ","RFA","34826","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Stigmaphyllon","vitifolium","Stigmaphyllon vitifolium","A.Juss.","R.F. Almeida","Cláudia M. Vieira; M.A. Louzada","1317","2004","01",NA,"Brasil","Rio de Janeiro",NA,"Liana, heliófila. Folhas discolores, faceadaxial verde, abaxial verde-avermelhada. Pedúnculo verde. Flores com glândulas verdes, pétalas amarelo-vivas, estigmas foliáceos verdes","RFA22396",NA,"Itaocara","Trecho entre Itaocara e a ilha do Capixete, ilha do Estado","-42.076099395752","-21.6692008972168","2015","17","22830","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-08 17:42:26-03","EAO","IAN","40275","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malpighiaceae","Stigmaphyllon","vitifolium","Stigmaphyllon vitifolium","A.Juss.",NA,"Gaudichaud","s.n.",NA,NA,"Southern America","Brasil",NA,NA,NA,"IAN040275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 10:56:03-03","ESALQ","ESA","140922","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Stigmaphyllon","vitifolium","Stigmaphyllon vitifolium","A.Juss.","Sebastiani, R.","Andrade, R.C.; Koch, I.; Rodrigues, R.R.; Souza, V.C; Brito, A.C.S.; Cardinelli; L.S.; Le Bourlegat, J.M.G.; Zaniratto, C.P.",NA,"2017","04",NA,"Brasil","Rio de Janeiro",NA,"Liana, fruto imaturo verde","ESA140922",NA,"Rio de Janeiro","Complexo Guandú do Sapê, Trilha da Mata, Pista de Reação, perto do Paiol","-43.1609","-22.7801","2017","25",NA,NA,"06","23","-43.1609","-22.7801",NA,NA,NA,NA,NA,NA
"9","2021-01-14 15:31:31-03","MN","R","7896","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Stigmaphyllon","vitifolium","Stigmaphyllon vitifolium","A. Juss.","Anderson, C.","Glaziou, A.F.M.","10372","1867","10",NA,"Brasil","Rio de Janeiro",NA,"Plantas do Brasil Central","R000007896","R000007896_001","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","1993","04","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-21 14:38:43-03","UFJF","CESJ","18435","PreservedSpecimen","Plantae","Angiosperma",NA,"Malpighiaceae","Stigmaphyllon","vitifolium","Stigmaphyllon vitifolium","A. Juss.","R.F. Almeida","L. Krieger","CESJ18435","1981","07","América do Sul","Brasil","Minas Gerais",NA,"Cipó volúvel robusto, sobre terra revolvida de mineração. Flores amarelas.","CESJ018435",NA,"Araçuaí",NA,"-42.0703010559082","-16.8497009277344","2016","16","46442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
