"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","individualCount","verbatimLongitude","verbatimLatitude","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","388371","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Linaceae","Linum","smithii","Linum smithii","Mildner","possible isotype","R. Reitz","7999","1958","12","12","South America","Brazil","Santa Catarina","Serra do Oratório, Bom Jardim, S. Joaquim","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=548724' target='other'> <mi>dwc_moreinfo</mi></a>","NY00388371","NY00388371_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","497182","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Linaceae","Linum","smithii","Linum smithii","Mildner",NA,"L. B. Smith","14219","1965","01","03","South America","Brazil","Santa Catarina","Santa Barbara","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=548725' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497182","NY00497182_01","J. R. McDill","Sao Joaquim","-49.5","-28.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:31:39-03","MBM","MBM","347763","PreservedSpecimen","Plantae",NA,NA,"Linaceae","Linum","smithii","Linum smithii","Mildner",NA,"Silva, J.M.; Cordeiro, J.; Poliquesi, C.B.; Vaz, J.; Cordeiro, J.; Poliquesi, C.B.; Vaz, J.","7298","2008","11","18","Southern America","Brazil","Rio Grande do Sul","Pousada das Trutas",NA,NA,NA,"Ereta, 70cm, flor amarela.; Campo de altitude.","MBM347763","MBM347763","Soares-Silva, J.P.","São José dos Ausentes","-50.0657997131348","-28.7483005523682","2020","01","22","42598","auto",NA,NA,NA,NA,NA
"4","2018-06-22 05:25:00-03","MO","MOBOT","2452627","PreservedSpecimen","Plantae",NA,NA,"Linaceae","Linum","smithii","Linum smithii","Mildner",NA,"Pe. Raulino Reitz|Roberto M. Klein","Reitz 7999","1958","12","15","South America","Brazil","Santa Catarina","São Joaquim. Serra do Oratório, Bom Jardim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-09 13:31:23-03","UNESP-IBILCE","SJRP","34323","PreservedSpecimen","Plantae","Tracheophyta","Malpighiales","Linaceae","Linum","smithii","Linum smithii","Mildner",NA,"J. M. Silva; J. Cordeiro; C. B. Poliquesi; J. Vaz","7298.0","2008","11","18","América do Sul","Brasil","Rio Grande do Sul","Pousada das Trutas",NA,NA,NA,"Ereta, 70 cm, flor amarela, campo de altitude.",NA,NA,"J. P. Soares-Silva","São José dos Ausentes","-50.0657997131348","-28.7483005523682","2020","08","29","42598","auto","Magnoliopsida",NA,NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","1954691","PreservedSpecimen","Plantae",NA,"Linales","Linaceae","Linum","smithii","Linum smithii","Mildner",NA,"R. Reitz","2677","1948","12","21","South America","Brazil","Santa Catarina","Campo dos Padres","1700",NA,NA,NA,"US01854027","US01854027_01 US01854027_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US","2251675","PreservedSpecimen","Plantae",NA,"Linales","Linaceae","Linum","smithii","Linum smithii","Mildner",NA,"L. Smith & R. Reitz","10395","1957","1","24","South America","Brazil","Santa Catarina","Between Fazenda Santo Antônio and Fazenda dos Padres, Campo dos Padres.","1400","1650",NA,NA,"US01854026","US01854026_01 US01854026_02",NA,"Bom Retiro","-49.489200592041","-27.7971992492676",NA,NA,NA,"35974","auto","Dicotyledonae","1",NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","2343020","PreservedSpecimen","Plantae",NA,"Linales","Linaceae","Linum","smithii","Linum smithii","Mildner",NA,"O. Barth","505","1959","10","25","South America - Neotropics","Brazil","Rio de Janeiro","Serra dos Orgãos",NA,NA,NA,NA,"US01854028","US01854028_01 US01854028_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","2562143","PreservedSpecimen","Plantae",NA,"Linales","Linaceae","Linum","smithii","Linum smithii","Mildner",NA,"L. Smith & R. Reitz","14219","1965","1","3","South America","Brazil","Santa Catarina","Campo and boggy brook, Santa Barbara","1400",NA,NA,NA,"US01854025","US01854025_01 US01854025_02",NA,"São Joaquim","-49.5","-28.12",NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","2323647","PreservedSpecimen","Plantae",NA,"Linales","Linaceae","Linum","smithii","Linum smithii","Mildner","Holotype","R. Reitz & R. M. Klein","7999","1958","12","15","South America","Brazil","Santa Catarina","Sao Joaquim.",NA,NA,NA,NA,"US00101139","US00101139_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA,NA
