"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","class","order","stateProvince","individualCount"
"1","2016-02-02 14:37:51-02","BGBM","B","B 10 0243629","S","Plantae","Bromeliaceae","Pitcairnia","encholirioides","Pitcairnia encholirioides","L.B.Sm.","isotype","J. Santos Lima & A. C. Brade","13249","1934","03","04","Middle and South America","Brazil","Est. do Rio, Sta. Magdalena; Pedra das Flores.","I.B.V. Jardim Botanico do Rio de Janeiro, Herbario No. 28.486 <a href=http://herbarium.bgbm.org/object/B100243629 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100243629","B100243629 B100243629_2",NA,NA,NA,NA
"2","2020-09-12 05:00:02-03","US","US","1953817","PreservedSpecimen","Plantae","Bromeliaceae","Pitcairnia","encholirioides","Pitcairnia encholirioides","L.B. Sm.","Isotype","S. Lima & A. C. Brade","13249","1934","3","4","South America - Neotropics","Brazil","Santa Magdalena, Pedra das Flores.",NA,"US00088836","US00088836_01","Monocotyledonae","Bromeliales","Rio de Janeiro","1"
