"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","stateProvince","decimalLongitude","decimalLatitude","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","class","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","278118","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Tontelea","leptophylla","Tontelea leptophylla","A.C.Sm.","holotype","A. F. M. Glaziou","17484","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=62592' target='other'> <mi>dwc_moreinfo</mi></a>","NY00278118","NY00278118_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1031450","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Tontelea","leptophylla","Tontelea leptophylla","A.C.Sm.",NA,"K. B. Strier","1295","South America","Brazil","Atlantic forest, Caratinga. Estacao Biologica de Caratinga.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1153128' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031450","NY01031450_01","J. A. Kallunki","1983","11","13","Minas Gerais","-41.83","-19.67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","626506","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Tontelea","leptophylla","Tontelea leptophylla","A.C.Sm.",NA,"K. B. Strier","1333","South America","Brazil","Estaçao Biológica de Caratinga.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=62590' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626506","NY00626506_01","J. A. Lombardi","1983","11","16","Minas Gerais","-41.83","-19.67","Caratinga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","626492","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Tontelea","leptophylla","Tontelea leptophylla","A.C.Sm.",NA,"H. C. de Lima","3721","South America","Brazil","Reserva Ecológica Municipal de Macaé de Cima, Margens do rio Macaé. A 2km do Hotel Fazenda Sao Joao.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=62588' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626492","NY00626492_01","J. A. Lombardi","1989","10","25","Rio de Janeiro","-42.05","-22","Nova Friburgo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","626493","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Tontelea","leptophylla","Tontelea leptophylla","A.C.Sm.",NA,"J. Caruso","s.n.","South America","Brazil","Reserva Ecológica Municipal de Macaé de Cima, Nascente do Rio das Flores.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=62589' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626493","NY00626493_01","J. A. Lombardi",NA,NA,NA,"Rio de Janeiro","-42.05","-22","Nova Friburgo","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","626491","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Tontelea","leptophylla","Tontelea leptophylla","A.C.Sm.",NA,"A. F. M. Glaziou","13584","South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=62591' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626491","NY00626491_01","J. A. Lombardi",NA,NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:29:49-03","UFRJ","RFA","15779","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Tontelea","leptophylla","Tontelea leptophylla","A.C. Sm.",NA,"P. Occhioni","6534",NA,"Brasil","Serra dos Órgãos, próximo Dedo de Deus",NA,"Arbusto de 3 a 4 m de altura. Flor amarelada","RFA41584",NA,"M. Milward","1974","12",NA,"Rio de Janeiro","-42.9655990600586","-22.4122009277344","Teresópolis","1000","1000","2002","01","18","38539","auto",NA,NA,NA,NA,NA,NA
"8","2020-06-29 11:29:49-03","UFRJ","RFA","16277","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Tontelea","leptophylla","Tontelea leptophylla","A.C. Sm.",NA,"P. Occhioni","6594",NA,"Brasil","Serra dos Órgãos, próximo ao Dedo de Deus",NA,"Arvoreta; flores alvas, estames amarelos","RFA41586",NA,"M. Milward","1974","12",NA,"Rio de Janeiro","-42.9655990600586","-22.4122009277344","Teresópolis","1000","1000","2000","01","18","38539","auto",NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:36:43-03","EAO","IAN","93744","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Celastraceae","Tontelea","leptophylla","Tontelea leptophylla","A.C.Sm.",NA,"Glaziou, AFM","13584","Southern America","Brasil",NA,NA,NA,"IAN093744",NA,"Lombardi, JA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2003","09",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:36:43-03","EAO","IAN","15210","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Celastraceae","Tontelea","leptophylla","Tontelea leptophylla","A.C.Sm.",NA,"Oliveira, JE de","491","Southern America","Brasil","Mata, Pedra Dourada, muito frequente.",NA,NA,"IAN015210","IAN015210 IAN015210_e","Lombardi, JA","1941","06","03","Minas Gerais","-42.0228004455566","-20.9046993255615","Tombos",NA,NA,"1999","10",NA,"16749","auto",NA,NA,NA,NA,NA,NA
