"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","locality","phylum","order","scientificNameAuthorship","imagecode","year","month","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","relatedCatalogItem"
"1","2020-09-23 10:40:34-03","E","E","36114","PreservedSpecimen","Plantae","Leguminosae","Cratylia","isopetala","Cratylia isopetala","syntype","Martius","242","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:41560","<a href=http://data.rbge.org.uk/herb/E00036114 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00036114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:34-03","E","E","36115","PreservedSpecimen","Plantae","Leguminosae","Cratylia","isopetala","Cratylia isopetala","syntype","Riedel, Ludwig",NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:41559","<a href=http://data.rbge.org.uk/herb/E00036115 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00036115","Rio de Janeiro","Brasilia, R.Janeiro et Macahé in sylvis.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02201077","PreservedSpecimen","Plantae","Fabaceae","Camptosema","erythrinoides","Camptosema erythrinoides","possible syntype","Martii Herbar. Florae Brasil.","242","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2379399' target='other'> <mi>dwc_moreinfo</mi></a>","NY02201077",NA,"[From Bentham, 1859: in campis ad sepes prope Salgado, Prov. Minarum] [not sure if location is in present state of Minas Gerais'","Magnoliophyta","Fabales","Benth.","NY02201077_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","6326","PreservedSpecimen","Plantae","Fabaceae","Camptosema","erythrinoides","Camptosema erythrinoides","syntype","C. F. P. von Martius","242","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=503074' target='other'> <mi>dwc_moreinfo</mi></a>","NY00006326",NA,"Brasilia","Magnoliophyta","Fabales","Benth.","NY00006326_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02201076","PreservedSpecimen","Plantae","Fabaceae","Camptosema","erythrinoides","Camptosema erythrinoides","possible syntype","B. Luschnath","455","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2379384' target='other'> <mi>dwc_moreinfo</mi></a>","NY02201076",NA,NA,"Magnoliophyta","Fabales","Benth.","NY02201076_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02634278","PreservedSpecimen","Plantae","Fabaceae","Camptosema","isopetalum","Camptosema isopetalum",NA,"L. de S. Leoni","6514","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2935067' target='other'> <mi>dwc_moreinfo</mi></a>","NY02634278","Minas Gerais","Fazenda Santa Rita, próximo a sede do Ricardo, ao lado do corrego","Magnoliophyta","Fabales","(Lam.) Taub.","NY02634278_01","2006","06","15","Faria Lemos","-42.0297012329102","-20.8083000183105","14353","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1262291","PreservedSpecimen","Plantae","Fabaceae","Camptosema","isopetalum","Camptosema isopetalum",NA,"J. G. Jardim","4654","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1532578' target='other'> <mi>dwc_moreinfo</mi></a>","NY01262291","Bahia","Serra dos Sete Paus, entrada ca. 7 km na Rod. Almadina/Ibitupã. Faz. Cruzeiro do Sul, ca. 12km da entrada.","Magnoliophyta","Fabales","(Lam.) Taub.","NY01262291_01","2005","07","19","Almadina","-39.6794","-14.735",NA,NA,"L. P. de Queiroz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02201075","PreservedSpecimen","Plantae","Fabaceae","Cratylia","isopetala","Cratylia isopetala","not a type","L. Riedel","s.n.","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2379382' target='other'> <mi>dwc_moreinfo</mi></a>","NY02201075","Paraíba","In collibus sylvaticus pr. Parahyba [=Paraiba]","Magnoliophyta","Fabales","(Lam.) L.P.Queiroz","NY02201075_01 NY02201075_02","1827","05",NA,NA,NA,NA,NA,NA,"L. P. de Queiroz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","6327","PreservedSpecimen","Plantae","Fabaceae","Cratylia","isopetala","Cratylia isopetala","syntype","A. C. V. Schott","s.n.","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=503075' target='other'> <mi>dwc_moreinfo</mi></a>","NY00006327",NA,"Brasilia","Magnoliophyta","Fabales","(Lam.) L.P.Queiroz","NY00006327_01 NY00006327_02",NA,NA,NA,NA,NA,NA,NA,NA,"L. P. de Queiroz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2481409","PreservedSpecimen","Plantae","Fabaceae","Cratylia","isopetala","Cratylia isopetala",NA,"J. N. Rose","20277","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2739646' target='other'> <mi>dwc_moreinfo</mi></a>","NY02481409","Rio de Janeiro","Island of Juparayba, Rio de Janeiro Bay","Magnoliophyta","Fabales","(Lam.) L.P.Queiroz","NY02481409_01","1915","07","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
