"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","individualCount","yearIdentified","monthIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","454013","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","obscura","Begonia obscura","Brade","A. C. Brade","O. Handro","640","1956","10","25","South America","Brazil","[see locality notes]","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415976' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454013","NY00454013_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-27 10:24:12-03","UFES","VIES","27794","S","Plantae",NA,NA,"Begoniaceae","Begonia","obscura","Begonia obscura","Brade",NA,"Iganci, J.; Souza, M.C.; Nunes, N.L.; Morim, M.P. & Menezes, L.F.T.","244","2007","06","05",NA,"Brasil","Reserva Biológica de Sooretama.",NA,NA,"VIES027794","VIES027794","Espírito Santo","Sooretama","-40.0978012084961","-19.1968994140625","33715","auto",NA,NA,NA,NA,NA,NA
"3","2020-07-10 09:43:57-03","MBML","MBML-HERBARIO","45842",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","obscura","Begonia obscura","Brade","L. Kollmann","L. Kollmann","12690","2013","02","25",NA,"Brasil","coleção L. Kollmann",NA,"Floração em cultivo. Erva 1m, folhas verdes, nervuras na face abaxial avermelhadas,flores brancas, frutos secos.","MBML045842","MBML045842","Espírito Santo","Santa Teresa","-40.587778","-19.940556",NA,NA,"40W35'16","19S56'26",NA,NA,NA,NA
"4","2020-07-10 09:43:57-03","MBML","MBML-HERBARIO","46252",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","obscura","Begonia obscura","Brade","L. Kollmann","L. Kollmann","12914","2013","02","26",NA,"Brasil","Coleção L. Kollmann",NA,"Erva 1m, planta verde, flores brancas, frutos verdes.","MBML046252","MBML046252","Espírito Santo","Santa Teresa","-40.587778","-19.940556",NA,NA,"40W35'16","19S56'26",NA,NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","3436889","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","obscura","Begonia obscura","Brade",NA,"D. Folli","4227","2002","4","5","South America - Neotropics","Brazil","Reserva Natural da CVRD, Mata de Tabuleiro.",NA,NA,"US00713660","US00713660_01","Espírito Santo","Linhares","-40.0722007751465","-19.3910999298096","48094","auto",NA,NA,"Dicotyledonae","1",NA,NA
"6","2019-11-13 11:16:42-03","USP","SPF","83025","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","obscura","Begonia obscura","Brade","Brade, AC","Handro, O","640","1956","10","25",NA,"Brasil",NA,NA,NA,"SPF00083025",NA,"Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1956","12"
"7","2019-10-07 09:24:04-03","UEFS","HUEFS","189725","PreservedSpecimen","Plantae","Angiospermae","Cucurbitales","Begoniaceae","Begonia","obscura","Begonia obscura","Brade",NA,"Handro, O.","640","1956","10","25",NA,"Brasil","Cultivado em São Paulo.",NA,NA,"HUEFS0189725","HUEFS0189725","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,"Rosanae",NA,NA,NA
"8","2019-11-21 10:01:49-03","IBt","SP","55478","S","Plantae",NA,NA,"Begoniaceae","Begonia","obscura","Begonia obscura","Brade","Brade, AC","Handro, O","640","1956","10","25",NA,"Brasil","Cultivado em São Paulo",NA,NA,NA,NA,"Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1956","12"
