"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","00995170","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Magonia","pubescens","Magonia pubescens","A.St.-Hil.","G. C. G. Argent","6661","1968","08","16","South America","Brazil","Mato Grosso","B.C.1 (Base Camp).","-51.77","-12.82","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1086712' target='other'> <mi>dwc_moreinfo</mi></a>","NY00995170","NY00995170_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00995224","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Magonia","pubescens","Magonia pubescens","A.St.-Hil.","D. C. Daly","D616","1980","10","12","South America","Brazil","Maranhão","Tadumo, 2 km NW of Presidente Dutra.","-44.53","-5.25","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1089886' target='other'> <mi>dwc_moreinfo</mi></a>","NY00995224","NY00995224_01","J. A. Kallunki","Presidente Dutra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00995215","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Magonia","pubescens","Magonia pubescens","A.St.-Hil.","G. Pereira-Silva","1225","1992","07","08","South America","Brazil","Goiás","Proximo a sede da fazenda ponte alta. Area de influencia da UHE Serra da Mesa.","-48.97","-14.63","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1089850' target='other'> <mi>dwc_moreinfo</mi></a>","NY00995215","NY00995215_01",NA,"Niquelândia","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","448169","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Magonia","pubescens","Magonia pubescens","A.St.-Hil.","G. Gardner","1502","1836",NA,NA,"South America","Brazil",NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680435' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448169","NY00448169_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00995212","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Magonia","pubescens","Magonia pubescens","A.St.-Hil.","J. A. Ratter","R.3412","1976","08","08","South America","Brazil","Goiás","Fazenda Lagoa Santa.","-48.2839","-15.1606","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1089839' target='other'> <mi>dwc_moreinfo</mi></a>","NY00995212","NY00995212_01",NA,"Padre Bernardo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00995222","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Magonia","pubescens","Magonia pubescens","A.St.-Hil.","H. S. Irwin","18961","1968","01","21","South America","Brazil","Goiás","75 km N. of Corumbá de Goiás on road to Niquelândia, valley of Rio Maranhão. Serra dos Pirineus.","-48.63","-15.35","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1089880' target='other'> <mi>dwc_moreinfo</mi></a>","NY00995222","NY00995222_01","E. Joyal","Cocalzinho de Goiás","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02431517","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Magonia","pubescens","Magonia pubescens","A.St.-Hil.",NA,"25830",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2978127' target='other'> <mi>dwc_moreinfo</mi></a>","NY02431517","NY02431517_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00995213","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Magonia","pubescens","Magonia pubescens","A.St.-Hil.","L. Riedel","1091","1827","09","07","South America","Brazil","Mato Grosso",NA,"-56.0967","-15.5961","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1089845' target='other'> <mi>dwc_moreinfo</mi></a>","NY00995213","NY00995213_01",NA,"Cuiabá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","448171","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Magonia","pubescens","Magonia pubescens","A.St.-Hil.","R. M. Harley","21932","1980","05","29","South America","Brazil","Bahia","Chapadao ocidental da Bahia. 30 km N from Correntina on the Inhaúmas road.","-44.62","-13.17","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680437' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448171","NY00448171_01",NA,NA,"600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00995199","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Magonia","pubescens","Magonia pubescens","A.St.-Hil.","C. E. O. Kuntze","s.n.","1892","07",NA,"South America","Brazil","Mato Grosso",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1087340' target='other'> <mi>dwc_moreinfo</mi></a>","NY00995199","NY00995199_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
