"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","continentOcean","country","stateProvince","relatedCatalogItem","occurrenceRemarks","barcode","imagecode","recordNumber","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","fieldNumber","preparationType","verbatimLongitude","verbatimLatitude","phylum","minimumElevationInMeters","maximumElevationInMeters","individualCount","typeStatus"
"1","2020-02-08 10:37:16-03","NBC","NL-BOTANY","U.1391644","PreservedSpecimen","Plantae","Magnoliopsidae","Zingiberales","Marantaceae","Calathea","neoviedii","Calathea neoviedii","Petersen","Kennedy H","2001","05","01","Folli DA","1993","09","17","Southern America","Brazil","Espírito Santo","U 0142119","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1391644 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1391644","NL-U1391644",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-07-02 14:02:48-03","JBP","HPL","10635","S","Plantae",NA,NA,"Marantaceae","Calathea","neoviedii","Calathea neoviedii","Petersen","S. Vieira","2006","09","25","S. Vieira & R. Tsuji","2006","09","25",NA,"Brasil","SP",NA,NA,NA,NA,"244","Nova Odessa","Cultivado no Instituto Plantarum, no caminho próximo ao viveiro das arapongas.","-47.29","-22.77","8440","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-07-02 14:02:48-03","JBP","HPL","10142","S","Plantae",NA,NA,"Marantaceae","Calathea","tuberosa","Calathea tuberosa","(Vell.) Koern.","V.L.C.R. Uliana & S. Vieira","2001","10","10","H. Lorenzi","1995","08","26",NA,"Brasil","RJ",NA,NA,NA,NA,"1158","Rio de Janeiro","Coletado e cultivado no Sítio R. Burle Marx.","-43.2075","-22.9028","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-07-02 14:02:49-03","JBP","HPL","5037","S","Plantae",NA,NA,"Marantaceae","Calathea","tuberosa","Calathea tuberosa","(Vell.) Koern.","V.L.C.R. Uliana & S. Vieira","1999","10","27","E.R. Salviani & H. Lorenzi","1999","10","27",NA,"Brasil","RJ",NA,NA,NA,NA,"547","Rio de Janeiro","Coletada no sítio R. Burle Marx.","-43.2075","-22.9028","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-24 17:09:24-03","UFES","SAMES","3227","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","tuberosa","Calathea tuberosa","Körn.","Folli,D.A.","2008","10","20","Folli,D.A.","2008","10","20",NA,"Brasil","Espírito Santo",NA,"Herbário, terrestre, cor botão branco, cor flor branca.","SAMES03227",NA,"6211","Linhares","Reserva Natural Vale. Capoeirão, estrada Aceiro Bobbio.","-40.0722007751465","-19.3910999298096","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-04-27 16:10:29-03","UFES","VIES","29622","S","Plantae",NA,NA,"Marantaceae","Goeppertia","tuberosa","Goeppertia tuberosa","(Vell.) Borchs. & S.Suárez","M.N. Saka","2012","12","05","Folli, D.A.","2008","10","20",NA,"Brasil","Espírito Santo",NA,NA,"VIES029622",NA,"6211","Linhares","Reserva Natural Vale.","-40.0722007751465","-19.3910999298096","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-09-24 18:29:36-03","MNHN","RECOLNAT_MNHN_P","P00604248","PreservedSpecimen",NA,NA,NA,"Marantaceae","Goeppertia","tuberosa","Goeppertia tuberosa","(Vell.) Borchs. & S.Suárez","Saka",NA,NA,NA,"Glaziou, A.","1867","10","29",NA,"Brésil",NA,NA,"Reçu le 27 mai 1896 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00604248' target='other'> <mi>dwc_moreinfo</mi></a>","P00604248","P00604248_01",NA,NA,"Restiva de Copacabana (Rio Janeiro)",NA,NA,NA,NA,"1624","hb",NA,NA,NA,NA,NA,NA,NA
"8","2016-01-12 12:03:42-02","MNHN","RECOLNAT_MNHN_P","P02198900","PreservedSpecimen",NA,NA,NA,"Marantaceae","Goeppertia","tuberosa","Goeppertia tuberosa","(Vell.) Borchs. & S.Suárez","Saka",NA,NA,NA,"Glaziou, A.","1870","12","3",NA,"Brasil",NA,NA,"Reçu le 27 mai 1896 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02198900' target='other'> <mi>dwc_moreinfo</mi></a>","P02198900","P02198900_01",NA,NA,"Brésil. Rodeio",NA,NA,NA,NA,"5478","hb",NA,NA,NA,NA,NA,NA,NA
"9","2016-01-14 14:27:14-02","MNHN","RECOLNAT_MNHN_P","P02199263","PreservedSpecimen",NA,NA,NA,"Marantaceae","Goeppertia","tuberosa","Goeppertia tuberosa","(Vell.) Borchs. & S.Suárez","Saka",NA,NA,NA,"Glaziou, A.",NA,NA,NA,NA,"Brasil",NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02199263' target='other'> <mi>dwc_moreinfo</mi></a>","P02199263","P02199263_01",NA,NA,NA,NA,NA,NA,NA,"4221","hb",NA,NA,NA,NA,NA,NA,NA
"10","2016-01-14 14:27:14-02","MNHN","RECOLNAT_MNHN_P","P02199262","PreservedSpecimen",NA,NA,NA,"Marantaceae","Goeppertia","tuberosa","Goeppertia tuberosa","(Vell.) Borchs. & S.Suárez","Saka",NA,NA,NA,"Glaziou, A.",NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02199262' target='other'> <mi>dwc_moreinfo</mi></a>","P02199262","P02199262_01",NA,"Rio de Janeiro","Copacabana","-43.2075004577637","-22.9027996063232","57442","auto","4221","hb",NA,NA,NA,NA,NA,NA,NA
"11","2011-06-27 08:43:00-03","MO","MOBOT","3071076","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","neoviedii","Calathea neoviedii","Petersen",NA,NA,NA,NA,"F. Sellow","1814",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,"Sellow 26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2011-06-27 08:43:00-03","MO","MOBOT","3071090","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","neoviedii","Calathea neoviedii","Petersen",NA,NA,NA,NA,"F. Sellow","1814",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,"Sellow 26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-07-10 09:47:15-03","MBML","MBML-HERBARIO","13706",NA,"Plantae",NA,NA,"Marantaceae","Goeppertia","tuberosa","Goeppertia tuberosa","(Vell.) Borchs. & S.Suárez","M.N. Saka/XII-2012",NA,NA,NA,"V. Demuner; et al","2000","09","26",NA,"Brasil","Espírito Santo",NA,"Terrestre, flores axilares de cor branca. Meio sombra, borda de mata.","MBML013706","MBML013706","1395","Santa Teresa","São Sebastião, (Propr. Djalma Novelli)","-40.722222","-19.848333",NA,NA,NA,NA,"40W43'20","19S50'54",NA,NA,NA,NA,NA
