"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","country","phylum","infraspecificEpithet","typeStatus","recordNumber","year","month","day","continentOcean","stateProvince","locality","occurrenceRemarks"
"1","2016-07-05 11:14:16-03","FFCLRP","LBMBP","360","S","Plantae","Orchidaceae","Cattleya","dormaniana","Cattleya dormaniana","(Rchb.f.) Rchb.f.","E.R. Pansarin","E.R. Pansarin","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-01 15:15:16-03","UnB","UB","2023","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","dormaniana","Cattleya dormaniana alba","L.C. Menezes","Incógnito","Verbooner, J","Brasil","Monocotyledonae","alba","holotype","9","1990","03","10","Southern America","Rio de Janeiro","Serra dos órgãos","Tipo.; Erva; ."
"3","2019-11-01 15:15:16-03","UnB","UB","2023","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","dormaniana","Cattleya dormaniana alba","L.C. Menezes","Incógnito","Verbooner, J","Brasil","Monocotyledonae","alba","holotype","9","1990","03","10","Southern America","Rio de Janeiro","Serra dos órgãos","Tipo.; Erva; ."
"4","2017-09-11 17:11:31-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cattleya","dormaniana","Cattleya dormaniana","Rchb.f.",NA,"Blunt ?","Brazil",NA,NA,NA,"s.n.",NA,NA,NA,"Southern America","Rio de Janeiro","Habitat in prov. Rio de Janeiro altit. 500-700m",NA
"5","2017-09-11 17:11:31-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cattleya","dormaniana","Cattleya dormaniana","Rchb.f.",NA,"Blunt ?","Brazil",NA,NA,NA,"s.n.",NA,NA,NA,"Southern America","Rio de Janeiro","Habitat in prov. Rio de Janeiro altit. 500-700m",NA
