"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","typeStatus","infraspecificEpithet","fieldNumber","individualCount","class"
"11","2016-02-02 14:38:04-02","BGBM","B","B 10 0004147","S","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","rumicoides","Dioscorea rumicoides","Griseb.",NA,"F. Sellow","48",NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100004147 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100004147","B100004147 B100004147_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lectotype",NA,NA,NA,NA
"12","2016-02-02 14:38:04-02","BGBM","B","B 10 0247747","S","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","rumicoides","Dioscorea rumicoides var. longibracteata","R.Knuth",NA,"A. F. Regnell","1246","1868",NA,NA,"Middle and South America","Brazil",NA,"Minas Geraes, Caldas.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100247747 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100247747","B100247747",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lectotype","var. longibracteata",NA,NA,NA
"13","2016-02-02 14:38:04-02","BGBM","B","B 10 0247747","S","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","rumicoides","Dioscorea rumicoides var. longibracteata","R.Knuth",NA,"A. F. Regnell","1246","1868",NA,NA,"Middle and South America","Brazil",NA,"Minas Geraes, Caldas.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100247747 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100247747","B100247747",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lectotype","var. longibracteata",NA,NA,NA
"14","2019-11-21 14:34:59-03","UFJF","CESJ","47002","PreservedSpecimen","Plantae","Angiosperma",NA,"Dioscoreaceae","Dioscorea","rumicoides","Dioscorea rumicoides","Griseb.","C.N. Matozinhos","P.L. Viana; N.F.O. Mota","1967","2006","02","26","América do Sul","Brasil","Minas Gerais","Serra Negra, Burro de Ouro",NA,NA,NA,"Planta escandente em campo de altitude. Flores cremes.","CESJ047002",NA,"Rio Preto","-43.8278007507324","-22.0891990661621","2006","04",NA,NA,NA,"20815","auto",NA,NA,NA,NA,NA
"15","2021-04-07 11:42:59-03","UFMS","CGMS","76036","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","rumicoides","Dioscorea rumicoides","Griseb.","D. Araújo","S.N. Moreira; V.J. Pott & A. Pott","999","2012","05","02",NA,"Brasil","Mato Grosso do Sul","Fazenda Feliz.","195","195",NA,"Flor creme, fruto castanho claro. Habitat: Solo orgânico encharcado. Relevo plano deprimido. Campo graminoso úmido com Mauritia flexuosa em domínio de Cerrado. Borda de mata ciliar. Habito: Trepadeira anfíbia.","CGMS1108991",NA,"Terenos","-55.2625","-20.4619444","2012","05","02","-55,2625","-20,4619444",NA,NA,NA,NA,NA,NA,NA
"16","2021-04-07 11:42:59-03","UFMS","CGMS","76035","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","rumicoides","Dioscorea rumicoides","Griseb.","D. Araújo","S.N. Moreira; V.J. Pott & A. Pott","998","2012","05","02",NA,"Brasil","Mato Grosso do Sul","Fazenda Feliz.","195","195",NA,"Flor creme, fruto castanho claro. Habitat: Solo orgânico encharcado. Relevo plano deprimido. Campo graminoso úmido com Mauritia flexuosa em domínio de Cerrado. Borda de mata ciliar. Habito: Trepadeira anfíbia.","CGMS1108990",NA,"Terenos","-55.2625","-20.4619444","2012","05","02","-55,2625","-20,4619444",NA,NA,NA,NA,NA,NA,NA
"17","2019-08-20 10:00:12-03","UNICAMP","UEC","63066","S","Plantae","Liliopsida",NA,"Dioscoreaceae","Dioscorea","rumicoides","Dioscorea rumicoides","Griseb.","Kirizawa, M","Bernacci, LC","25944","1990","02","01",NA,"Brazil","São Paulo","Fazenda São Vicente, Mata mesófila semidecídua. Interior da mata.",NA,NA,NA,"Liana, folhas arroxeadas no lado inferior; flores verdes.","UEC092786","UEC092786","Campinas","-47.060001373291","-22.8999996185303","1996","06","16",NA,NA,"23900","auto",NA,NA,NA,NA,NA
"18","2020-04-22 16:26:27-03","UFPB","JPB","21704","PreservedSpecimen","Plantae","Angiosperma","Monocotyledon","Dioscoreaceae","Dioscorea","rumicoides","Dioscorea rumicoides","Griseb.","Araújo, D","Agra, MF","3758","1996","06","25","Southern America","Brasil","Paraíba","São José da Mata, Fazenda Pedro da Costa Agra, estrada para Soledade, 16 Km Oeste do centro de Camina Grande.","500","510",NA,"; HABITAT: Vegetação arbustivo-arbórea, tipica de Caatinga dos Cariris, formado por espécies caducifolias e espinhosas.; DESC: Trepadeira; fl. amarela; fr. capsular.",NA,NA,"Campina Grande","-35.866667","-7.766667","2011","11","03","-35.866667","-7.766667",NA,NA,NA,NA,NA,NA,NA
"19","2020-04-27 16:09:29-03","UFES","VIES","23359","S","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","rumicoides","Dioscorea rumicoides","Griseb.","G.M. Barroso, E.F. Guimarães et D. Sucre","D. Sucre","7478","1971","02","17",NA,"Brasil","Rio de Janeiro","Antigo Estado da Guanabara. Serra do Barata, Reserva do Piracuara.",NA,NA,NA,NA,"VIES023359","VIES023359","Rio de Janeiro","-43.2075004577637","-22.9027996063232","1971","02",NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA
"20","2020-12-21 16:22:55-03","MBM","MBM","179880","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","rumicoides","Dioscorea rumicoides","Griseb.","Pedralli, G.","Hatschbach, G.; Pott, A.; Silva, J.M.; Pott, A.; Silva, J.M.","62442","1995","05","07","Southern America","Brazil","Mato Grosso","Rod. MT-248, 16km O da cidade",NA,NA,NA,NA,"MBM179880","MBM179880","Jauru","-58.8664016723633","-15.3418998718262",NA,NA,NA,NA,NA,"40234","auto",NA,NA,NA,NA,NA
