"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","class","order","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-01 16:29:51-03","UNICAMP","UEC","192583","S","Plantae","Magnoliopsida","Fabaceae","Amburana","erythrosperma","Amburana erythrosperma","Seleme & C.H.Stirt. & Mansano","Mansano, VF","2019","10","04","Silva, GS; Mansano, VF","410","2019","10","04","Brazil","São Paulo","Campinas","Unicamp, Estacionamento do Centro de Saúde Comunitária-CECOM","-47.112014","-23.392431","-47.112014","-23.392431","Arvore de 5m de altura. Fruto linear oblongo, sementes vermelho, brilhante.; Cerrado","UEC166714","UEC166714",NA,NA,NA,NA
"2","2020-05-08 11:11:44-03","UEFS","HUEFS","224601","PreservedSpecimen","Plantae","Angiospermae","Leguminosae Subfam. Papilionoideae","Amburana","erythrosperma","Amburana erythrosperma","E.P.Seleme, C.H.Stirt. & V.F.Mansano","V.F.Mansano",NA,NA,NA,"Queiroz, L.P.de","16277","2016","09","08","Brasil","Bahia","Sento Sé","Minas do Mimoso. Saída da cidade em direção a Alegre.","-41.414722","-10.281111","41W24'53''","10S16'52''","Caatinga arbustivo-arbórea muito degradada.","HUEFS0224601",NA,"Rosanae","Fabales","824","824"
