"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","barcode","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","imagecode","geoFlag"
"1","2021-03-30 12:35:21-03","EAO","IAN","72514","PreservedSpecimen","Plantae","Dicotiledônea","Begoniaceae","Begonia","crispula","Begonia crispula","Brade","Brade","1949","isotipo","Vieira, J; Mendonça, J","37","1949","09","Southern America","Brasil","Espírito Santo","E.F. Vitória-Minas Gerais entre Boa Vista e Pedro Palácio.","IAN072514",NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-07-10 09:43:51-03","MBML","MBML-HERBARIO","21842",NA,"Plantae",NA,"Begoniaceae","Begonia","crispula","Begonia crispula","Brade","L. Kollmann/14-10-2003",NA,NA,NA,NA,"2003","10",NA,"Brasil","Espírito Santo",NA,"MBML021842","14","Aracruz","-40.2733001708984","-19.8202991485596","37987","Cultivada. Planta 20cm. Folhas verdes acinzentadas, estípula verde avermelhada, peciolo verde avermelhado. Pedúnculo vermelho. Sépalas rosas, fruto rosa, estames e estigma amarelos.","MBML021842","auto"
