"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","minimumElevationInMeters","maximumElevationInMeters","dayIdentified"
"1","2019-08-20 10:23:42-03","UNICAMP","UEC","124419","S","Plantae","Magnoliopsida","Proteaceae","Euplassa","itatiaiae","Euplassa itatiaiae","Sleumer","Meireles, LD","2002","06","Meireles, LD; Belinello, R","716","2001","10","31","Brazil","Minas Gerais","Camanducaia","Monte Verde, Floresta Ombrófila Densa Alto-Montana","-46.1446990966797","-22.7553005218506","22140","Árvore, 7m, botões-florais tomentosos.","UEC087069","UEC087069","auto",NA,NA,NA
"2","2019-08-20 10:23:42-03","UNICAMP","UEC","124481","S","Plantae","Magnoliopsida","Proteaceae","Euplassa","itatiaiae","Euplassa itatiaiae","Sleumer","Meireles, LD","2002","06","Meireles, LD; Belinello, R","761","2001","12","11","Brazil","Minas Gerais","Camanducaia","Monte Verde, Floresta Ombrófila Densa Alto-Montana","-46.1446990966797","-22.7553005218506","22140","Árvore, 5m, flores creme com tricomas ferrugíneos, estilete verde com estigma creme.","UEC087070","UEC087070","auto",NA,NA,NA
"3","2021-03-01 16:38:38-03","UNICAMP","UEC","158874","S","Plantae","Magnoliopsida","Proteaceae","Euplassa","itatiaiae","Euplassa itatiaiae","Sleumer","Yamamoto, LF",NA,NA,"Yamamoto, LF","832","2002","10","25","Brazil","Minas Gerais","Extrema","Serra do Lopo, Estrada da Serra do Lopo. Borda da estrada.","-46.3182983398438","-22.854700088501","15223","6 m. Flor marrom/amarelado.","UEC013465","UEC013465","auto","1620","1620",NA
"4","2021-03-01 16:38:38-03","UNICAMP","UEC","149666","S","Plantae","Magnoliopsida","Proteaceae","Euplassa","itatiaiae","Euplassa itatiaiae","Sleumer","Yamamoto, LF",NA,NA,"Yamamoto, LF","888","2002","11","14","Brazil","Minas Gerais","Extrema","Serra do Lopo, Estrada da Serra do Lopo. Borda da estrada.","-46.3182983398438","-22.854700088501","15223","6 m. Flor creme/amarelado.","UEC013466","UEC013466","auto","1615","1615",NA
"5","2021-03-01 16:38:38-03","UNICAMP","UEC","149668","S","Plantae","Magnoliopsida","Proteaceae","Euplassa","itatiaiae","Euplassa itatiaiae","Sleumer","Yamamoto, LF",NA,NA,"Yamamoto, LF","1127","2003","02","21","Brazil","Minas Gerais","Extrema","Serra do Lopo, Pousada Céu da Mantiqueira.","-46.3182983398438","-22.854700088501","15223","12 m. Fruto verde.","UEC013464","UEC013464","auto","1480","1480",NA
"6","2021-03-01 16:38:38-03","UNICAMP","UEC","149667","S","Plantae","Magnoliopsida","Proteaceae","Euplassa","itatiaiae","Euplassa itatiaiae","Sleumer","Yamamoto, LF",NA,NA,"Yamamoto, LF","1050","2003","01","10","Brazil","Minas Gerais","Extrema","Serra do Lopo, Trilha Pedra das Flores.","-46.3182983398438","-22.854700088501","15223","3 m. Flor creme.","UEC013463","UEC013463","auto",NA,NA,NA
"7","2021-03-01 16:38:38-03","UNICAMP","UEC","149669","S","Plantae","Magnoliopsida","Proteaceae","Euplassa","itatiaiae","Euplassa itatiaiae","Sleumer","Yamamoto, LF",NA,NA,"Yamamoto, LF","2003","2005","12","09","Brazil","Minas Gerais","Extrema","Serra do Lopo, Trilha Pedra das Flores.","-46.3182983398438","-22.854700088501","15223","6 m. Flor creme.","UEC013461","UEC013461","auto",NA,NA,NA
"8","2021-03-01 16:38:38-03","UNICAMP","UEC","150887","S","Plantae","Magnoliopsida","Proteaceae","Euplassa","itatiaiae","Euplassa itatiaiae","Sleumer","Arzolla, FARDP","2009","07","Arzolla, FARDP; Pinto, JB","1345","2004","01","24","Brazil","São Paulo","São Bento do Sapucaí","Região da Pedra do Baú","-45.7299995422363","-22.6800003051758","18089","Arvoreta, flores amarelas.; Floresta Ombrófila Densa alto Montana","UEC147084",NA,"auto",NA,NA,"28"
"9","2019-10-03 10:04:25-03","UFSCar","SORO","2257","PreservedSpecimen","Plantae",NA,"Proteaceae","Euplassa","itatiaiae","Euplassa itatiaiae","Sleumer",NA,NA,NA,NA,"888","2002","11","14","Brasil","Minas Gerais","Extrema","Estrada da Serra do Lopo","-46.3182983398438","-22.854700088501","15223",NA,NA,NA,"auto",NA,NA,NA
"10","2019-10-03 10:04:25-03","UFSCar","SORO","2254","PreservedSpecimen","Plantae",NA,"Proteaceae","Euplassa","itatiaiae","Euplassa itatiaiae","Sleumer",NA,NA,NA,NA,"2003","2005","12","09","Brasil","Minas Gerais","Extrema","Serra do Lopo. Trilha Pedra das Flores","-46.3182983398438","-22.854700088501","15223",NA,NA,NA,"auto",NA,NA,NA
"11","2021-01-11 11:20:40-03","IBt","SP","487330","S","Plantae",NA,"Proteaceae","Euplassa","itatiaiae","Euplassa itatiaiae","Sleumer",NA,NA,NA,"Yamamoto, LF","832","2002","10","25","Brasil","Minas Gerais","Extrema",NA,"-46.3182983398438","-22.854700088501","15223",NA,NA,NA,"auto",NA,NA,NA
"12","2021-01-11 11:20:40-03","IBt","SP","487331","S","Plantae",NA,"Proteaceae","Euplassa","itatiaiae","Euplassa itatiaiae","Sleumer",NA,NA,NA,"Yamamoto, LF","888","2002","11","14","Brasil","Minas Gerais","Extrema",NA,"-46.3182983398438","-22.854700088501","15223",NA,NA,NA,"auto",NA,NA,NA
