"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet"
"1","2020-09-23 10:41:54-03","E","E","219544","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","canescens","Myrcia canescens","Bridgewater, S., Ratter, J.A., Filho, J.F. & Dias, T.","1999","08","25","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:229803","<a href=http://data.rbge.org.uk/herb/E00219544 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00219544",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:54-03","E","E","232297","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","canescens","Myrcia canescens","Ratter, J.A. & Filho, J. Fonsêca","1998","08","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:244204","<a href=http://data.rbge.org.uk/herb/E00232297 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00232297",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:54-03","E","E","146946","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","canescens","Myrcia canescens","Pott, A.;","1993","10","11","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:171320","<a href=http://data.rbge.org.uk/herb/E00146946 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00146946","6496",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:54-03","E","E","104504","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","canescens","Myrcia canescens","Ratter, J.A. & Filho, J. Fonsêca","1998","08","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:113716","<a href=http://data.rbge.org.uk/herb/E00104504 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00104504",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:41:54-03","E","E","219542","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","canescens","Myrcia canescens","Ratter, J.A.; Bridgewater, S. & Filho, J. Fonsêca","1999","04","19","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:229801","<a href=http://data.rbge.org.uk/herb/E00219542 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00219542",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:41:54-03","E","E","83716","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","dasyblasta","Myrcia dasyblasta","Simon, M.F., Proenca, C., Ratter, J.A., Fonseca Filho, J.A.ET., Bridgewater, S.","1996","09","21","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:92673","<a href=http://data.rbge.org.uk/herb/E00083716 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083716","37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1522743","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","bella","Myrcia bella","J. A. Ratter","1983","11","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1776757' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522743","R.4817","Magnoliophyta","Myrtales","Cambess.","B. S. Amorim","São Paulo","Angatuba","Floresta de Angatuba. Instituto Florestal de SP","-48.42","-23.45","NY01522743_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01096184","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","bella","Myrcia bella","E. Forero","1980","10","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1234049' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096184","8230","Magnoliophyta","Myrtales","Cambess.","M. L. Kawasaki","São Paulo","Moji-Guaçu","Mogi-Guaçu, Padua Sales. Fazenda Campininha.",NA,NA,"NY01096184_01","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1522366","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","bella","Myrcia bella","H. D. Bicalho","1963","08","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1751584' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522366","6","Magnoliophyta","Myrtales","Cambess.","M. L. Kawasaki","São Paulo",NA,"Franca, Jeriquara, arredores da cidade",NA,NA,"NY01522366_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00906534","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","bella","Myrcia bella","S. A. Mori","1984","07","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981698' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906534","16953","Magnoliophyta","Myrtales","Cambess.","M. Sobral","Minas Gerais","Paracatú","BR-040, km. 6 from Goiás border.","-46.62","-17.83","NY00906534_01","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00906342","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","bella","Myrcia bella","L. O. Williams","1944","09","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980942' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906342","8205","Magnoliophyta","Myrtales","Cambess.","B. S. Amorim","Minas Gerais",NA,"Rio Verde, 20 km east of Montes Claros",NA,NA,"NY00906342_01","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00906378","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","bella","Myrcia bella","E. P. Heringer","1979","08","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981179' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906378","17424","Magnoliophyta","Myrtales","Cambess.","B. S. Amorim",NA,NA,"Entre Brasília, Joa Pinheiro, MG",NA,NA,"NY00906378_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00907060","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","bella","Myrcia bella","E. P. Heringer","1982","08","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983995' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907060","18374","Magnoliophyta","Myrtales","Cambess.","B. S. Amorim","Goiás","Luziânia","(15 km ao Sul da cidade)","-47.9503","-16.2528","NY00907060_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
