"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","yearIdentified","class","relatedCatalogItem","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","228725","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","pallida","hispidula","Leandra pallida hispidula","Brade","isotype","A. C. Brade","21188","1951","10","10","South America","Brazil","São Paulo","Serra da Bocaina","-44.676361","-22.842145","1600","1600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388066' target='other'> <mi>dwc_moreinfo</mi></a>","NY00228725","NY00228725_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01874740","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","pallida",NA,"Leandra pallida","Cogn.",NA,"T. M. Machado","267","2010","12","01","South America","Brazil","Minas Gerais","Parque Nacional do Caparaó, Trilha para cachoeira do aurélio.","-41.83","-20.47","1834",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2704367' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874740","NY01874740_01","M. Reginato; F. A. Michelangeli","Alto Caparaó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","03287807","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","pallida",NA,"Leandra pallida","Cogn.",NA,"M. Reginato","1508","2016","01","05","South America","Brazil","Santa Catarina","Morro da Igreja, captação de água do Cindacta","-28.12315","-49.480347",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3582202' target='other'> <mi>dwc_moreinfo</mi></a>","NY03287807",NA,NA,"Urubici",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","228724","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","pallida","brevifolia","Leandra pallida brevifolia","Cogn.","isotype","A. C. Brade","45992","1941","09","30","South America","Brazil","Minas Gerais","Serra do Caparaó","-41.829426","-20.454471","2000","2000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=138151' target='other'> <mi>dwc_moreinfo</mi></a>","NY00228724","NY00228724_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01874453","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","pallida",NA,"Leandra pallida","Cogn.",NA,"M. Reginato","1449","2013","02","10","South America","Brazil","Rio de Janeiro","P.N. do Itatiaia, Agulhas Negras","-44.62903","-22.385714",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2085260' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874453","NY01874453_01","M. Reginato","Itatiaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02098922","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","pallida",NA,"Leandra pallida","Cogn.",NA,"M. K. Caddah","734","2010","01","19","South America","Brazil","Rio de Janeiro","Parque Nacional da Serra dos Órgãos, trilha para Pedra do Sino","-43.026667","-22.46","2080","2080","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1305623' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098922","NY02098922_01","M. Reginato","Teresópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01874449","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","pallida",NA,"Leandra pallida","Cogn.",NA,"M. Reginato","1448","2013","02","10","South America","Brazil","Rio de Janeiro","P.N. do Itatiaia, Agulhas Negras","-44.62903","-22.385714",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2085259' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874449","NY01874449_01","M. Reginato","Itatiaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","520485","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","pallida","pallida","Leandra pallida pallida","Cogn.",NA,"R. Reitz","7769","1958","12","10","South America","Brazil","Santa Catarina","Curral Flaso, Bom Jardim, Sao Joaquim","-49.2914","-28.3592","1500","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=539111' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520485","NY00520485_01","J. J. Wurdack","Orleans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","520484","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","pallida","hispidula","Leandra pallida hispidula","Brade",NA,"A. C. Brade","21188","1951","10","10","South America","Brazil","São Paulo","Serra da Bocaina","-44.676361","-22.842145","1600","1600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388065' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520484","NY00520484_01","A. C. Brade","Sao José do Barreiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02012839","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","pallida",NA,"Leandra pallida","Cogn.",NA,"M. Reginato","1349","2012","02","16","South America","Brazil","Rio de Janeiro","P.N. do Itatiaia, Agulhas Negras","-44.658333","-22.384444",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2499553' target='other'> <mi>dwc_moreinfo</mi></a>","NY02012839","NY02012839_01",NA,"Itatiaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
