"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","class","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","individualCount","typeStatus"
"1","2020-09-23 10:40:48-03","E","E","202120","PreservedSpecimen","Plantae","Leguminosae","Mysanthus","uleanus","Mysanthus uleanus","Sakuragui,C.M., Harley,R.M., Sano,P.T., Roque,N. & Souza,V.C.","14954","1994","03","08","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:209794","<a href=http://data.rbge.org.uk/herb/E00202120 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1843656","PreservedSpecimen","Plantae","Fabaceae","Mysanthus","uleanus","Mysanthus uleanus uleanus","G. P. Lewis","1956","1991","04","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2078579' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843656","Magnoliophyta","Fabales","uleanus","(Harms) G.P.Lewis & A.Delgado","Bahia","Rio de Contas","3 km S of Rio de Contas on estrada de terra to Livramento do Brumado","-41.82","-13.62","NY01843656_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01044931","PreservedSpecimen","Plantae","Fabaceae","Mysanthus","uleanus","Mysanthus uleanus uleanus","N. Roque","CFCR14954","1994","03","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1186335' target='other'> <mi>dwc_moreinfo</mi></a>","NY01044931","Magnoliophyta","Fabales","uleanus","(Harms) G.P.Lewis & A.Delgado","Bahia","Caetité","Brejinho das Ametistas","-42.5242","-14.2603","NY01044931_01","G. P. Lewis","900","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1843653","PreservedSpecimen","Plantae","Fabaceae","Mysanthus","uleanus","Mysanthus uleanus uleanus","L. P. de Queiroz","3536","1993","08","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2078576' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843653","Magnoliophyta","Fabales","uleanus","(Harms) G.P.Lewis & A.Delgado","Bahia","Morro do Chapéu","Ca. 1 km E do entroncamento para Cafarnaum, na BA-052 (estrada do Feijao)","-41.1558","-11.5503","NY01843653_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1843459","PreservedSpecimen","Plantae","Fabaceae","Mysanthus","uleanus","Mysanthus uleanus","L. Coradin","6244","1983","06","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2076198' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843459","Magnoliophyta","Fabales",NA,"(Harms) G.P.Lewis & A.Delgado","Bahia","Morro do Chapéu","Rodovia Morro do Chapéu-Irece (BA-052) km 21","-41.33","-11.15","NY01843459_01","G. P. Lewis","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1843658","PreservedSpecimen","Plantae","Fabaceae","Mysanthus","uleanus","Mysanthus uleanus uleanus","G. P. Lewis","1923","1991","03","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2078698' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843658","Magnoliophyta","Fabales","uleanus","(Harms) G.P.Lewis & A.Delgado","Bahia",NA,"C. 4km along estrada de terra from Livramento do Brumado to Rio de Contas","-41.85","-13.63","NY01843658_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1843463","PreservedSpecimen","Plantae","Fabaceae","Mysanthus","uleanus","Mysanthus uleanus","R. M. Harley","19010","1977","02","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2076204' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843463","Magnoliophyta","Fabales",NA,"(Harms) G.P.Lewis & A.Delgado","Bahia","Gentio do Ouro","Serra do Açuruá. 1.5 km. S. of Sâo Inácio on Gentio do Ouro road","-42.73","-11.12","NY01843463_01",NA,"500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1843462","PreservedSpecimen","Plantae","Fabaceae","Mysanthus","uleanus","Mysanthus uleanus","H. S. Irwin","32633","1971","02","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2076203' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843462","Magnoliophyta","Fabales",NA,"(Harms) G.P.Lewis & A.Delgado","Bahia","Morro do Chapéu","Serra doTombador, ca. 22 km W of Morro do Chapéu","-41.1558","-11.5503","NY01843462_01",NA,"1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","777401","PreservedSpecimen","Plantae","Fabaceae","Mysanthus","uleanus","Mysanthus uleanus","W. Ganev","237","1992","05","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=132671' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777401","Magnoliophyta","Fabales",NA,"(Harms) G.P.Lewis & A.Delgado","Bahia","Abaíra","Distrito de Catolés, caminho Barra - Ouro Fino, ca. 1 km da Barra","-41.9","-13.23","NY00777401_01","G. P. Lewis","1250","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1843461","PreservedSpecimen","Plantae","Fabaceae","Mysanthus","uleanus","Mysanthus uleanus","R. M. Harley","21229","1980","04","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2076200' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843461","Magnoliophyta","Fabales",NA,"(Harms) G.P.Lewis & A.Delgado","Bahia",NA,"Serra Geral de Caitité, 1.5 km S of Brejinhos das Ametistas. G5","-42.48","-14.15","NY01843461_01","G. P. Lewis","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
