"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","infraspecificEpithet","fieldNumber","individualCount"
"1","2021-04-05 14:25:28-03","UNESC","CRI","9990","PreservedSpecimen","Plantae","Malvaceae","Hibiscus","diversifolius","Hibiscus diversifolius","Jacq.","M. Verdi","M. Verdi","6231","2012","05","31","Brasil","Rio Grande do Sul","Tramandaí","Canal entre as Lagoas da Custódia e do Gentil.","-50.183889","-30.045278","50º11'2''W","30º2'43''S","2","2","Restinga","CRI003966","CRI003966",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:38-03","UNESC","CRI","13332","PreservedSpecimen","Plantae","Malvaceae","Hibiscus","diversifolius","Hibiscus diversifolius","Jacq.","Vanilde Citadini Zanette","Maria Eduarda Ferreira",NA,"2018","04","18","Brasil","Santa Catarina","Criciúma","Horto medicinal- UNESC","-49.373333","-28.6725","49º22'24''W","28º40'21''S",NA,NA,"Habitat: Terrestre Habito: Arbustivo","CRI011939","CRI011939","2018","04","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:38-03","UNESC","CRI","12266","PreservedSpecimen","Plantae","Malvaceae","Hibiscus","diversifolius","Hibiscus diversifolius","Jacq.","Vanilde Citadini-Zanette","Vanilde Citadini-Zanette",NA,"2017","04","12","Brasil","Santa Catarina","Criciúma","Horto Medicinal UNESC","-49.412778","-28.705278","49º24'46''W","28º42'19''S",NA,NA,"Habito: Arbustivo","CRI010448","CRI010448","2017","04","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","386879","PreservedSpecimen","Plantae","Malvaceae","Hibiscus","diversifolius","Hibiscus diversifolius","Jacq.","F. D. Wilson","B. Rambo","48766","1950","11","11","Brazil","Rio Grande do Sul","Osório","P. Osorio","-50.2694","-29.8869",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=72589' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386879","NY00386879_01",NA,NA,NA,"Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","386880","PreservedSpecimen","Plantae","Malvaceae","Hibiscus","diversifolius","Hibiscus diversifolius","Jacq.",NA,"W. Hoehne",NA,"1944","03","15","Brazil","São Paulo","Sao Paulo","Parque do Estado de Sao Paulo","-46.621883","-23.654505",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=72592' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386880","NY00386880_01",NA,NA,NA,"Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","386878","PreservedSpecimen","Plantae","Malvaceae","Hibiscus","diversifolius","Hibiscus diversifolius","Jacq.",NA,"A. Krapovickas","37715","1982","01","21","Brazil","Santa Catarina","Sao Joao do Sul","24 km S de Sombrio BR-101","-49.81","-29.2233",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=72591' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386878","NY00386878_01",NA,NA,NA,"Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","386881","PreservedSpecimen","Plantae","Malvaceae","Hibiscus","diversifolius","Hibiscus diversifolius","Jacq.",NA,"A. N. Stewart","2001","1905","07",NA,"Ecuador","Galápagos","Chatham Island","On north hill-side; Wreck Bay",NA,NA,NA,NA,"609.6","609.6","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=72593' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386881",NA,NA,NA,NA,"Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","386877","PreservedSpecimen","Plantae","Malvaceae","Hibiscus","diversifolius","Hibiscus diversifolius","Jacq.","P. A. Fryxell","A. Duque","416","1986","11","12","Colombia","Valle del Cauca",NA,"Mpio. de Buga, Puente El Atravesadero, ciénaga El Conchal, corregimiento Chambimbal.",NA,NA,NA,NA,"960","960","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=72590' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386877",NA,NA,NA,NA,"Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA
"9","2020-06-29 11:31:15-03","UFRJ","RFA","6307","PreservedSpecimen","Plantae","Malvaceae","Hibiscus","diversifolius","Hibiscus diversifolius","Jacq.","A. Krapovickas","P. Occhioni","632","1946","08","03","Brasil","Rio de Janeiro","Rio de Janeiro","Restinga da Tijuca","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"Arbusto, flor vinea","RFA26317",NA,"1975","05","03",NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA
"10","2019-12-04 15:25:21-03","PUCPR","HUCP","23299","S","Plantae","Malvaceae","Hibiscus","diversifolius","Hibiscus diversifolius","Jacq.","Barboza, E","Silva, JM; Motta, JT","8651","2014","10","28","Brasil","Paraná","Pontal do Paraná",NA,"-48.511100769043","-25.6735992431641",NA,NA,NA,NA,NA,"HUCP00013329","HUCP00013329",NA,NA,NA,"Eudicotiledonea",NA,NA,NA,"19508","auto",NA,NA,NA,NA
