"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","fieldNumber","typeStatus","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","512377","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Phymatidium","falcifolium","Phymatidium falcifolium","Lindl.","A. L. V. Toscano de Brito","G. G. Hatschbach","23350","1970","01","17","South America","Brazil","Paraná","Guaratuba","Rio Sai","-48.5744","-25.8831","5","5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=408455' target='other'> <mi>dwc_moreinfo</mi></a>","NY00512377","NY00512377_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","512379","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Phymatidium","falcifolium","Phymatidium falcifolium","Lindl.","A. L. V. Toscano de Brito","B. D. Sucre","2249","1968","01","28","South America","Brazil","Rio de Janeiro","Petrópolis","Rocio","-43.251651","-22.476161","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=408456' target='other'> <mi>dwc_moreinfo</mi></a>","NY00512379","NY00512379_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","512373","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Phymatidium","falcifolium","Phymatidium falcifolium","Lindl.","A. C. Cervi","A. C. Cervi","4066","1993","03","17","South America","Brazil","Paraná","Antonina","Reserva Biologica de Sapitanduva","-48.72","-25.42",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=408453' target='other'> <mi>dwc_moreinfo</mi></a>","NY00512373","NY00512373_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","512375","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Phymatidium","falcifolium","Phymatidium falcifolium","Lindl.","A. L. V. Toscano de Brito","G. Gardner","645","1838",NA,NA,"South America","Brazil","Rio de Janeiro",NA,"Serra dos Orgaos","-43.073169","-22.496706",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=408457' target='other'> <mi>dwc_moreinfo</mi></a>","NY00512375","NY00512375_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","512376","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Phymatidium","falcifolium","Phymatidium falcifolium","Lindl.","A. L. V. Toscano de Brito","G. Gardner","645","1837",NA,NA,"South America","Brazil","Rio de Janeiro",NA,"Serra dos Orgaos","-43.073169","-22.496706",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=408458' target='other'> <mi>dwc_moreinfo</mi></a>","NY00512376","NY00512376_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","512378","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Phymatidium","falcifolium","Phymatidium falcifolium","Lindl.","A. L. V. Toscano de Brito","G. F. J. Pabst","8733","1965","12","26","South America","Brazil","Rio de Janeiro",NA,"Serra do Orgaos, estrada par Fazenda Jacarandas",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=408459' target='other'> <mi>dwc_moreinfo</mi></a>","NY00512378","NY00512378_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","512374","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Phymatidium","falcifolium","Phymatidium falcifolium","Lindl.","A. L. V. Toscano de Brito","A. Gehrt","5273","1922","02","14","South America","Brazil","São Paulo","Ribeirao Pires","Alto da Serra, matta da Estacao Biologica","-46.4097","-23.71",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=408454' target='other'> <mi>dwc_moreinfo</mi></a>","NY00512374","NY00512374_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","298246","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Phymatidium","tillandsioides","Phymatidium tillandsioides","Barb.Rodr.","H. E. Luther","W. W. Thomas","11804","1998","02","10","South America","Brazil","Bahia","Jussari","Serra do Teimoso, 7.5 km N of Jussari on road to Palmira, then 2 km W to Fazenda Teimoso, then 45 min. walk W to Reserva da Fazenda Teimoso.","-39.58","-15.17","450","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=369120' target='other'> <mi>dwc_moreinfo</mi></a>","NY00298246","NY00298246_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","512381","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Phymatidium","tillandsioides","Phymatidium tillandsioides","Barb.Rodr.","E. A. Christenson","K. Mizoguchi","2510","1979","12","03","South America","Brazil","São Paulo","Caraguatatuba","Alto da Serra, Caraguatatuba. Along the route Br-383","-45.4097","-23.6203","300","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=369121' target='other'> <mi>dwc_moreinfo</mi></a>","NY00512381","NY00512381_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-13 09:20:35-03","UFRJ","RFA","42911","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Phymatidium","falcifolium","Phymatidium falcifolium","Lindl.","M.S. Wängler","M.S. Wängler","1325","2013","04","07",NA,"Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares. estrada do Morão, Alho","-43.3725","-22.45",NA,NA,NA,"Corola branca","RFA38917",NA,"2013","43º22'21''W","22º27'0''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
