"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","scientificNameAuthorship","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","individualCount","fieldNumber","typeStatus","relatedCatalogItem","sex"
"1","2020-09-23 10:40:33-03","E","E","176425","PreservedSpecimen","Plantae","Leguminosae","Centrosema","sagittatum","Centrosema sagittatum","Coradin, Silva, Penteado & De Souza Costa","7873","1987","06","30","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:185308","<a href=http://data.rbge.org.uk/herb/E00176425 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00176425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:33-03","E","E","176424","PreservedSpecimen","Plantae","Leguminosae","Centrosema","sagittatum","Centrosema sagittatum","Coradin, Silva, Penteado & De Souza Costa","7864","1987","06","30","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:185314","<a href=http://data.rbge.org.uk/herb/E00176424 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00176424",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-11-01 12:20:00-02","NY","NYBG","585319","PreservedSpecimen","Plantae","Fabaceae","Centrosema","sagittatum","Centrosema sagittatum","J. C. de Moraes Vasconcelos","1175","1954","09","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=768482' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585319","Magnoliophyta","Fabales","Paraíba","Areia","Escola de Agronomia do Nordeste, Areia","-35.716443","-6.970951","NY00585319_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","585322","PreservedSpecimen","Plantae","Fabaceae","Centrosema","sagittatum","Centrosema sagittatum","H. H. Rusby","1049","1886","05",NA,"South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=768485' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585322","Magnoliophyta","Fabales",NA,NA,"Guanai",NA,NA,"NY00585322_01","(Humb., Bonpl. & Kunth) Brandegee","609.6","609.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 18:41:00-03","NY","NYBG","585323","PreservedSpecimen","Plantae","Fabaceae","Centrosema","sagittatum","Centrosema sagittatum","O. L. Haught","3843","1943","11","14","South America","Colombia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=768486' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585323","Magnoliophyta","Fabales","Magdalena",NA,"On Rio Cicarare, 14 km south of Codazzi",NA,NA,NA,NA,"150","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00982494","PreservedSpecimen","Plantae","Fabaceae","Centrosema","sagittatum","Centrosema sagittatum","H. S. Irwin","24569","1969","03","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1108202' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982494","Magnoliophyta","Fabales","Goiás","Cavalcante","Chapada dos Veadeiros, ca. 41 km north of Alto Paraíso de Goiás (formerly Veadeiros).","-47.5167","-13.74613","NY00982494_01","(Humb., Bonpl. & Kunth) Brandegee","1000","1000","R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-11-01 12:20:00-02","NY","NYBG","585321","PreservedSpecimen","Plantae","Fabaceae","Centrosema","sagittatum","Centrosema sagittatum","A. M. V. de Carvalho","3811","1992","02","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=768480' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585321","Magnoliophyta","Fabales","Bahia","Vitória da Conquista","Ramal a 15 km na estrada Bitória da Conquista à Ilhéus","-40.8392","-14.8661","NY00585321_01",NA,NA,NA,"R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","585325","PreservedSpecimen","Plantae","Fabaceae","Centrosema","sagittatum","Centrosema sagittatum","J. A. Steyermark","123156","1980","06","02","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=768487' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585325","Magnoliophyta","Fabales","Zulia","Mara","Vicinity of experimental open pit coal mine, 1 km west of Corpozulia Campamento Carichuano","-72.28","11.0083",NA,"(Humb., Bonpl. & Kunth) Brandegee","80","80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-11-01 12:20:00-02","NY","NYBG","585320","PreservedSpecimen","Plantae","Fabaceae","Centrosema","sagittatum","Centrosema sagittatum","R. P. Belém","3593","1968","05","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=768483' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585320","Magnoliophyta","Fabales","Bahia","Encruzilhada","Encruzilhada, margem do Rio Pardo","-40.9092","-15.5317","NY00585320_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-10-28 16:13:00-02","NY","NYBG","00982519","PreservedSpecimen","Plantae","Fabaceae","Centrosema","sagittatum","Centrosema sagittatum","L. Coradin","7864","1987","06","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1108250' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982519","Magnoliophyta","Fabales","Ceará","Tianguá","Rodavia Sobral-Tiangua (BR-222) Km. 67, inicio da subida da Serra de Ibiapaba","-40.93","-3.67","NY00982519_01",NA,"240","240","L. Coradin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","585324","PreservedSpecimen","Plantae","Fabaceae","Centrosema","sagittatum","Centrosema sagittatum","A. Schinini","27647","1993","03","21","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=768481' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585324","Magnoliophyta","Fabales","Itapúa",NA,"16 km N de Cnel. Bogado","-56.17","-27.12",NA,"(Humb., Bonpl. & Kunth) Brandegee",NA,NA,"R. O. Vanni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
