"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","typeStatus","locality","phylum","order","scientificNameAuthorship","imagecode","identifiedBy","stateProvince","decimalLongitude","decimalLatitude","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","dayIdentified","class","fieldNumber","minimumDepthInMeters","maximumDepthInMeters","individualCount","eventTime"
"1","2020-09-23 10:36:12-03","E","E","105084","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","Fiebrig, K.","5677","1905","03","23","E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:114279","<a href=http://data.rbge.org.uk/herb/E00105084 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00105084",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:12-03","E","E","265530","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","Tweedie, John",NA,NA,NA,NA,"Temperate South America","UY","herbarium specimen of unspecif","BGBASE:285457","<a href=http://data.rbge.org.uk/herb/E00265530 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00265530","isotype","coast of the Rio Jacqari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","971023","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","L. Riedel","s.n.",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1064070' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971023",NA,NA,"Magnoliophyta","Gentianales","(Hook. & Arn.) Woodson","NY00971023_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 12:04:00-03","NY","NYBG","644021","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","J. E. Leite","623","1941","11",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381701' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644021",NA,"In monte Zimmer","Magnoliophyta","Gentianales",NA,"NY00644021_01","R. E. Woodson Jr.","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 12:04:00-03","NY","NYBG","440533","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","A. C. Cervi","6205","1996","11","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381700' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440533",NA,"Recanto dos Papagaios. Ponta Grossa","Magnoliophyta","Gentianales",NA,"NY00440533_01","A. C. Cervi","Paraná","-49.98","-25.42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 12:04:00-03","NY","NYBG","644019","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","R. Reitz","14283","1962","12","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381702' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644019",NA,"Campos Novos","Magnoliophyta","Gentianales",NA,"NY00644019_01","M. F. de Sales","Santa Catarina","-51.2247","-27.4019","Campos Novos","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","440418","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","F. C. Hoehne","895","1917","12","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381704' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440418",NA,"Butantan","Magnoliophyta","Gentianales","(Hook. & Arn.) Woodson","NY00440418_01",NA,"São Paulo","-46.724373","-23.565521","Sao Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-30 02:30:00-03","NY","NYBG","1183036","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","J. C. Lindeman","3978","1967","01","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1418039' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183036",NA,"Park Santa Maria near Tamandaré, 10 km N. of Curitiba.","Magnoliophyta","Gentianales",NA,"NY01183036_01","J. C. Lindeman","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","971423","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","H. S. Irwin","8578","1965","09","23","South America","Brazil","unspecified",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1071882' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971423",NA,"Ca. 10 km S. of Brasília, on road to Belo Horizonte","Magnoliophyta","Gentianales","(Hook. & Arn.) Woodson","NY00971423_01","F. Markgraf","Distrito Federal","-47.98","-16","Brasília","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","971022","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","coccinea","Mandevilla coccinea","A. F. Regnell","III875","1856","12","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1064069' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971022",NA,"Caldas.","Magnoliophyta","Gentianales","(Hook. & Arn.) Woodson","NY00971022_01",NA,"Minas Gerais","-46.3858","-21.9236","Caldas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
