"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","locality","preparationType","coordinatePrecision","geoFlag","class","minimumElevationInMeters","maximumElevationInMeters","individualCount","fieldNumber","typeStatus"
"1","2021-04-08 15:16:31-03","UNESC","CRI","6443","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","smithii","Pamphalea smithii","Cabrera","J. A. Jarenkow","1998","01","20","J. A. Jarenkow","1998","01","20","Brasil","Rio Grande do Sul","São José dos Ausentes","-49.989722","-28.793056","49º59'23''W","28º47'35''S","Flores brancas; Capítulos com filárias verdes","CRI001123","CRI001123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","779233","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","smithii","Pamphalea smithii","Cabrera","M. Sobral",NA,NA,NA,"M. Sobral","1983","12",NA,"Brazil","Rio Grande do Sul","Cambará do Sul","-50.1444","-29.0481",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=129496' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779233","NY00779233_01","Magnoliophyta","Asterales","2715","South America","Faxinal","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","779235","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","smithii","Pamphalea smithii","Cabrera","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","1970","11","18","Brazil","Paraná","Jaguariaíva","-49.7056","-24.2511",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=129497' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779235","NY00779235_01","Magnoliophyta","Asterales","25505","South America","Sertao de Cima","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","779234","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","smithii","Pamphalea smithii","Cabrera","M. Sobral",NA,NA,NA,"M. Sobral","1986","01",NA,"Brazil","Santa Catarina","Bom Jardim da Serra","-49.6244","-28.3369",NA,NA,"M. Sobral et al. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=129498' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779234","NY00779234_01","Magnoliophyta","Asterales","4843","South America","Desfiladeiro do Funil","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-18 09:28:53-03","UNESP-IBB","BOTU","11830","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","smithii","Pamphalea smithii","Cabrera",NA,NA,NA,NA,"Sobral, M.","1983","12",NA,"Brasil","Rio Grande do Sul","Faxinal",NA,NA,"9999","9999","Erva em banhado, capítulos amarelos","BOTU011830",NA,NA,NA,"2715",NA,"Cambará do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:19:03-03","UFRJ","RFA","8395","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","smithii","Pamphalea smithii","Cabrera","G.G. Hatschbach",NA,NA,NA,"G.G. Hatschbach","1965","10","01","Brasil","Paraná","Ponta Grossa","-50.1618995666504","-25.0949993133545",NA,NA,"Capítulos alvos","RFA27535",NA,NA,NA,"12853",NA,"Rodovia do Café. Fazenda Barrozinha",NA,"46557","auto",NA,NA,NA,NA,NA,NA
"7","2020-11-13 09:19:03-03","UFRJ","RFA","8750","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","smithii","Pamphalea smithii","Cabrera","A. Cabrera",NA,NA,NA,"G.G. Hatschbach","1967","10","03","Brasil","Paraná","Colombo","-49.2242012023926","-25.2917003631592",NA,NA,"Capítulos alvos","RFA27707",NA,NA,NA,"17263",NA,"Rio Canguiri",NA,"13536","auto",NA,NA,NA,NA,NA,NA
"8","2020-11-13 09:19:03-03","UFRJ","RFA","8136","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","smithii","Pamphalea smithii","Cabrera","Olavo A. Guimarães",NA,NA,NA,"P. Occhioni","1966","11","09","Brasil","Paraná","Ponta Grossa","-50.1618995666504","-25.0949993133545",NA,NA,"Erva, corola branca","RFA27391",NA,NA,NA,"3416",NA,"Parque Estadual de Vila Velha",NA,"46557","auto",NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:01:57-03","ESALQ","ESA","60442","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","smithii","Pamphalea smithii","Cabr.","Jarenkow, J.A.",NA,NA,NA,"Jarenkow, J.A. ; Garcia, E.N.","1997","11","16","Brasil","Rio Grande do Sul","São José dos Ausentes","-50.0657997131348","-28.7483005523682",NA,NA,NA,"ESA060442","ESA060442","Magnoliophyta",NA,"3638.0",NA,NA,NA,"42598","auto",NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:01:57-03","ESALQ","ESA","60440","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","smithii","Pamphalea smithii","Cabr.","Monge, M.",NA,NA,NA,"Jarenkow, J.A. ; Garcia, E.N.","1997","11","16","Brasil","Rio Grande do Sul","Vacaria","-50.9338989257812","-28.5121994018555",NA,NA,NA,"ESA060440",NA,"Magnoliophyta",NA,"3630.0",NA,NA,NA,"63451","auto",NA,NA,NA,NA,NA,NA
"11","2020-11-04 11:01:57-03","ESALQ","ESA","91327","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","smithii","Pamphalea smithii",NA,"Monge, M.",NA,NA,NA,"Souza, V.C. ; Kinupp, V.F.","2005","01","21","Brasil","Rio Grande do Sul","Cambará do Sul","-50.1446990966797","-29.0478000640869",NA,NA,"Erva, ca. 25 cm alt.; capítulos alvos. Na borda de rio pedregoso.","ESA091327",NA,"Magnoliophyta",NA,"30538.0",NA,"Parque Nacional da Serra Geral. Arroio do Tigre Preto, próximo ao Canyon Fortaleza. Campos de Cima da Serra.",NA,"30776","auto",NA,NA,NA,NA,NA,NA
"12","2019-02-15 11:34:24-02","IPA","IPA","89171","S","Plantae","Asteraceae","Pamphalea","smithii","Pamphalea smithii","Cabrera","Moraes, M.D. de",NA,NA,NA,"Moraes, M.D. de","2005","11","12","Brasil","Santa Catarina",NA,NA,NA,NA,NA,"Flores brancas.; Campo de altitude com Araucária. Solo turfoso.","IPA0089171","IPA0089171","Plantae",NA,"773","Southern America","ca. 5 km de Bom Jardim da Serra para Lauro Miller, margem de riacho.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-08-27 13:27:45-03","IAP","PACA-AGP","8666","PreservedSpecimen","Plantae","Compositae","Pamphalea","smithii","Pamphalea smithii","Cabrera","C. Mondin","1993","08",NA,"Rambo, B.","1942","01","10","Brasil","RS","Bom Jesus","-50.4166984558105","-28.6678009033203",NA,NA,"VULNERÁVEL Habitat: in humidis turfosis graminosis Fenofase: flor","PACA008666",NA,"Magnoliophyta","Asterales",NA,NA,"Serra da rocinha",NA,"55856","auto","Magnoliatae",NA,NA,NA,NA,NA
"14","2019-08-27 13:27:45-03","IAP","PACA-AGP","53744","PreservedSpecimen","Plantae","Compositae","Pamphalea","smithii","Pamphalea smithii","Cabrera","C. Mondin","1993","08",NA,"Rambo, B.","1953","02","03","Brasil","RS","Bom Jesus","-50.4166984558105","-28.6678009033203",NA,NA,"VULNERÁVEL Habitat: in humidis graminosis Fenofase: flor","PACA053744",NA,"Magnoliophyta","Asterales",NA,NA,"Serra da Rocinha",NA,"55856","auto","Magnoliatae",NA,NA,NA,NA,NA
"15","2019-08-27 13:27:45-03","IAP","PACA-AGP","45376","PreservedSpecimen","Plantae","Compositae","Pamphalea","smithii","Pamphalea smithii","Cabrera","C. Mondin","1993","08",NA,"Rambo, B.","1950","01","18","Brasil","RS","Bom Jesus","-50.4166984558105","-28.6678009033203",NA,NA,"VULNERÁVEL Habitat: in humidis turfosis graminosis Fenofase: flor","PACA045376",NA,"Magnoliophyta","Asterales",NA,NA,"Serra da Rocinha",NA,"55856","auto","Magnoliatae",NA,NA,NA,NA,NA
"16","2019-08-27 13:27:45-03","IAP","PACA-AGP","35256","PreservedSpecimen","Plantae","Compositae","Pamphalea","smithii","Pamphalea smithii","Cabrera","C. Mondin","1993","08",NA,"Rambo, B.","1947","02","14","Brasil","RS","Bom Jesus","-50.4166984558105","-28.6678009033203",NA,NA,"VULNERÁVEL Habitat: in humidis turfosis graminosis Fenofase: flor","PACA035256",NA,"Magnoliophyta","Asterales",NA,NA,"Serra da Rocinha",NA,"55856","auto","Magnoliatae",NA,NA,NA,NA,NA
"17","2019-08-27 13:27:45-03","IAP","PACA-AGP","36329","PreservedSpecimen","Plantae","Compositae","Pamphalea","smithii","Pamphalea smithii","Cabrera","Platt, F. H.","2014","07",NA,"Rambo, B.","1948","02",NA,"Brasil","RS","Cambará do Sul","-50.1446990966797","-29.0478000640869",NA,NA,"VULNERÁVEL Habitat: in humidis turfosis graminosis Fenofase: flor","PACA036329",NA,"Magnoliophyta","Asterales",NA,NA,"Serra da Pedra",NA,"30776","auto","Magnoliatae",NA,NA,NA,NA,NA
"18","2019-08-27 13:27:45-03","IAP","PACA-AGP","30490","PreservedSpecimen","Plantae","Compositae","Pamphalea","smithii","Pamphalea smithii","Cabrera","C. Mondin","1993","01",NA,"Reitz, R.","1943","12","28","Brasil","RS","Cambará do Sul","-50.1446990966797","-29.0478000640869",NA,NA,"VULNERÁVEL Habitat: in humidis turfosis graminosis Fenofase: flor","PACA030490",NA,"Magnoliophyta","Asterales",NA,NA,"Serra da Pedra",NA,"30776","auto","Magnoliatae",NA,NA,NA,NA,NA
"19","2019-08-27 13:27:45-03","IAP","PACA-AGP","99488","PreservedSpecimen","Plantae","Compositae","Pamphalea","smithii","Pamphalea smithii","Cabrera","N.I. Matzembacher","2005","07","11","Bottega kerber, K.T.","2005","03","15","Brasil","RS","Cambará do Sul","-50.133333","-29.033333","50°08'W","29°02'S","Hasu Habitat: terrestre","PACA099488",NA,"Magnoliophyta","Asterales","193",NA,"Parque Nacional dos Aparados da Serra",NA,NA,NA,"Magnoliatae",NA,NA,NA,NA,NA
"20","2019-08-27 13:27:45-03","IAP","PACA-AGP","8562","PreservedSpecimen","Plantae","Compositae","Pamphalea","smithii","Pamphalea smithii","Cabrera","Platt, F. H.","2014","07",NA,"Rambo, B.","1942","01","13","Brasil","RS","Bom Jesus","-50.4166984558105","-28.6678009033203",NA,NA,"Habitat: in humidis turfosis graminosis Fenofase: flor","PACA008562",NA,"Magnoliophyta","Asterales",NA,NA,"Rio dos Touros",NA,"55856","auto","Magnoliatae",NA,NA,NA,NA,NA
"21","2020-12-21 16:36:49-03","IAP","PACA-AGP","105721","PreservedSpecimen","Plantae","Compositae","Pamphalea","smithii","Pamphalea smithii","Cabrera","Platt, F. H.","2014","07",NA,"Iob & Mondin","2001","11","11","Brasil","RS","São José dos Ausentes","-50.0657997131348","-28.7483005523682",NA,NA,"Erva Fenofase: lígulas brancas","PACA105721",NA,"Magnoliophyta","Asterales","176",NA,"banhado na entrada da cidade",NA,"42598","auto","Magnoliatae",NA,NA,NA,NA,NA
"22","2019-08-27 13:27:45-03","IAP","PACA-AGP","92532","PreservedSpecimen","Plantae","Compositae","Pamphalea","smithii","Pamphalea smithii","Cabrera","C. Mondin",NA,NA,NA,"C. Mondin & A. Iob","2001","11","11","Brasil","RS","São José dos Ausentes","-50.0657997131348","-28.7483005523682",NA,NA,"capítulos brancos. HASU 14379. Habitat: campo úmido Hábito: erva","PACA092532",NA,"Magnoliophyta","Asterales","2453",NA,"na estrada para Rocinha",NA,"42598","auto","Magnoliatae",NA,NA,NA,NA,NA
"23","2019-08-27 13:27:45-03","IAP","PACA-AGP","92533","PreservedSpecimen","Plantae","Compositae","Pamphalea","smithii","Pamphalea smithii","Cabrera","Platt, F. H.","2014","07",NA,"C. Mondin & A. Iob","2001","09","11","Brasil","RS","São José dos Ausentes","-50.0657997131348","-28.7483005523682",NA,NA,"capítulos brancos. HASU 14362.","PACA092533",NA,"Magnoliophyta","Asterales","2446",NA,"na saída da cidade",NA,"42598","auto","Magnoliatae",NA,NA,NA,NA,NA
"24","2019-08-27 13:27:45-03","IAP","PACA-AGP","86446","PreservedSpecimen","Plantae","Compositae","Pamphalea","smithii","Pamphalea smithii","Cabrera","H. Robinson","2002",NA,NA,"Hatschbach, G.","2001","11","13","Brasil","RS","São José dos Ausentes","-50.0657997131348","-28.7483005523682",NA,NA,"VULNERÁVEL&nf;ereta, capítulo alvo Habitat: campo limpo seco","PACA086446",NA,"Magnoliophyta","Asterales","72674",NA,"Rod. São José dos Ausentes-Silveira",NA,"42598","auto","Magnoliatae",NA,NA,NA,NA,NA
"25","2019-08-27 13:27:45-03","IAP","PACA-AGP","92537","PreservedSpecimen","Plantae","Compositae","Pamphalea","smithii","Pamphalea smithii","Cabrera","Plantt, F. H.","2014","07",NA,"Mondin, C.","2000","12","01","Brasil","RS","São Francisco de Paula","-50.5835990905762","-29.4480991363525",NA,NA,"HASU 15735. Habitat: campo seco na beira de estrada","PACA092537",NA,"Magnoliophyta","Asterales","2106",NA,"Rodovia RS 453",NA,"76715","auto","Magnoliatae",NA,NA,NA,NA,NA
"26","2019-08-27 13:27:45-03","IAP","PACA-AGP","50939","PreservedSpecimen","Plantae","Compositae","Pamphalea","smithii","Pamphalea smithii","Cabrera","Platt, F. H.","2014","07",NA,"Sehnem, A.","1950","12","19","Brasil","RS","São Francisco de Paula","-50.5835990905762","-29.4480991363525",NA,NA,"VULNERÁVEL Habitat: in humidis turfosis graminosis Fenofase: flor","PACA050939",NA,"Magnoliophyta","Asterales","5184",NA,"Taimbezinho",NA,"76715","auto","Magnoliatae",NA,NA,NA,NA,NA
"27","2020-12-21 16:36:49-03","IAP","PACA-AGP","105829","PreservedSpecimen","Plantae","Compositae","Pamphalea","smithii","Pamphalea smithii","Cabrera",NA,NA,NA,NA,"Iob & Mondin","2001","11","11","Brasil","RS","São José dos Ausentes","-50.0657997131348","-28.7483005523682",NA,NA,"erva Fenofase: lígulas brancas","PACA105829",NA,"Magnoliophyta","Asterales","179",NA,"passando o posto de fiscalização",NA,"42598","auto","Magnoliatae",NA,NA,NA,NA,NA
