"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","identifiedBy","imagecode","infraspecificEpithet","typeStatus","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","585538","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","cajanifolia","Clitoria cajanifolia","(C.Presl) Benth.","G. Eiten","7865","1966","11","20","South America","Brazil","Rio de Janeiro","Magé","Along road 4.2 km north of Mauá Beach","-43.0406","-22.6531","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=266522' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585538",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","585539","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","cajanifolia","Clitoria cajanifolia","(C.Presl) Benth.","I. Silberbauer-Gottsberger","12-201182","1982","11","20","South America","Brazil","Maranhão","São Luís","Ilha de Sao Luís (city of Sao Luís), 6 km NNE from the center of the city","-44.25","-2.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=266518' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585539","R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","585537","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","cajanifolia","Clitoria cajanifolia","(C.Presl) Benth.","S. Tsugaru","B-1313","1987","08","29","South America","Brazil","Paraíba","Joao Pessoa","Near Joao Pessoa, along the Rt. BR-101","-34.8631","-7.115","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=266521' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585537",NA,"NY00585537_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-10-21 09:23:00-02","NY","NYBG","6483","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","cajanifolia","Clitoria cajanifolia latifolia","Chodat & Hassl.","E. Hassler","5062",NA,NA,NA,"South America","Paraguay",NA,NA,"In campo Ipe hu, Sierra de Maracayu.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=213689' target='other'> <mi>dwc_moreinfo</mi></a>","NY00006483",NA,"NY00006483_01","latifolia","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","6482","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","cajanifolia","Clitoria cajanifolia glabrior","Benth.","G. Gardner","969","1836",NA,NA,"South America","Brazil","Pernambuco",NA,"Pernambuco",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339035' target='other'> <mi>dwc_moreinfo</mi></a>","NY00006482",NA,"NY00006482_01","glabrior","type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","6481","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","cajanifolia","Clitoria cajanifolia glabrior","Benth.","G. Gardner","969","1836",NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339034' target='other'> <mi>dwc_moreinfo</mi></a>","NY00006481",NA,"NY00006481_01","glabrior","type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-27 07:38:00-03","NY","NYBG","585534","PreservedSpecimen","Plantae",NA,"Fabales","Fabaceae","Clitoria","cajanifolia","Clitoria cajanifolia",NA,"S. Kent","0785-37","1985","07","25","South America","Venezuela","Amazonas",NA,"Kareka/Cabecera poñoto; upper reaches of poñoto (caño Lapita), left bank tributary of upper Cuao River","-66.92","5.42","sheet","[On label collector reads Stanford Zent, probably Stanford Kent] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=266517' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585534","S. S. Tillett",NA,NA,NA,"300","350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00983361","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","cajanifolia","Clitoria cajanifolia","(C.Presl) Benth.","L. Riedel","211","1835","04",NA,"South America","Brazil",NA,NA,"[illegible] Cruz d. Casma",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1114417' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983361",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","585535","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","cajanifolia","Clitoria cajanifolia","(C.Presl) Benth.","G. Eiten","7850","1966","11","20","South America","Brazil","Rio de Janeiro","Magé","At Mauá beach on Guanabara bay. 1100 m from shore","-43.0406","-22.6531","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=266519' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585535",NA,"NY00585535_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00748693","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","cajanifolia","Clitoria cajanifolia","(C.Presl) Benth.","M. G. da Silva","1008","1967","05","27","South America","Brazil","Pará",NA,"Campo do Caimbé",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=880179' target='other'> <mi>dwc_moreinfo</mi></a>","NY00748693","M. G. da Silva","NY00748693_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","585536","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","cajanifolia","Clitoria cajanifolia","(C.Presl) Benth.","S. Tsugaru","B-1309","1987","08","29","South America","Brazil","Paraíba","Joao Pessoa","Near Joao Pessoa, along the Rt. BR-101","-34.8631","-7.115","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=266520' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585536",NA,"NY00585536_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00983362","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","cajanifolia","Clitoria cajanifolia","(C.Presl) Benth.","R. de Lemos Fróes","21567","1946","04","05","South America","Brazil","Maranhão","São Luís","Praia d'Olho d'Agua","-44.3028","-2.5297","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1114409' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983362",NA,"NY00983362_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","585762","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","laurifolia","Clitoria laurifolia","Poir.","K. Lems","s.n.","1964","03","08","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Barra de Tijuca","-43.369099","-22.995332","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745251' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585762",NA,"NY00585762_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","585745","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","laurifolia","Clitoria laurifolia","Poir.","A. Krapovickas","33560","1978","02","08","South America","Brazil","Rio de Janeiro",NA,"Puerto Frade, ± 25 km W de Argra dos Reis",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745247' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585745","K. R. B. Garden","NY00585745_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
