"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","755825","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Hiraea","fagifolia","Hiraea fagifolia","(DC.) A.Juss.","W. R. Anderson","C. A. Cid Ferreira","3060","1980","10","27","South America","Brazil","Acre","Rio Branco","Estrada para Porto do Acre Km13, ramal a esquerda, a 4Km da estrada Colonia Cinco Mil.","-67.7557755","-9.8462363","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315124' target='other'> <mi>dwc_moreinfo</mi></a>","NY00755825",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","476007","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Hiraea","fagifolia","Hiraea fagifolia","(DC.) A.Juss.","W. R. Anderson","G. G. Hatschbach","40553","1977","12","09","South America","Brazil","Paraná","Santa Helena","Porto Verde","-54.3328","-24.8606","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315123' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00916114","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Hiraea","fagifolia","Hiraea fagifolia","(DC.) A.Juss.","W. R. Anderson","G. G. Hatschbach","47318","1983","12","16","South America","Brazil","Mato Grosso do Sul","Iguatemi","5 km O.","-54.5608","-23.6806","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985101' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916114","NY00916114_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","533209","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Hiraea","fagifolia","Hiraea fagifolia","(DC.) A.Juss.","M. C. H. Mamede","W. Hoehne","5827","1964","10","21","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Estado da Guanabara. Barra da Tijuca.","-43.369099","-22.995332","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315128' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","476008","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Hiraea","fagifolia","Hiraea fagifolia","(DC.) A.Juss.","J. P. Mul","J. C. Lindeman","4429","1967","01","24","South America","Brazil","Paraná","Guairá","Guaira, 7 Quedas","-54.2556","-24.08","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315120' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","755823","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Hiraea","fagifolia","Hiraea fagifolia","(DC.) A.Juss.","W. R. Anderson","D. C. Daly","7247","1991","11","09","South America","Brazil","Acre","Xapuri","Rio Acre @ 3 hours by boat downstream from Xapuri and 1 hr walking inland from left bank","-68.33","-10.75","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315133' target='other'> <mi>dwc_moreinfo</mi></a>","NY00755823",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","476013","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Hiraea","fagifolia","Hiraea fagifolia blanchetiana","(Moric.) Nied.","F. C. Hoehne","F. C. Hoehne","28668","1932","01","05","South America","Brazil","São Paulo","Sao Paulo","Jardim Botanico","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=300278' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476013",NA,"blanchetiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00916115","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Hiraea","fagifolia","Hiraea fagifolia","(DC.) A.Juss.","W. R. Anderson","T. C. Plowman","8309","1980","02","03","South America","Brazil","Tocantins","Presidente Kennedy","Road from highway BR-153 to Itaporã, 12 km west of village of Presidente Kennedy. Fazenda Primavera along Ribeirão Feínho.","-48.6008","-8.5006","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985104' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916115",NA,NA,"400","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","867732","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Hiraea","fagifolia","Hiraea fagifolia","(DC.) A.Juss.","W. R. Anderson","M. Alves","2557","2002","01","27","South America","Brazil","Acre","Feijó","Rio Envira, Bacia do Rio Juruá, ao longo do rio na margem direita, sede do Seringal Santa Helena.","-70.5558889","-8.6869722","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=916841' target='other'> <mi>dwc_moreinfo</mi></a>","NY00867732","NY00867732_01",NA,"220","240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","476009","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Hiraea","fagifolia","Hiraea fagifolia","(DC.) A.Juss.","J. P. Mul","G. G. Hatschbach","4376","1967","01","22","South America","Brazil","Paraná",NA,"By road from Pôrto Camargo to Pérola",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315121' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
