"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","identifiedBy","county","decimalLongitude","decimalLatitude","imagecode","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","infraspecificEpithet","yearIdentified","monthIdentified","class","dayIdentified","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","634215","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Ruppiaceae","Ruppia","maritima","Ruppia maritima","L.","F. R. Fosberg","21707","1944","04","04","South America","Colombia","Boyacá","Paipa","2575","2575","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=56671' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","634213","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Ruppiaceae","Ruppia","maritima","Ruppia maritima","L.","L. Camargo de Abreu","6","1974","02","02","South America","Brazil","Paraíba","Rio Namumbuca (temperario), cerca de 8 km W de Campina Grande",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=56669' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634213","J. A. Kallunki","Campina Grande","-35.8808","-7.2308","NY00634213_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","634214","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Ruppiaceae","Ruppia","maritima","Ruppia maritima","L.","J. C. de Moraes Vasconcelos","1016","1953","10","18","South America","Brazil","Paraíba",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=56668' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634214","D. de A. Lima","Areia","-35.712202","-6.95148","NY00634214_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:32:27-03","UFRJ","RFA","39112","PreservedSpecimen","Plantae",NA,NA,"Ruppiaceae","Ruppia","maritima","Ruppia maritima","L.","A. R. Soares; N. Nocchi",NA,"2008","09","03",NA,"Brasil","Rio de Janeiro","PARNA Restinga de Jurubatiba, Lagoa das Garças",NA,NA,NA,NA,"RFA48129",NA,"Quissamã","-41.4721984863281","-22.1067008972168",NA,"33509","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:32:27-03","UFRJ","RFA","3177","PreservedSpecimen","Plantae",NA,NA,"Ruppiaceae","Ruppia","maritima","Ruppia maritima","L.","Rabenorst",NA,NA,NA,NA,NA,"França",NA,"Bari prés Naples",NA,NA,NA,NA,"RFA52614",NA,"França",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:32:27-03","UFRJ","RFA","38578","PreservedSpecimen","Plantae",NA,NA,"Ruppiaceae","Ruppia","maritima","Ruppia maritima","L.","N. C. Machado; T. U. P. Konno","176","2010","05","21",NA,"Brasil","Rio de Janeiro","Parque Nacional da Restinga de Jurubatiba. Próximo a Lagoa Piri-Piri. Poça 29 (fundo)",NA,NA,NA,"Erva Aquática","RFA34103",NA,"Quissamã","-41.241944","-22.103611",NA,NA,NA,"41º14'31''W","22º6'13''S",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:32:27-03","UFRJ","RFA","38613","PreservedSpecimen","Plantae",NA,NA,"Ruppiaceae","Ruppia","maritima","Ruppia maritima","L.","N .C. Machado; T. U. P. Konno","207","2010","05","21",NA,"Brasil","Rio de Janeiro","PARNA Restinga de Jurubatiba. Próximo a Lagoa Catingosa. Poça 16 (2a. a partir da barra)",NA,NA,NA,"Ervas submersas fixas","RFA34102",NA,"Quissamã","-41.241944","-22.103611",NA,NA,NA,"41º14'31''W","22º6'13''S",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 11:32:27-03","UFRJ","RFA","40062","PreservedSpecimen","Plantae",NA,NA,"Ruppiaceae","Ruppia","maritima","Ruppia maritima","L.","T. U. P. Konno; A. R. Soares; J. M. S. Souza; V. T. Cardoso","892","2006","08","18",NA,"Brasil","Rio de Janeiro","Parque Nacional da Restinga de Jurubatiba",NA,NA,NA,NA,"RFA33168",NA,"Quissamã","-41.241944","-22.103611",NA,NA,NA,"41º14'31''W","22º6'13''S",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 11:32:27-03","UFRJ","RFA","5387","PreservedSpecimen","Plantae",NA,NA,"Ruppiaceae","Ruppia","maritima","Ruppia maritima","L.",NA,NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Lagoa de Araruama",NA,NA,NA,"Planta aquática","RFA32016","P. Occhioni","Araruama","-42.3431015014648","-22.8728008270264",NA,"38914","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:33:02-03","EAO","IAN","101426","PreservedSpecimen","Plantae",NA,NA,"Potamogetonaceae","Ruppia","maritima","Ruppia maritima","L.","Lanjouw, J","3080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN101426",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
