"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","recordNumber","locality","minimumElevationInMeters","maximumElevationInMeters","phylum","order","continentOcean","preparationType","typeStatus","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","previousCatalogNumber","fieldNumber","individualCount"
"1","2021-04-05 14:25:24-03","UNESC","CRI","6494","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia","(Meisn.) Mez","J. A. Jarenkow","J. A. Jarenkow","1997","02","28","Brasil","Rio Grande do Sul","Marcelino Ramos","-51.906667","-27.462222","51º54'24''W","27º27'44''S","Habitat: mata Habito: arbórea","CRI003610","CRI003610",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:24-03","UNESC","CRI","9429","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia","(Meisn.) Mez","M. Verdi","M. Verdi; R. P. Hasckel & G. Klemz","2009","03","18","Brasil","Santa Catarina","Zortéa","-51.613889","-27.494167","51º36'50''W","27º29'39''S","Ecótono Floresta Estacional Decidual/Floresta Ombrófila Mista","CRI003609","CRI003609","2009","03","18","1821","Passo Raso.","661","661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:37-03","UNESC","CRI","5363","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia","(Meisn.) Mez","J. A. Jarenkow","J. A. Jarenkow","1992","11","26","Brasil","Rio Grande do Sul","Vale do Sol","-52.683333","-29.604167","52º41'0''W","29º36'15''S","Habitat: mata de encosta Habito: arbórea","CRI003612","CRI003612",NA,NA,NA,NA,"Linha XV de Novembro.","66","66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:37-03","UNESC","CRI","8539","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia","(Meisn.) Mez","M. Verdi","M. Verdi; G. Klemz e R. P. Hasckel","2008","11","18","Brasil","Santa Catarina","Ouro","-51.614167","-27.268056","51º36'51''W","27º16'5''S",NA,"CRI003608","CRI003608","2008","11","18","953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-30 10:11:00-03","NY","NYBG","1801122","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia",NA,"A. Quinet","S. de V. A. Pessôa","1995","11","28","Brazil","Rio de Janeiro","Silva Jardim","-42.28333","-22.525",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2016456' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801122","NY01801122_01",NA,NA,NA,"851","Reserva Biológica Poço das Antas.",NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01282031","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia","(Meisn.) Mez","H. H. van der Werff","W. W. Thomas","1985","10","25","Brazil","Mato Grosso","Poconé","-56.95","-16.95",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1488755' target='other'> <mi>dwc_moreinfo</mi></a>","NY01282031","NY01282031_01",NA,NA,NA,"4569","Pantanal 7-12 km SW of Rio Cassangé on road to Porto Jofre (MT 060).",NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 15:22:00-03","NY","NYBG","469494","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia",NA,"H. H. van der Werff","E. Gutiérrez","1994","05","25","Bolivia","Santa Cruz",NA,"-61.0586","-13.5508",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574388' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469494",NA,NA,NA,NA,"1154","Velasco. Parque Nacional Noel Kempff M. Campamento Flor de Oro. Pampa humeda. SW del campamento","200","200","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","540853","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia","(Meisn.) Mez",NA,"G. G. Hatschbach","1983","12","07","Brazil","Paraná","Cerro Azul","-49.2608","-24.8236",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574400' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540853","NY00540853_01",NA,NA,NA,"47861","Sete Quedas",NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","469480","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia","(Meisn.) Mez","I. de Vattimo","P. K. H. Dusén","1911","04","27","Brazil","Paraná","Sengés","-49.4633","-24.1131",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574390' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469480","NY00469480_01",NA,NA,NA,"38 48","Itararé","700","700","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","469478","PreservedSpecimen","Plantae","Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia","(Meisn.) Mez","L. B. Smith; S. F. Smith","G. G. Hatschbach","1966","12","15","Brazil","Paraná","Clevelândia","-52.4706","-26.3958",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574384' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469478","NY00469478_01",NA,NA,NA,"15499","Rincao Torcido",NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
