"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relationshipType","relatedCatalogItem","class","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","414747","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Beadlea","longibracteata","Beadlea longibracteata","(Barb.Rodr.) Garay","A. Gehrt","33528","1935","07","31","South America","Brazil","São Paulo","Botucatu","Serra de Botucatú, Sao Paulo","-48.4397","-22.88","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=290952' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414747","NY00414747_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-31 13:40:49-03","MN","R","24890","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyclopogon","trilineatus","Cyclopogon trilineatus","Barb. Rodr.","Freire, C.V.","184","1926","10","10",NA,"Brasil","Rio de Janeiro","Nova Friburgo",NA,"-42.5311012268066","-22.2819004058838",NA,NA,NA,NA,"Brade, A.C.","33190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-31 13:40:49-03","MN","R","16702","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyclopogon","trilineatus","Cyclopogon trilineatus","Barb. Rodr.","Brade, A.C.",NA,"1928","06",NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"Brade, A.C.","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-07-02 14:03:30-03","JBP","HPL","5916","S","Plantae",NA,NA,"Orchidaceae","Cyclopogon","longibracteatus","Cyclopogon longibracteatus","(Barb. Rodr.) Schltr.","H. Lorenzi","2394","2000","09","22",NA,"Brasil","RJ","Petrópolis","Coletado em beira de mata.","-43.1786","-22.505",NA,NA,NA,NA,"W. Forster","36524","auto","2000","09","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-19 08:15:24-03","FPS","FPS","2372","MachineObservation","Plantae",NA,NA,"Orchidaceae","Cyclopogon","longibracteatus","Cyclopogon longibracteatus","(Barb. Rodr.) Schltr.?","Schwirkowski, P.","1815","2016","08","07",NA,"Brasil","Santa Catarina","São Bento do Sul","Rio Natal. Estrada de Ferro próximo à Igreja de Rio Natal.","-49.29571","-26.357537",NA,"<ll>dwc_commonname:</ll> Orquídea-terrestre","FPS02372,FURB51922","FPS02372_v01 FPS02372_v02 FPS02372_v03 FPS02372_v04 FPS02372_v05 FPS02372_v06 FPS02372_v07 FPS02372_v08 FURB51922","Caetano, J.",NA,NA,"2016","08","07","-49.29571","-26.357537","voucher","FURB 51922",NA,NA,NA,NA,NA,NA
"6","2019-12-19 08:15:24-03","FPS","FPS","3608","MachineObservation","Plantae",NA,NA,"Orchidaceae","Cyclopogon","longibracteatus","Cyclopogon longibracteatus","(Barb. Rodr.) Schltr.","Schwirkowski, P.","3035","2018","08","29",NA,"Brasil","Santa Catarina","São Bento do Sul","Bairro Centenário. Fundos da FETEP. Área do futuro Jardim Botânico Municipal","-49.348345","-26.250634",NA,"<ll>dwc_commonname:</ll> Orquídea-terrestre","FPS03608,FURB61122","FPS03608_v01 FPS03608_v02 FPS03608_v03 FPS03608_v04 FPS03608_v05 FURB61122","Schwirkowski, P.",NA,NA,"2018","08","29","-49.348345","-26.250634","voucher","FURB 61122",NA,NA,NA,NA,NA,NA
"7","2020-07-09 17:52:18-03","FPS","FPS","4723","MachineObservation","Plantae",NA,NA,"Orchidaceae","Cyclopogon","longibracteatus","Cyclopogon longibracteatus","(Barb. Rodr.) Schltr.","Schwirkowski, P.","4147","2020","07","09",NA,"Brasil","Santa Catarina","São Bento do Sul","Rio Natal","-49.286951","-26.355275",NA,"<ll>dwc_commonname:</ll> Orquídea-terrestre","FPS04723","FPS04723_v01 FPS04723_v02 FPS04723_v03 FPS04723_v04 FPS04723_v05 FPS04723_v06 FPS04723_v07 FPS04723_v08 FPS04723_v09","Schwirkowski, P.",NA,NA,"2020","07","09","-49.286951","-26.355275",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-08-27 13:26:34-03","IAP","PACA-AGP","69851","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Cyclopogon","longibracteatus","Cyclopogon longibracteatus","(Barb. Rodr.) Schltr.","J. A. Jarenkow","735","1987","09","23",NA,"Brasil","RS","Marcelino Ramos",NA,"-51.9063987731934","-27.4617004394531",NA,"Herbário Pel 9843&nf;Tépalas branco-esverdeada Habitat: Terrícola, em interior da mata Fenofase: flor","PACA069851",NA,"F. B. Colla","18635","auto","2014",NA,NA,NA,NA,NA,NA,"Liliatae",NA,NA,NA,NA,NA
"9","2019-08-27 13:26:34-03","IAP","PACA-AGP","71148","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Cyclopogon","longibracteatus","Cyclopogon longibracteatus","(Barb. Rodr.) Schltr.","V. F. Nunes et al.","1277","1991","08","25",NA,"Brasil","RS","Sapiranga","Recanto da Cascata, Picada Verão","-51.0069007873535","-29.6380996704102",NA,"Folhas verdes ou com manchas longitudinais prateadas; flores verdes - alvacentrs. Habitat: Rupícola, figrófita, ombrofita ou luz iufusa Fenofase: flor","PACA071148",NA,"F. B. Colla","11711","auto","2014",NA,NA,NA,NA,NA,NA,"Liliatae",NA,NA,NA,NA,NA
"10","2019-08-27 13:26:34-03","IAP","PACA-AGP","1711","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Cyclopogon","longibracteatus","Cyclopogon longibracteatus","(Barb. Rodr.) Schltr.","C. Orth SJ",NA,"1933","10","15",NA,"Brasil","RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738",NA,"Habitat: In silva campestri Fenofase: flor","PACA001711",NA,"F. B. Colla","29946","auto","2014",NA,NA,NA,NA,NA,NA,"Liliatae",NA,NA,NA,NA,NA
"11","2019-08-27 13:26:34-03","IAP","PACA-AGP","52644","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Cyclopogon","longibracteatus","Cyclopogon longibracteatus","(Barb. Rodr.) Schltr.","G. Pabst","602","1950","03","13",NA,"Brasil","RS","São Francisco de Paula",NA,"-50.5835990905762","-29.4480991363525",NA,"Habitat: In araucarieto Fenofase: flor","PACA052644",NA,"G. Pabst","76715","auto","1954","09","03",NA,NA,NA,NA,"Liliatae",NA,NA,NA,NA,NA
