"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","phylum","order","infraspecificEpithet","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","county","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:44:28-03","E","E","285651","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","cordata","Qualea cordata","unspecified kind of","Sellow, Friedrich","E. Tropical South America","BR","Brasilia","herbarium specimen of unspecif","BGBASE:296321","<a href=http://data.rbge.org.uk/herb/E00285651 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285651",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:44:28-03","E","E","285652","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","cordata","Qualea cordata","possible type","Sellow, Friedrich","E. Tropical South America","BR","Brasilia","herbarium specimen of unspecif","BGBASE:296324","<a href=http://data.rbge.org.uk/herb/E00285652 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285652",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:44:28-03","E","E","80121","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","cordata","Qualea cordata",NA,"Gottsberger, I.","E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:88883","<a href=http://data.rbge.org.uk/herb/E00080121 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00080121","1985","10","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","424413","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","cordata","Qualea cordata cordata",NA,"P. K. H. Dusén","South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=542559' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424413","1910","10","29","Magnoliophyta","Myrtales","cordata","(Mart.) Spreng.","F. A. Stafleu","10466ª","Paraná","Jaguariaíva","-49.7056","-24.2511","NY00424413_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","424416","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","cordata","Qualea cordata cordata",NA,"R. Reiss","South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=542550' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424416","1934","06","14","Magnoliophyta","Myrtales","cordata","(Mart.) Spreng.","F. A. Stafleu","63","Paraná","Tibagi","-50.488585","-24.686032","NY00424416_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00923081","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","cordata","Qualea cordata",NA,"M. C. W. Vieira","South America","Brazil","Serra do Cipó","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004054' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923081","1987","02","02","Magnoliophyta","Myrtales",NA,"(Mart.) Spreng.","M. L. Kawasaki","1035a","Minas Gerais",NA,"-43.539757","-19.388386","NY00923081_01 NY00923081_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 21:56:00-03","NY","NYBG","00923078","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","cordata","Qualea cordata",NA,"G. L. Esteves","South America","Brazil","Serra do Espinhaço, Serra do Cipó: camping area directly north of Pensão Chapeu-de-Sol (NNE Cardeal Mota), 37,5 km E-ESE Baldim.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004051' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923078","1990","09","22","Magnoliophyta","Myrtales",NA,NA,"J. R. Pirani","CFCR15493","Minas Gerais",NA,"-43.6","-19.3","NY00923078_01","1050","1050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00923080","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","cordata","Qualea cordata",NA,"B. Maguire","South America","Brazil","Serra do Cipó, 3.5 miles from Hotel Chapeu de Sol.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004053' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923080","1959","12","19","Magnoliophyta","Myrtales",NA,"(Mart.) Spreng.","M. L. Kawasaki","44687","Minas Gerais",NA,NA,NA,"NY00923080_01","3700","3700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00923066","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","cordata","Qualea cordata cordata",NA,"R. M. Harley","South America","Brazil","estrada para Biri-Biri a 2 km da saída da cidade.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004018' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923066","1984","11","18","Magnoliophyta","Myrtales","cordata","(Mart.) Spreng.","G. Challen","CFCR6155","Minas Gerais","Diamantina","-43.6003","-18.2494","NY00923066_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00923062","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","cordata","Qualea cordata",NA,"H. S. Irwin","South America","Brazil","Serra da Anta, summit of chapada, ca. 2 km N. of Paracatú","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004003' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923062","1970","02","03","Magnoliophyta","Myrtales",NA,"(Mart.) Spreng.","G. H. Shimizu","25924","Minas Gerais","Paracatú","-46.8727","-17.22555","NY00923062_01","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
