"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","645451","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Parodia","erinacea","Parodia erinacea","(Haw.) N.P.Taylor","J. N. Rose","45525","South America","Argentina","Entre Ríos","Concordia.","sheet","Cultivated from original collection Shafer, 119, collected in 1917 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=412485' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645451","NY00645451_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","645449","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Parodia","erinacea","Parodia erinacea","(Haw.) N.P.Taylor","L. B. Smith","11873","South America","Brazil","Santa Catarina","Mun. Xanxerê - Joaçaba: 24 km east of Faxinal dos Guedes","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=412483' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645449","NY00645449_01","1957","02","26","700","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","645450","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Parodia","erinacea","Parodia erinacea","(Haw.) N.P.Taylor","J. N. Rose","43374","South America","Argentina",NA,"Cult. at La Plata","sheet","Cultivated from original collection Rose, 20943, collected in 1915 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=412484' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645450","NY00645450_01","1918","05","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-02-15 11:35:50-02","IPA","IPA","29892","S","Plantae","Plantae",NA,"Cactaceae","Parodia","erinacea","Parodia erinacea","(Haw.) N.P. Taylor","Andrade-Lima","74-7729","Southern America","Brasil",NA,"viagem para a Argentina.",NA,NA,"IPA0029892",NA,"1974",NA,NA,NA,NA,"Taylor, N.P.","1990",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-02-15 11:35:50-02","IPA","IPA","21710","S","Plantae","Plantae",NA,"Cactaceae","Parodia","erinacea","Parodia erinacea","(Haw.) N.P. Taylor","Porto, M.L.; et al.; et al.","1377","Southern America","Brasil","Rio Grande do Sul","Seival",NA,"Flores amarelas com estigmas vermelhos. Para cultivo.; Campo com árvores esparsas e afloramento de granito.","IPA0021710",NA,NA,NA,NA,NA,NA,"Taylor, N.P.","1990","02","19","Pinheiro Machado","-53.3810997009277","-31.5783004760742","70026","auto",NA,NA
"6","2020-12-21 16:19:46-03","MBM","MBM","56612","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Parodia","erinacea","Parodia erinacea","(Haworth) N.P. Taylor","Pedersen, T.M.","11593","Southern America","Uruguay",NA,NA,NA,NA,"MBM056612","MBM056612","1977","01","21",NA,NA,"Taylor, N.P.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:19:46-03","MBM","MBM","96079","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Parodia","erinacea","Parodia erinacea","(Haworth) N.P. Taylor","Pedersen, T.M.","13209","Southern America","Argentina",NA,NA,NA,NA,"MBM096079","MBM096079","1981","12","24",NA,NA,"Taylor, N.P.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:19:46-03","MBM","MBM","45957","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Parodia","erinacea","Parodia erinacea","(Haworth) N.P. Taylor","Hatschbach, G.","6381","Southern America","Brazil","Paraná","Tibagi",NA,NA,"MBM045957","MBM045957","1959","10","11",NA,NA,"Taylor, N.P.",NA,NA,NA,"Tibagi","-50.4136009216309","-24.5093994140625","56988","auto",NA,NA
"9","2020-09-12 05:00:02-03","US","US","1283627","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Malacocarpus","tephracanthus","Malacocarpus tephracanthus",NA,"L. Guillot","1","South America","Uruguay",NA,NA,NA,NA,NA,NA,"1927","4","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"10","2020-09-12 05:00:02-03","US","US",NA,"MachineObservation","Plantae",NA,"Caryophyllales","Cactaceae","Malacocarpus","tephracanthus","Malacocarpus tephracanthus",NA,"J. A. Shafer","119","South America","Argentina","Entre Ríos",NA,NA,"Flatbed scan",NA,NA,"1917","3","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
