"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","phylum","order","recordNumber","continentOcean","coordinatePrecision","preparationType","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet","typeStatus"
"1","2021-04-05 14:24:48-03","UNESC","CRI","3178","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.","Vanilde Citadini- Zanette","1993","02","28","V. Citadini-Zanette","1993","02","28","Brasil","Santa Catarina","Içara","praia do rincão.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","8","8","CRI000125","CRI000125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:48-03","UNESC","CRI","6060","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.","Ademir Reis","1996","02","17","Robson dos Santos","1996","02","17","Brasil","Santa Catarina","Governador Celso Ramos",NA,"-48.553056","-27.318611","48º33'11''W","27º19'7''S",NA,NA,"CRI000126","CRI000126","Coletado em mata de restinga, com fruto grande marrom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2422904","PreservedSpecimen","Plantae","Annonaceae","Annona","australis","Annona australis","A.St.-Hil.",NA,NA,NA,NA,"J. A. Lira Neto","1996","11","30","Brazil","Rio de Janeiro","Mangaratiba","Reserva Ecológica do Rio das Pedras, trilha Cambucá.","-44.040599822998","-22.9596996307373",NA,NA,NA,NA,"NY02422904","NY02422904_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2674997' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","500","South America","17272","sheet","auto",NA,NA,NA,NA,NA,NA
"4","2016-09-28 10:07:00-03","NY","NYBG","378729","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra",NA,"H. Rainer",NA,NA,NA,"G. Davidse","1980","06","17","Venezuela","Falcón",NA,"Distrito Puerto Zazarida, shore of Golfo de Venezuela",NA,NA,NA,NA,"1","1","NY00378729",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=251300' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","18193","South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","378725","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.","A. M. V. de Carvalho",NA,NA,NA,"S. C. de Sant'Ana","1993","10","09","Brazil","Sergipe","Santa Luzia do Itanhi","SE. Cerca de 2,0 km do Distrito de Crasto, na entrada p/Sta. Luzia do Itanhi","-37.4481","-11.3508",NA,NA,NA,NA,"NY00378725","NY00378725_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=251293' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","418","South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"6","2016-09-28 10:07:00-03","NY","NYBG","378728","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra",NA,"H. Rainer",NA,NA,NA,"J. A. Duke","1967","05","18","Colombia","Chocó",NA,"Rio Truandó, gallery between the boom (bun) and Rio Salado",NA,NA,NA,NA,NA,NA,"NY00378728",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=251301' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","111583","South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","378722","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.","H. Rainer",NA,NA,NA,"D. S. D. de Araújo","1980","03","13","Brazil","Rio de Janeiro","Paratí","Rio dos Meros, próx. a ponte da rodovia BR-101","-44.7131","-23.2181",NA,NA,NA,NA,"NY00378722","NY00378722_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=251299' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","3632","South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"8","2016-09-28 10:07:00-03","NY","NYBG","378727","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra",NA,"H. Rainer",NA,NA,NA,"J. J. Pipoly","1986","12","02","Guyana","Demerara-Mahaica",NA,"Demerara-Mahaica Region: Atlantic coastline facing leper colony & hospital at mouth of Mahaica R. Along Mahaica Sluice & along edge of coconut plantation","-57.92","6.63",NA,NA,"1","1","NY00378727",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=251306' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","9054","South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","517920","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.","P. J. M. Maas",NA,NA,NA,"W. W. Thomas","1993","10","17","Brazil","Bahia","Ilhéus","40 km north of Ilhéus on road to Serra Grande, at river marking boundary of municipio with Mun. Uruçuca","-39.07","-14.53",NA,NA,NA,NA,"NY00517920","NY00517920_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=251295' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","9954","South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","40895","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.",NA,NA,NA,NA,"C. Figueiredo","1996","01","23","Brazil","Acre","Marechal Thaumaturgo","Reserva Extrativista do Alto Juruá, Base da Restauração. Rio Tejo.","-72.216484","-9.163539",NA,NA,NA,NA,"NY00040895","NY00040895_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=671654' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","1104","South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00836276","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.","H. Rainer",NA,NA,NA,"F. E. Drouet","1935","09","23","Brazil","Ceará","Fortaleza","At Damas","-38.5431","-3.7172",NA,NA,NA,NA,"NY00836276","NY00836276_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920937' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","2488","South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","378720","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.","H. Rainer",NA,NA,NA,"G. G. Hatschbach","1982","12","02","Brazil","Paraná","Antonina","Mangue Maior Santo","-48.7117","-25.4286",NA,NA,NA,NA,"NY00378720","NY00378720_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=251302' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","45759","South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","378726","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.","H. Rainer",NA,NA,NA,"B. Luschnath","1840","11","01","Brazil","Bahia",NA,NA,"-39.039072","-15.159747",NA,NA,NA,NA,"NY00378726","NY00378726_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=251305' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales",NA,"South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","778614","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.",NA,NA,NA,NA,"A. Izabel","2000","12","18","Brazil","Alagoas","Barra de Santo Antônio","Margem da AL 101 norte, próx. ao maguezal que margeia o Rio da Ribeira.","-35.5069","-9.4047",NA,NA,NA,NA,"NY00778614","NY00778614_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796455' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales",NA,"South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"15","2016-09-28 10:07:00-03","NY","NYBG","378730","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra",NA,"H. Rainer",NA,NA,NA,"G. Stahel","1940","02","01","Suriname",NA,NA,"Near Parwa opposite of Braamspoint",NA,NA,NA,NA,NA,NA,"NY00378730",NA,"See fruit collection <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=251307' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","49","South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1099222","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.",NA,NA,NA,NA,"G. Davidse","1980","04","03","Brazil","Pará","Marapanim","Just east of the fishing village of Camara which is ca. 11 km NW of Marudá","-47.68","-0.62",NA,NA,"2","20","NY01099222","NY01099222_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1307504' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","17786B","South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","378724","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.",NA,NA,NA,NA,"A. M. V. de Carvalho","1992","07",NA,"Brazil","Bahia","Ilhéus","Lagoa Encantada, margem da lagoa, no povoado de Laranjeiras","-39.0492","-14.7892",NA,NA,NA,NA,"NY00378724","NY00378724_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=251313' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","4216","South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","1099221","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.",NA,NA,NA,NA,"C. S. Rosário",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"NY01099221","NY01099221_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1307505' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","130","South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00836252","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.","H. Rainer",NA,NA,NA,"P. von Luetzelburg",NA,NA,NA,"Brazil",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"NY00836252","NY00836252_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920940' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","322","South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","00836251","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.","H. Rainer",NA,NA,NA,"R. de Lemos Fróes","1939","02",NA,"Brazil","Maranhão","São Luís","Island of São Luiz. Estrada do Tirical","-44.3028","-2.5297",NA,NA,NA,NA,"NY00836251","NY00836251_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920936' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","11559","South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","378723","PreservedSpecimen","Plantae","Annonaceae","Annona","glabra","Annona glabra","L.","H. Rainer",NA,NA,NA,"D. S. D. de Araújo","1977","11","28","Brazil","Rio de Janeiro","Magé","Rio Guapimirim, a margem do rio","-43.0406","-22.6531",NA,NA,NA,NA,"NY00378723","NY00378723_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=251304' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","1971","South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA
