"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","previousCatalogNumber","typeStatus","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1801861","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","caldense","Solanum caldense","Carvalho","L. L. Giacomin","1821","2012","05","12","South America","Brazil","Minas Gerais","Caldas","Distrito de Pocinhos do Rio Verde. Próximo à sede da Fazendinha Selma. Prop. Sr. Antonio Geraldo Módolo Cardia.","-46.4331","-21.9294","1087","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2040528' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801861","NY01801861_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01096389","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","cernuum","Solanum cernuum","Vell.","B. D. Sucre","8600","1972","03","06","South America","Brazil","Rio de Janeiro","Petrópolis","Vale Bonsucesso.","-43.1783","-22.505","720","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1236946' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096389","NY01096389_01","L. Freire","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1801843","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","cernuum","Solanum cernuum","Vell.","L. L. Giacomin","1824","2012","06","01","South America","Brazil","Rio de Janeiro",NA,"Itaipava, Estrada que liga Itaipava a Teresópolis (BR-459), ca. 5 km após Itaipava.","-43.0992","-22.4119","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2040327' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801843","NY01801843_01","M. H. Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00700304","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","cernuum","Solanum cernuum","Vell.","H. S. Irwin","29639","1971","02","02","South America","Brazil","Minas Gerais",NA,"Ca. 3km N. of Mariana, road to Santa Barbara","-43.428447","-20.354839","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=833699' target='other'> <mi>dwc_moreinfo</mi></a>","NY00700304","NY00700304_01","M. D. Whalen","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","770390","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","cernuum","Solanum cernuum","Vell.","N. A. Rosa","3689","1980","11","14","South America","Brazil","São Paulo",NA,"Reserva do Instituto de Botânica de São Paulo",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=146804' target='other'> <mi>dwc_moreinfo</mi></a>","NY00770390","NY00770390_01","L. de F. de Carvalho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00700305","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","cernuum","Solanum cernuum","Vell.","H. S. Irwin","2635","1959","02","16","South America","Brazil","Minas Gerais","Viçosa","10 km. W. of Vicosa on old road to Ubá","-42.8817","-20.7542",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=833700' target='other'> <mi>dwc_moreinfo</mi></a>","NY00700305","NY00700305_01","L. L. Giacomin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","770392","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","cernuum","Solanum cernuum","Vell.","W. Hoehne","6096","1965","08","26","South America","Brazil","Rio de Janeiro",NA,"Marambaia, estr. Niterói-Friburgo, k. 22.",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=146805' target='other'> <mi>dwc_moreinfo</mi></a>","NY00770392","NY00770392_01","I. Cordeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","770395","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","cernuum","Solanum cernuum","Vell.","L. Riedel","s.n.","1823","04",NA,"South America","Brazil",NA,NA,"Serra Estrella.",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=146806' target='other'> <mi>dwc_moreinfo</mi></a>","NY00770395","NY00770395_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","770394","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","cernuum","Solanum cernuum","Vell.","G. H. von Langsdorff","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=146807' target='other'> <mi>dwc_moreinfo</mi></a>","NY00770394","NY00770394_01","L. L. Giacomin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00962459","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","cernuum","Solanum cernuum","Vell.","I. D. de Gemtchújnicov","s.n.","1968","06",NA,"South America","Brazil","São Paulo","Botucatu","Insituto de Botânica.","-48.4397","-22.88",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1085531' target='other'> <mi>dwc_moreinfo</mi></a>","NY00962459","NY00962459_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
