"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","recordNumber","stateProvince","decimalLongitude","decimalLatitude","month","day","county","coordinatePrecision","geoFlag","class","typeStatus","verbatimLongitude","verbatimLatitude","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","798157","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Piptocarpha","brasiliana","Piptocarpha brasiliana","Cass.","G. L. Smith","J. Bowie","1814","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=270694' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798157","NY00798157_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","798155","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Piptocarpha","brasiliana","Piptocarpha brasiliana","Cass.","G. L. Smith","Martii Herbar. Florae Brasil.","1837","South America","Brazil","Prope Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=270695' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798155","NY00798155_01","199","Rio de Janeiro","-43.448386","-22.913514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 10:05:00-03","NY","NYBG","798116","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Piptocarpha","brasiliana","Piptocarpha brasiliana",NA,"G. L. Smith","W. J. Burchell","1827","South America","Brazil","About 1m. NW by N from the Tanque de Zunica as far as the Caveira Santa, in the level dry shrubby campos","sheet","Catalogus Geographicus Plantarum Brasiliae Tro. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=270693' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798116","NY00798116_01","4131","São Paulo",NA,NA,"02","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","798156","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Piptocarpha","brasiliana","Piptocarpha brasiliana","Cass.","G. L. Smith","Martii Herbar. Florae Brasil.","1837","South America","Brazil","Prope Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=270696' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798156","NY00798156_01","199","Rio de Janeiro","-43.448386","-22.913514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02491458","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Piptocarpha","brasiliana","Piptocarpha brasiliana","Cass.",NA,"J. P. P. Carauta","1981","South America","Brazil","Humaíta, perto da Estrada para Ibitiguaçu.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2728775' target='other'> <mi>dwc_moreinfo</mi></a>","NY02491458","NY02491458_01","3730","Rio de Janeiro","-42.1803016662598","-21.539400100708","04","28","Santo Antônio de Pádua","21677","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:35:02-03","EAO","IAN","119854","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Piptocarpha","umbellulata","Piptocarpha umbellulata","Baker","Barroso, GM","Belém, RP","1965","Southern America","Brasil","Reserva Florestal de Sooretama. Mata virgem.",NA,"Cipó sobre árvore de 10m de altura; flores esverdeadas.","IAN119854",NA,"1546","Espírito Santo",NA,NA,"08","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:35:02-03","EAO","IAN","119878","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Piptocarpha","umbellulata","Piptocarpha umbellulata","Baker","Barroso, GM","Belém, RP","1965","Southern America","Brasil","Margem do Rio Doce.",NA,"Cipó; flores cremes.","IAN119878",NA,"1571","Espírito Santo","-40.0722007751465","-19.3910999298096","08","09","Linhares","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:51:01-03","NBC","NL-BOTANY","WAG.1287291","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Piptocarpha","umbellulata","Piptocarpha umbellulata","Baker",NA,"Prance GT; et al.","1971","Southern America","Brazil","Território do RoraimaVicinity of Uaicá airstrip, Rio Uraricoeira",NA,"Forest on terra firme.<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1287291 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1287291","NL-WAG1287291",NA,"Roraima","-63.183333","3.55","03","02",NA,NA,NA,"Magnoliopsidae","isotype","-63.183333","3.55",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:51:01-03","NBC","NL-BOTANY","L.3667561","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Piptocarpha","umbellulata","Piptocarpha umbellulata","Baker",NA,"Martius CFP von",NA,"Southern America","Brazil","Brasil, Rio de Janeiro.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3667561 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3667561","NL-L3667561",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:51:01-03","NBC","NL-BOTANY","L.3667560","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Piptocarpha","umbellulata","Piptocarpha umbellulata","Baker",NA,"Martius CFP von",NA,"Southern America","Brazil","Brasil, Rio de Janeiro.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3667560 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3667560","NL-L3667560",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
