"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","226757","PreservedSpecimen","Plantae","Bryophyta","Sphagnaceae","Sphagnum","amoenum","Sphagnum amoenum","Warnst.","possible isotype","E. H. G. Ule","1930","1894","12","South America","Brazil","Rio de Janeiro","Pr. Tijuca","-43.274528","-22.95583","packeted","Coll. number not on exsiccatae specimen <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=441455' target='other'> <mi>dwc_moreinfo</mi></a>","NY00226757","NY00226757_01",NA,NA
"2","2020-05-30 04:37:00-03","MO","MOBOT","100323797","PreservedSpecimen","Plantae",NA,"Sphagnaceae","Sphagnum","amoenum","Sphagnum amoenum","Warnst.","Type","Ernst Üle","Üle s.n.","1894","12","South America","Brazil","Rio de Janeiro","Rio de Janeiro, ad rupes pr. Tijuca, Dec. 1894.",NA,NA,NA,NA,NA,NA,"Warnst.","1"
"3","2020-05-30 04:37:00-03","MO","MOBOT","90001843","PreservedSpecimen","Plantae",NA,"Sphagnaceae","Sphagnum","amoenum","Sphagnum amoenum","Warnst.",NA,"Ernst Üle","Üle 1892,1930)","1894",NA,"South America","Brazil",NA,"Brasil. Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-09-19 14:03:11-03","MNHN","RECOLNAT_MNHN_PC","PC0100143","PreservedSpecimen",NA,NA,"Sphagnaceae","Sphagnum","amoenum","Sphagnum amoenum","Warnst.",NA,"Ule, E.",NA,"1894","12",NA,"Brésil",NA,"Rio de Janeiro, pr. Tijuca",NA,NA,"hb","Prêt B13-15 pour Denise Costa, Brésil (RB). Retour 01/2016 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0100143' target='other'> <mi>dwc_moreinfo</mi></a>","PC0100143","PC0100143_01 PC0100143_02","Costa",NA
"5","2015-09-19 14:02:05-03","MNHN","RECOLNAT_MNHN_PC","PC0100144","PreservedSpecimen",NA,NA,"Sphagnaceae","Sphagnum","amoenum","Sphagnum amoenum","Warnst.","isosyntype","Ule, E.",NA,"1894","12",NA,"Brésil",NA,"Rio de Janeiro, pr. Tijuca",NA,NA,"hb","Prêt B13-15 pour Denise Costa, Brésil (RB). Retour 01/2016 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0100144' target='other'> <mi>dwc_moreinfo</mi></a>","PC0100144","PC0100144_01 PC0100144_02",NA,NA
