"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","infraspecificEpithet","typeStatus","continentOcean","preparationType","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","relationshipType","relatedCatalogItem","sex"
"1","2021-04-05 14:33:25-03","UNESC","CRI","10100","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","ramosissima","Ipomoea ramosissima","(Poir.) Choisy","P.P.A. Ferreira","2009","10","15","P.P.A. Ferreira; G.A. Dettke; M.A.K. Rubio & M.A. Reck","29","2009","10","15","Brasil","Paraná","Guaraqueçaba","Estrada de chão de acesso a cidade.","-48.292778","-25.263889","48º17'34''W","25º15'50''S","CRI006626","CRI006626",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","319142","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","angulata","Ipomoea angulata linearis","Meisn.","D. F. Austin",NA,NA,NA,"L. Riedel","2757","1834","08",NA,"Brazil","Goiás",NA,"In campis .. apricis Lankoso",NA,NA,NA,NA,"NY00319142","NY00319142_01","Magnoliophyta","Solanales","linearis","isotype","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=43341' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","77386","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","angulata","Ipomoea angulata gnidoides","Meisn.",NA,NA,NA,NA,"L. Riedel","957","1827","05",NA,"Brazil",NA,NA,"In siccis et prtrosis Serra da Chapada",NA,NA,NA,NA,"NY00077386","NY00077386_01","Magnoliophyta","Solanales","gnidoides","isotype","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=711877' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","319181","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","dichotoma","Ipomoea dichotoma trilobata","Meisn.",NA,NA,NA,NA,"L. Riedel",NA,"1833","07",NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"NY00319181","NY00319181_01","Magnoliophyta","Solanales","trilobata","syntype","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=75182' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 14:47:00-03","NY","NYBG","319179","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","dichotoma","Ipomoea dichotoma longiflora","Choisy",NA,NA,NA,NA,"J. S. Blanchet","3482","1841",NA,NA,"Brazil","Bahia",NA,"Morisiba",NA,NA,NA,NA,"NY00319179","NY00319179_01","Magnoliophyta","Solanales","longiflora","isotype","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=539407' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-28 13:52:00-03","NY","NYBG","74348","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","dichotoma","Ipomoea dichotoma trilobata","Meisn.",NA,NA,NA,NA,"L. Riedel","s.n.","1823","08",NA,"Brazil",NA,NA,"loco non indicato",NA,NA,NA,NA,"NY00074348","NY00074348_01","Magnoliophyta","Solanales","trilobata","isosyntype","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=75184' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-28 13:52:00-03","NY","NYBG","319180","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","dichotoma","Ipomoea dichotoma trilobata","Meisn.",NA,NA,NA,NA,"J. S. Blanchet","3482","1841",NA,NA,"Brazil","Bahia",NA,"Morisiba",NA,NA,NA,NA,"NY00319180","NY00319180_01","Magnoliophyta","Solanales","trilobata","syntype","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=75183' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","319181","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","dichotoma","Ipomoea dichotoma trilobata","Meisn.",NA,NA,NA,NA,"L. Riedel",NA,"1833","07",NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"NY00319181","NY00319181_01","Magnoliophyta","Solanales","trilobata","syntype","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=75182' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-28 13:52:00-03","NY","NYBG","74348","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","dichotoma","Ipomoea dichotoma trilobata","Meisn.",NA,NA,NA,NA,"L. Riedel","s.n.","1823","08",NA,"Brazil",NA,NA,"loco non indicato",NA,NA,NA,NA,"NY00074348","NY00074348_01","Magnoliophyta","Solanales","trilobata","isosyntype","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=75184' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-28 13:52:00-03","NY","NYBG","319180","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","dichotoma","Ipomoea dichotoma trilobata","Meisn.",NA,NA,NA,NA,"J. S. Blanchet","3482","1841",NA,NA,"Brazil","Bahia",NA,"Morisiba",NA,NA,NA,NA,"NY00319180","NY00319180_01","Magnoliophyta","Solanales","trilobata","syntype","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=75183' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
