"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","day","locality","minimumElevationInMeters","maximumElevationInMeters","class","identifiedBy","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount","typeStatus","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","512445","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Acianthera","glumacea","Acianthera glumacea","(Lindl.) Pridgeon & M.W.Chase","J. E. Leite","426","1941","09","South America","Brazil","Rio Grande do Sul","Sao Leopoldo","-51.1469","-29.7606","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=336550' target='other'> <mi>dwc_moreinfo</mi></a>","NY00512445","NY00512445_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","533641","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Acianthera","glumacea","Acianthera glumacea","(Lindl.) Pridgeon & M.W.Chase","H. M. Curran","157","1915","10","South America","Brazil","Bahia",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=599784' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533641","NY00533641_01","01","Forest of Rio Gongogy Basin","100","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:46:43-03","NBC","NL-BOTANY","L.1531210","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Pleurothallis","glumacea","Pleurothallis glumacea","Lindl.","Reitz R; Klein RM",NA,"1959","10","Southern America","Brazil",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1531210 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1531210","NL-L1531210","31","Pirão Frio, Sombrio.",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:46:43-03","NBC","NL-BOTANY","U.1461511","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Pleurothallis","glumacea","Pleurothallis glumacea","Lindl.","Lindeman JC; Haas JH de",NA,"1966","12","Southern America","Brazil","Rio Grande do Sul",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1461511 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1461511","NL-U1461511","29","Rio Grande do Sul. Pequeno morro no plano humido atras da primeira lagoa ao Norte de Osorio.",NA,NA,"Magnoliopsidae","Pabst GFJ","1967","04","01","U 0228077",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-31 13:41:14-03","MN","R","36330","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","glaziovii","Pleurothallis glaziovii","Barb. Rodr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brade, A.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-02-15 11:46:57-02","IPA","IPA","3615","S","Plantae","Plantae",NA,"Orchidaceae","Pleurothallis","glaziovii","Pleurothallis glaziovii","Cogn.","Pickel, B.","3978","1935","06","Southern America","Brasil","Paraíba","Campina Grande","-35.8810997009277","-7.23055982589722",NA,NA,"IPA0003615",NA,"24","Puxinanã, sobre uma rocha, perto do açude.",NA,NA,NA,"Hoehne","1935","08",NA,NA,"41577","auto",NA,NA,NA,NA,NA
"7","2019-08-27 13:26:30-03","IAP","PACA-AGP","52892","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Acianthera","glumacea","Acianthera glumacea","(Lindl.) Pridgeon & M. W. Chase","Rambo, B.",NA,"1952","12",NA,"Brasil","RS","Montenegro","-51.4611015319824","-29.6886005401611",NA,"Habitat: In silvula rupestri, epiphytica Fenofase: flor","PACA052892",NA,"15","Fortaleza",NA,NA,"Liliatae","J. L. Waechter","2005","05","11",NA,"21601","auto",NA,NA,NA,NA,NA
"8","2019-08-27 13:26:30-03","IAP","PACA-AGP","32552","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Acianthera","glumacea","Acianthera glumacea","(Lindl.) Pridgeon & M. W. Chase","Henz, E.",NA,"1945",NA,NA,"Brasil","RS","Montenegro","-51.4611015319824","-29.6886005401611",NA,"Habitat: In silva Fenofase: flor","PACA032552",NA,NA,"Pareci",NA,NA,"Liliatae","J. L. Waechter","2005","05","11",NA,"21601","auto",NA,NA,NA,NA,NA
"9","2019-08-27 13:26:30-03","IAP","PACA-AGP","47431","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Acianthera","glumacea","Acianthera glumacea","(Lindl.) Pridgeon & M. W. Chase","G. Pabst","557","1950","03",NA,"Brasil","RS","Porto Alegre","-51.2299995422363","-30.0331001281738",NA,"Habitat: In silvula campestri, epiphytica Fenofase: flor","PACA047431",NA,"04","Belém Novo",NA,NA,"Liliatae","J. L. Waechter","2005","05","11",NA,"29946","auto",NA,NA,NA,NA,NA
"10","2019-08-27 13:26:30-03","IAP","PACA-AGP","26812","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Acianthera","glumacea","Acianthera glumacea","(Lindl.) Pridgeon & M. W. Chase","P. Buck SJ",NA,"1944","09",NA,"Brasil","RS","Porto Alegre","-51.2299995422363","-30.0331001281738",NA,"Habitat: In silva campestri, epiphytica Fenofase: flor","PACA026812",NA,NA,"Vila Manresa",NA,NA,"Liliatae","J. L. Waechter","2005","05","11",NA,"29946","auto",NA,NA,NA,NA,NA
