"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","identifiedBy","coordinatePrecision","geoFlag","class","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","relatedCatalogItem"
"1","2020-09-23 10:41:11-03","E","E","274325","PreservedSpecimen","Plantae","Malpighiaceae","Aspicarpa","sericea","Aspicarpa sericea","Pott, V.J.; Gasparin, M.L.; Cunha, C.; Ratter, J.","222","1985","10","04","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:285150","<a href=http://data.rbge.org.uk/herb/E00274325 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00274325",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","442135","PreservedSpecimen","Plantae","Malpighiaceae","Aspicarpa","sericea","Aspicarpa sericea","W. R. Anderson","11173","1974","03","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=134277' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442135","Magnoliophyta","Malpighiales","Griseb.","Paraná","Ponta Grossa","Parque Estadual Vila Velha, ca. 30 km of Ponta Grossa","-50.012929","-25.234872","1000","1000","NY00442135_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","442209","PreservedSpecimen","Plantae","Malpighiaceae","Aspicarpa","sericea","Aspicarpa sericea","I. G. Vargas Caballero","918","1991","01","04","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=134276' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442209","Magnoliophyta","Malpighiales","Griseb.","Santa Cruz","Vallegrande","Huasacanada, 5 km al S de la ciudad de Vallegrande","-64.0967","-18.525","2050","2050",NA,"W. R. Anderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-26 18:08:39-03","CPAN-UFMS","COR","9211","PreservedSpecimen","Plantae","Malpighiaceae","Aspicarpa","sericea","Aspicarpa sericea","Damasceno Júnior,G.A.","1673","1998","10","01",NA,"Brasil",NA,NA,"Com Flor: amarelo alaranjadas Habito: arbusto de 1,5 m",NA,NA,NA,"Griseb.","Mato Grosso do Sul","Ladário","Fazenda Bandalta. Bancada Laterítica (Lajedo); rico em minério de ferro; Plano.","-57.6016998291016","-19.0046997070312","600","600",NA,"M.C.H. Mamede","23141","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:54:35-03","NBC","NL-BOTANY","L 0099629","PreservedSpecimen","Plantae","Malpighiaceae","Aspicarpa","sericea","Aspicarpa sericea","Herzog T",NA,"1910","12","01","Southern America","Bolivia",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200099629 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0099629",NA,"Malpighiales","Griseb.",NA,NA,NA,NA,NA,NA,NA,NA,"Anderson CE",NA,NA,"Magnoliopsidae","isotype",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:54:35-03","NBC","NL-BOTANY","L.2166785","PreservedSpecimen","Plantae","Malpighiaceae","Aspicarpa","sericea","Aspicarpa sericea","Vincent D",NA,"1911","11","01","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2166785 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2166785",NA,"Malpighiales","Griseb.",NA,NA,"Env. de Jusscaie.",NA,NA,NA,NA,"NL-L2166785",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:54:35-03","NBC","NL-BOTANY","U.1370932","PreservedSpecimen","Plantae","Malpighiaceae","Aspicarpa","sericea","Aspicarpa sericea","Saravia Toledo C; Joaquin N; Ezcurra C; Schinini A",NA,"1993","04","07","Southern America","Bolivia",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1370932 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1370932",NA,"Malpighiales","Griseb.",NA,NA,"Bolivia, Dep. Chuquisaca-Pcia. L. Calvo. 1-2 km S del Centro El Salvador-Cimboc.","-63.166667","-20.616667",NA,NA,"NL-U1370932",NA,NA,NA,"Magnoliopsidae",NA,"-63.166667","-20.616667",NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:12:27-03","ESALQ","ESA","17067","PreservedSpecimen","Plantae","Malpighiaceae","Aspicarpa","sericea","Aspicarpa sericea","Scaramuzza, C.A.M. ; Souza, V.C.","191.0","1989","04","09",NA,"Brasil",NA,NA,NA,"ESA017067","Magnoliophyta",NA,"(A.St.-Hil.) Nied.","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,"ESA017067","Mamede, M.C.H.","27729","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:12:27-03","ESALQ","ESA","11866","PreservedSpecimen","Plantae","Malpighiaceae","Aspicarpa","sericea","Aspicarpa sericea","Souza, V.C. et al.","4174.0","1993","09","06",NA,"Brasil",NA,NA,NA,"ESA011866","Magnoliophyta",NA,NA,"São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,"ESA011866",NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:12:27-03","ESALQ","ESA","94022","PreservedSpecimen","Plantae","Malpighiaceae","Aspicarpa","sericea","Aspicarpa sericea","Souza, V.C.; Romão, G.O.; Rodrigues, C.D.N.; Dantas, A.P.T.","32068.0","2006","02","15",NA,"Brasil",NA,NA,"Erva, ca. 10 cm alt.; flores amarelas.","ESA094022","Magnoliophyta",NA,"(A.St.-Hil.) Nied.","Paraná","Palmeira","Rodovia do Café (BR 376) , km 552, 55 km de Ponta Grossa. Próximo ao Rio dos Papagaios. Campo geral.","-50.0064010620117","-25.4293994903564",NA,NA,"ESA094022","Souza, V.C.","35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
