"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified","coordinatePrecision","geoFlag","maximumElevationInMeters","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","2422726","PreservedSpecimen","Plantae","Magnoliophyta","Dioscoreales","Dioscoreaceae","Dioscorea","kunthiana","Dioscorea kunthiana","Uline ex R.Knuth","J. R. Pirani","CFSC12370","1991","06","29","South America","Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó, Km 125 da Rodovia Belo Horizonte - Conceição do Mato Dentro. Elevação em frente à estátua do Velho Juca.","-43.7142","-19.1692","1290","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2670811' target='other'> <mi>dwc_moreinfo</mi></a>","NY02422726","NY02422726_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:52:20-03","EAO","IAN","108053","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Dioscoreaceae","Dioscorea","kunthiana","Dioscorea kunthiana","Uline","sc","s.n.","1948","06",NA,NA,NA,NA,NA,"Serra do Cipó.",NA,NA,NA,NA,NA,"IAN108053",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-08 17:44:58-03","EAO","IAN","31582","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Dioscoreaceae","Dioscorea","kunthiana","Dioscorea kunthiana","Uline","Schwacke, J","10381",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"IAN031582","IAN031582_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:28:06-03","UFBA","ALCB","046983","PreservedSpecimen","Plantae","Monocotyledon",NA,"Dioscoreaceae","Dioscorea","kunthiana","Dioscorea kunthiana","Uline ex R.Knuth","Queiroz, LP de; Santos, CC dos; Torres, DC; Oliveira, AA; Rios, L","5955","2000","02","13","Southern America","Brasil","Bahia","Santa Maria da Vitória","ca. 7,7 km S de Santa MAria da Vitória, na estrada para Lagoinha. Extremidade setentrional da Serra do Ramalho.","-44.171111","-13.45",NA,NA,"folhas membranáceas. Flores masculinas com perigônio verde. Crescendo sobre arbustos no afloramento calcáreo.; com dossel de ca. 10 m alt. e afloramentos calcáreos.","ALCB004938","ALCB004938","Kirizawa, M","2014","10","-44.171111","-13.45",NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:00:12-03","NBC","NL-BOTANY","U.1291520","PreservedSpecimen","Plantae",NA,"Dioscoreales","Dioscoreaceae","Dioscorea","kunthiana","Dioscorea kunthiana","Uline ex R.Knuth","Harley RM; et al.",NA,"1977","02","17","Southern America","Brazil",NA,NA,"Estado Da Bahia. Sera Das Almas. Lower N.E. slopes of the Pico das Almas, ca. 25 km W.N.W. of the Vila do Rio de Contas.","-41.95","-13.55",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1291520 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1291520","NL-U1291520",NA,NA,NA,"-41.95","-13.55","Magnoliopsidae",NA,NA,NA,NA,NA
"6","2021-03-31 13:37:38-03","MN","R","6671","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","kunthiana","Dioscorea kunthiana","Uline ex R. Knuth","Barbosa, H.",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto",NA,"-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,"Kirizawa, M.","2002","10",NA,NA,NA,"02","44599","auto",NA,NA
"7","2019-08-20 10:00:12-03","UNICAMP","UEC","42536","S","Plantae","Liliopsida",NA,"Dioscoreaceae","Dioscorea","kunthiana","Dioscorea kunthiana","Uline ex R.Knuth","Harley, RM; Mayo, SJ; Storr, RM; Santos, TS; Pinheiro, RS","19578","1977","02","17",NA,"Brazil","Bahia",NA,"Serra das Almas, Lower N.E. slopes of the Pico das Almas ca. 25 km. W. N. W. of the Vila do Rio de Contas. Sandstone, metamorphic and quartzite rock outcrops with associated marsh and damp flushes.","-41.95","-13.55","1500",NA,"Climber to ca, 2 m. Flower yellow-green. Fruit dull yellow-green.","UEC092755","UEC092755","Araújo, D","2012","04","-41.95","-13.55",NA,NA,NA,NA,"1500",NA
"8","2021-03-01 16:19:44-03","UNICAMP","UEC","201653","S","Plantae","Liliopsida",NA,"Dioscoreaceae","Dioscorea","kunthiana","Dioscorea kunthiana","Uline ex R.Knuth","Morandi, MEF; Futemma, NY; Oliveira, DC; Oliveira, SM; Pereira, JM; Savietto, VF","53","2017","05","01",NA,"Brazil","Minas Gerais","Jaboticatubas","Parque Nacional da Serra do Cipó, trilha para as Vellozia gigantes","-43.7449989318848","-19.513599395752","1300",NA,"Planta trepadeira com aproximadamente 25cm, com flores amareladas e frutos verdes; Campo rupestre","UEC183903","UEC183903",NA,NA,NA,NA,NA,NA,NA,"31264","auto","1300",NA
"9","2012-05-17 05:02:00-03","MO","MOBOT","3037844","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","kunthiana","Dioscorea kunthiana","Uline","Carl Schwacke","Schwacke 10381",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2008-05-27 22:02:00-03","MO","MOBOT","3295606","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","kunthiana","Dioscorea kunthiana","Uline","Howard S. Irwin|H. Maxwell|Dieter C. Wasshausen","Irwin 20112a","1968","2","15","South America","Brazil",NA,NA,"Serra do Espinhaço. Campo. Sandy campo with stony slopes, Serra do Cipó, Minas Gerais, ca km 120 (ca. 145 km N of Belo Horizonte).",NA,NA,"1200.00000000",NA,NA,NA,NA,"T. Zanoni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-10-07 09:20:23-03","UEFS","HUEFS","96946","PreservedSpecimen","Plantae","Angiospermae","Dioscoreales","Dioscoreaceae","Dioscorea","kunthiana","Dioscorea kunthiana","Uline ex R.Knuth","Conceição, A.A.","1421","2005","06","20",NA,"Brasil","Bahia","Mucugê","Gerais do Rio Preto. PARNA Chapada Diamantina.","-41.5","-12.75","1300",NA,NA,"HUEFS0096946","HUEFS0096946","M.Kirizawa","2007","12","41W30'","12S45'","Lilianae",NA,NA,NA,"1300",NA
"12","2021-03-04 11:15:55-03","UEFS","HUEFS","43702","PreservedSpecimen","Plantae","Angiospermae","Dioscoreales","Dioscoreaceae","Dioscorea","kunthiana","Dioscorea kunthiana","Uline ex R.Knuth","Queiroz, L.P.de","5955","2000","02","13",NA,"Brasil","Bahia","Santa Maria da Vitória","ca. 7,7 km S de Santa Maria da Vitória na estrada para Lagoinha. Extremidade setentrional da Serra do Ramalho.","-44.171111","-13.45",NA,NA,"Caatinga arbórea com dossel de ca. 10 m alt. e afloramentos calcáreos.","HUEFS0043702","HUEFS0043702 HUEFS0043702_e1","M.Kirizawa","2014","10","44W10'16''","13S27'0''","Lilianae",NA,NA,NA,NA,NA
"13","2019-09-04 18:30:04-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Dioscoreaceae","Dioscorea","kunthiana","Dioscorea kunthiana",NA,"C. A. W. Schwacke","1038",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledoneae",NA,NA,NA,NA,"Type [status unknown]"
"14","2020-07-23 12:05:00-03","CEPLAC","CEPEC","22051","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","kunthiana","Dioscorea kunthiana",NA,"R. M. Harley","19578","1977","02","17",NA,"Brasil","Bahia","RIO DE CONTAS","25Km NNW cidade. A NE rampa baixa Pico das Almas.","-41.95","-13.55",NA,NA,NA,NA,NA,"Pessoal do Herbario",NA,NA,"41W57'0","13S33'0",NA,NA,NA,NA,NA,NA
"15","2020-12-10 11:27:36-03","IBt","SP","392322","S","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","kunthiana","Dioscorea kunthiana","Uline ex R.Knuth","Conceição, AA","1421","2005","06","20",NA,"Brasil","Bahia","Mucugê",NA,"-41.3708000183105","-13.0052995681763",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"52493","auto",NA,NA
"16","2020-12-30 07:47:55-03","IBt","SP","429623","S","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","kunthiana","Dioscorea kunthiana","Uline ex R.Knuth","Fraga, CN","2677","2009","07","11",NA,"Brasil","Bahia","Mucugê",NA,"-41.3708000183105","-13.0052995681763",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"52493","auto",NA,NA
"17","2020-12-10 11:27:36-03","IBt","SP","397582","S","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","kunthiana","Dioscorea kunthiana","Uline ex R.Knuth","Queiroz, LP","5955","2000","02","13",NA,"Brasil","Bahia","Santa Maria da Vitória",NA,"-44.1980018615723","-13.3979997634888",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65782","auto",NA,NA
"18","2019-11-21 10:03:34-03","IBt","SP","205148","S","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","kunthiana","Dioscorea kunthiana","Uline ex R.Knuth","Kirizawa, M","1582","1986","01","25",NA,"Brasil","Minas Gerais","Ouro Preto",NA,"-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,"Kirizawa, M",NA,NA,NA,NA,NA,NA,"44599","auto",NA,NA
