"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1552574","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Gouania","blanchetiana","Gouania blanchetiana","Miq.","A. Pool","G. T. Prance","30422","1987","11","11","South America","Brazil","Pará","Marajo, 50 mins. belowTauari.","-49.75","-0.8","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1949198' target='other'> <mi>dwc_moreinfo</mi></a>","NY01552574","NY01552574_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","686040","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Gouania","blanchetiana","Gouania blanchetiana","Miq.","A. Pool","N. A. Rosa","2716","1978","11","29","South America","Brazil","Maranhão","Turiaçu, km 6 da BR 106 Maracaçumé-Sta. Helena, fazenda Maracaçumé Agra Industrial Grupo Mesbla.","-45.3717","-1.6633","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=823923' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686040","NY00686040_01","Turiaçu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","533402","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Gouania","blanchetiana","Gouania blanchetiana","Miq.","R. Lima","R. M. Silva","817","1993","05","11","South America","Brazil","Espírito Santo","Viana. Vale do rio Jucu, estrada ao lado esquerdo do braço norte do rio, saindo da BR 262 (Belo Horizonte - Vitória).","-40.4958","-20.3906","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=343465' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533402","NY00533402_01","Viana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01198242","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Gouania","blanchetiana","Gouania blanchetiana","Miq.","X. Cornejo","W. W. Thomas","13169","2002","11","02","South America","Brazil","Alagoas","Serra das Aguas Belas. 18.5 km N of jct. BR 101 and road to Maceió, then 2 - 3 km W on cobblestone road","-35.78158","-9.242217","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=45587' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198242","NY01198242_01","Flexeiras","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","533401","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Gouania","blanchetiana","Gouania blanchetiana","Miq.",NA,"J. S. Blanchet","448","1831",NA,NA,"South America","Brazil",NA,"In Brasilia intratropica circa Bahia.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=343455' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533401","NY00533401_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1552575","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Gouania","blanchetiana","Gouania blanchetiana","Miq.","A. Pool","J. M. Pires","12392","1970","07","05","South America","Brazil","Pará","Serra Buritirama (B 5) .","-50","-5.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1949200' target='other'> <mi>dwc_moreinfo</mi></a>","NY01552575","NY01552575_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1552572","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Gouania","blanchetiana","Gouania blanchetiana","Miq.","A. Pool","W. A. Archer","7839","1942","11","16","South America","Brazil","Pará","South forest of the I.A.N. [Instituto Agronomico do Norte], Belém","-48.4447503","-1.4380977","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1949195' target='other'> <mi>dwc_moreinfo</mi></a>","NY01552572","NY01552572_01","Belém",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","2210941","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Gouania","blanchetiana","Gouania blanchetiana","Miq.",NA,"Y. E. J. Mexia","6039","1931","08","03","South America","Brazil","Pará","Thomé Assú; Mariquita.","-48.1967","-1.9608","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2345899' target='other'> <mi>dwc_moreinfo</mi></a>","NY02210941","NY02210941_01","Acará","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","03687184","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Gouania","blanchetiana","Gouania blanchetiana","Miq.","R. E. Spichiger","L. Nusbaumer","4216","2014","10","23","South America","Brazil","Alagoas","Reserva Biológica da Pedra Talhada. localité de Quebrangulo","-36.430253","-9.254605","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2952250' target='other'> <mi>dwc_moreinfo</mi></a>","NY03687184","NY03687184_01","Quebrangulo","690",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","533399","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Gouania","blanchetiana","Gouania blanchetiana","Miq.",NA,"R. P. Belém","1652","1965","08","30","South America","Brazil","Bahia","Margem da Rodovia Itabuna - Ilhéus.","-39.1580173","-14.7989283","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=343454' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533399","NY00533399_01","Ilhéus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
