"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","typeStatus","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00893262","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","M. Henrique","5725","1978","11","02","South America","Brazil","Minas Gerais","Santana do Riacho","Km 114 ao longo da rodovia Belo Horizonte - Conceição do Mato Dentro.","-43.7142","-19.1692","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966706' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893262","NY00893262_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00893264","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","M. Sakane","653","1977","10","25","South America","Brazil","Minas Gerais","Santana do Riacho","Santana do Riacho, km 112 ao long da rodovia Belo Horizonte- Conceição do Mato Dentro.","-43.7142","-19.1692","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966713' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893264","NY00893264_01","M. C. H. Mamede",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00909374","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","J. Semir","4699","1973","10","29","South America","Brazil","Minas Gerais","Jaboticatubas","Km 127 ao longo da rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina.","-43.7447","-19.5136","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980440' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909374","NY00909374_01","M. C. H. Mamede",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00893263","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","N. M. Castro","49","1981","10","30","South America","Brazil","Minas Gerais",NA,"Serra do cipó, estrada da mineração.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966709' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893263","NY00893263_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-08 11:09:13-03","UNESP-IBB","BOTU","17790","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Carmello, S.M.","3","1989","09","20",NA,"Brasil","São Paulo","Botucatu",NA,"-48.5","-22.916667",NA,"Arbusto com 1 m de altura, estéril","BOTU017790",NA,"Elias, S.I.","2003","08","48°30'w","22°55's",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:12:34-03","ESALQ","ESA","9926","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Souza, V.C. et al.","3351.0","1993","05","01",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,"ESA009926","ESA009926","Mamede, M.C.H.","1996",NA,NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:12:34-03","ESALQ","ESA","88518","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Castro, N.M.","199.0","1994","11","16",NA,"Brasil","Minas Gerais","Serra do Cipó",NA,NA,NA,NA,NA,"ESA088518","ESA088518","Elias, S.I.","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:12:34-03","ESALQ","ESA","104786","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis",NA,"Brandão, M.","22750.0","1993","05","03",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"ESA104786","ESA104786","Elias-Rolim. S.I.","2009","03",NA,NA,NA,NA,"18",NA,NA,NA,NA,NA
"9","2020-11-04 11:12:34-03","ESALQ","ESA","93382","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Ono, E.O. et al.","8.0","1989","10","09",NA,"Brasil","Minas Gerais","Lagoa Santa",NA,"-43.8897018432617","-19.6271991729736",NA,NA,"ESA093382","ESA093382","Elias, S.I.",NA,NA,NA,NA,"12338","auto",NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:12:34-03","ESALQ","ESA","19142","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiaceae","Byrsonima","cipoensis","Byrsonima cipoensis","Mamede","Souza, V.C. et al.","8178.0","1995","03","10",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,"ESA019142","ESA019142","Mamede, M.C.H.","1995","04",NA,NA,"26557","auto","29",NA,NA,NA,NA,NA
