"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","typeStatus","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","00906892","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","bicarinata","Myrcia bicarinata","(O.Berg) D.Legrand","M. F. Santos","E. P. Heringer","623","1978","09","20","South America","Brazil","Distrito Federal","Brasília","Reserva Ecológica do IBGE. Picada R-S","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983072' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906892","NY00906892_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00907619","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","bicarinata","Myrcia bicarinata","(O.Berg) D.Legrand","M. F. Santos","H. S. Irwin","5732","1964","08","30","South America","Brazil","Distrito Federal","Brasília","Ca. 15 km E. of Brasília.","-47.85","-15.68","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987043' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907619","NY00907619_01","700","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","616010","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","bicarinata","Myrcia bicarinata","(O.Berg) D.Legrand","N. Silveira","G. G. Hatschbach","31837","1972","12","07","South America","Brazil","Paraná","Guaraqueçaba","Rio Mourato","-48.3289","-25.3069","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=57733' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616010","NY00616010_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:20:24-03","UFRJ","RFA","24357","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","bicarinata","Myrcia bicarinata","(O.Berg) D.Legrand","Graziella M. Barroso","F.M.B. Pereira","jun-17","2000","06","25",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Itamonte, Fazenda Campo Redondo","-43.2075004577637","-22.9027996063232",NA,"Arbusto, 2 m de altura, 3 cm de DAP, folha bicolor, fruto verde, comum no local","RFA42123",NA,"1678","1678","44º41'74''W","22º15'61''S","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:20:24-03","UFRJ","RFA","25486","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","rufa","Myrcia rufa","(O.Berg) N.Silveira","G. M. Barroso","F. M. de B. Pereira","abr-53","2000","11","17",NA,"Brasil","Minas Gerais","Itamonte","1° Distrito Bocainda Funda","-44.707222","-22.269167",NA,"Árvore, folha amarela, caule amarelo, raiz rosa, flor amarela, abundante no local, mata de encosta sobre o solo argilos, luminosidade intensa","RFA42143",NA,"1746","1746","44º42'26''W","22º16'9''S",NA,NA,"2001","01","26",NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:06:54-03","NBC","NL-BOTANY","U 0005096","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Myrcia","bicarinata","Myrcia bicarinata","(O.Berg) D.Legrand","Legrand CMDE","Sello F",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200005096 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0005096","NL-U0005096",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","isotype","101549 B",NA,NA,NA
"7","2020-11-04 11:14:49-03","ESALQ","ESA","109370","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","bicarinata","Myrcia bicarinata",NA,NA,"Sampaio, D.","178.0","2003","11","22",NA,"Brasil","São Paulo","Cananéia",NA,"-47.9199981689453","-25.0100002288818",NA,NA,"ESA109370",NA,NA,NA,NA,NA,"37574","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:14:57-03","ESALQ","ESA","68720","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","rufa","Myrcia rufa","(Berg) Silveira",NA,"Krieger, L.","11335.0","1971","12","21",NA,"Brasil","Paraná","Ponta Grossa",NA,"-50.1618995666504","-25.0949993133545",NA,NA,"ESA068720",NA,NA,NA,NA,NA,"46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-27 13:31:30-03","IAP","PACA-AGP","55466","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","bicarinata","Myrcia bicarinata","(O. Berg) D. Legrand","Legrand","Reitz, R.","782","1953","06","12",NA,"Brasil","SC","Araquarí","Barra do Sul","-48.7221984863281","-26.3700008392334",NA,"4m de altura e fruto maduro verde. HBR 6868. Habitat: in silvula pr. litus (restinga) Fenofase: fruto submaturo Hábito: arbusto","PACA055466",NA,"5","5",NA,NA,"25329","auto","1953",NA,NA,"Magnoliatae",NA,NA,NA,NA,NA
"10","2019-08-27 13:31:30-03","IAP","PACA-AGP","55472","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","bicarinata","Myrcia bicarinata","(O. Berg) D. Legrand","Legrand","Reitz, R.","502","1953","04","08",NA,"Brasil","SC","Araquarí","BARRA DO SUL","-48.7221984863281","-26.3700008392334",NA,"5m de altura e fruto maduro amarelado. HBR 6860. Habitat: in silvula prope litus, restinga Hábito: arvoreta","PACA055472",NA,"5","5",NA,NA,"25329","auto","1953",NA,NA,"Magnoliatae",NA,NA,NA,NA,NA
