"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","locality","coordinatePrecision","geoFlag","phylum","order","recordNumber","continentOcean","preparationType","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","infraspecificEpithet","typeStatus"
"1","2021-04-05 14:25:18-03","UNESC","CRI","468","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","Fátima E. Marcomin","V. Citadini-Zanette; F. E. Marcomin","1990","01","18","Brasil","Santa Catarina","Tubarão","-49.007222","-28.467222","49º0'26''W","28º28'2''S","9","9","CRI002824","CRI002824_1 CRI002824_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:18-03","UNESC","CRI","14047","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","Catarina D. Rona","Catarina D. Rona",NA,NA,NA,"Brasil","Santa Catarina","Cocal do Sul","-49.370278","-28.678333","49º22'13''W","28º40'42''S",NA,NA,"CRI012697",NA,"Flor vermelha, frutos verdes Habitat: Terrestre Habito: Arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:18-03","UNESC","CRI","12718","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","Renato Colares & Aline V. Guislon","Alexandre Medeiros","2017","06","04","Brasil","Santa Catarina","Balneário Camboriú","-48.6347007751465","-26.9906005859375",NA,NA,"15","15","CRI010932",NA,"Coleta 428. Flor vermelha. Habito: Arbóreo","2017","09","18","Estaleiro.","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","600941","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","B. A. Krukoff","F. C. Hoehne","1919","07","03","Brazil","São Paulo","Sao Paulo","-46.63","-23.5403",NA,NA,NA,NA,"NY00600941","NY00600941_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433607' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Buntantan",NA,NA,"Magnoliophyta","Fabales","s.n.","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","600949","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","R. C. Barneby","A. Schinini","1987","07","21","Paraguay","Asunción",NA,NA,NA,NA,NA,NA,NA,"NY00600949",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433588' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Asunción",NA,NA,"Magnoliophyta","Fabales","25441","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02679175","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews",NA,"J. Evangelista de Oliveira","1942","09","16","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"NY02679175","NY02679175_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2941749' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Fabales","1094","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","600945","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","B. A. Krukoff","J. C. Lindeman","1966","10","03","Brazil","Paraná","Morretes","-48.8342","-25.4769",NA,NA,NA,NA,"NY00600945",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433599' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Near Morretes",NA,NA,"Magnoliophyta","Fabales","2633","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","600929","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","B. A. Krukoff","A. M. V. de Carvalho","1980","08","21","Brazil","Bahia","Ilhéus","-39.0492","-14.7892",NA,NA,NA,NA,"NY00600929","NY00600929_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433597' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Km 22 rod. Ilhéus-Itabuna. CEPEC. Area de Lazer, Parques e Jardim",NA,NA,"Magnoliophyta","Fabales","348","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01058573","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","B. A. Krukoff","E. P. Heringer","1965","08","31","Brazil","Distrito Federal","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,"NY01058573","NY01058573_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142594' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Zoobotânico",NA,NA,"Magnoliophyta","Fabales","10524","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","600938","PreservedSpecimen","Plantae","Fabaceae","Erythrina","speciosa","Erythrina speciosa","Andrews","B. A. Krukoff","T. Sendulsky","1969","08","12","Brazil","São Paulo","Sao Paulo","-46.618358","-23.646109",NA,NA,NA,NA,"NY00600938","NY00600938_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433594' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"10 km. south of center of city of Sâo Paulo, in grounds of the Instituto de Botânica, Parque do Estado",NA,NA,"Magnoliophyta","Fabales","s/n¦","South America","sheet",NA,NA,NA,NA,NA,NA,NA
