"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","recordNumber","stateProvince","imagecode","identifiedBy","year","month","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified","fieldNumber","individualCount"
"1","2020-09-23 10:41:33-03","E","E","285705","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","myrtoidea","Microlicia myrtoidea","isosyntype","Sellow, Friedrich","E. Tropical South America","BR","Brasilia","herbarium specimen of unspecif","BGBASE:296618","<a href=http://data.rbge.org.uk/herb/E00285705 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285705",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00926140","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","myrtoidea","Microlicia myrtoidea",NA,"G. Gardner","South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000280' target='other'> <mi>dwc_moreinfo</mi></a>","NY00926140","Magnoliophyta","Myrtales","Cham.","X.4635","Minas Gerais","NY00926140_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","522628","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","myrtoidea","Microlicia myrtoidea",NA,"G. G. Hatschbach","South America","Brazil","Sao Tomé das Letras","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207488' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522628","Magnoliophyta","Myrtales","Cham.","31305","Minas Gerais","NY00522628_01","J. J. Wurdack","1973","02","05","São Thomé das Letras","-44.9853","-21.7222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00926139","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","myrtoidea","Microlicia myrtoidea",NA,"G. G. Hatschbach","South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000270' target='other'> <mi>dwc_moreinfo</mi></a>","NY00926139","Magnoliophyta","Myrtales","Cham.","31313","Minas Gerais","NY00926139_01","J. J. Wurdack","1973","02","05","São Thomé das Letras","-44.9853","-21.7222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","522627","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","myrtoidea","Microlicia myrtoidea",NA,"L. B. Smith","South America","Brazil","Fazenda Morungava, Rio Funil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207487' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522627","Magnoliophyta","Myrtales","Cham.","14855","Paraná","NY00522627_01","J. J. Wurdack","1965","01","19","Sengés","-49.37","-24.13","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","522626","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","myrtoidea","Microlicia myrtoidea",NA,"P. K. H. Dusén","South America","Brazil","Itararé app. Morungava prasdium, ad rivulum","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207486' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522626","Magnoliophyta","Myrtales","Cham.","16670","Paraná","NY00522626_01","J. Y. V. Norlind","1915","02","13","Sengés","-49.4633","-24.1131","720","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00926141","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","myrtoidea","Microlicia myrtoidea",NA,"J. R. Pirani","South America","Brazil","Pedra Menina. Faz. Vargem do Anjo, Morro Espigão do Meio.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000290' target='other'> <mi>dwc_moreinfo</mi></a>","NY00926141","Magnoliophyta","Myrtales","Cham.","CFCR5451","Minas Gerais","NY00926141_01","V. C. Souza","1984","10","13","Rio Vermelho","-43.0594","-18.1422",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-13 09:20:16-03","UFRJ","RFA","12563","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","myrtoidea","Microlicia myrtoidea",NA,"G.G. Hatschbach",NA,"Brasil","Rio Pelame",NA,NA,"Subarbusto 70 cm de altura; flor rosada, anteras amarelas","RFA45551",NA,NA,"Cham.","26725","Paraná",NA,"J.J. Wurdack","1971","06","17","Sengés","-49.4636001586914","-24.1128005981445",NA,NA,"1972","55682","auto",NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:20:36-03","UFBA","ALCB","64053","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","myrtoidea","Microlicia myrtoidea",NA,"Bastos, C; et al.","Southern America","Brasil","Piemonte da Diamantina, Parque Estadual das Sete Passagens",NA,NA,"Folhas membranáceas. Flores róseas.",NA,"Dicotyledon",NA,"Cham.","s/n","Bahia",NA,"Guedes, ML","2003","04","23","Miguel Calmon","-40.583333","-11.416667",NA,NA,"2003",NA,NA,"10","-40.583333","-11.416667",NA,NA,NA,NA
"10","2019-10-09 11:20:36-03","UFBA","ALCB","028913","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","myrtoidea","Microlicia myrtoidea",NA,"Pirani, JR; Meguro, M; Isejima, R; Mello-Silva, R de","Southern America","Brasil","Pedra Menina. Faz. Vargem do Anjo- Morro Espigão do Meio.",NA,NA,"denso, com acerca de 1m. Flores lilases.",NA,"Dicotyledon",NA,"Cham.","CFCR5451","Minas Gerais",NA,"Souza, VC","1984","10","13","Rio Vermelho","-43.0092010498047","-18.2936000823975",NA,NA,"1985","26996","auto","07",NA,NA,NA,NA,NA,NA
"11","2020-02-08 10:04:35-03","NBC","NL-BOTANY","L.2551331","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","myrtoidea","Microlicia myrtoidea",NA,"Hatschbach GG","Southern America","Brazil","Parana, Sengés, Fda Morungava, Rio do Funil.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2551331 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2551331",NA,"Myrtales","Cham.",NA,NA,"NL-L2551331",NA,"1958","12","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"12","2020-02-08 10:04:35-03","NBC","NL-BOTANY","L.2551332","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","myrtoidea","Microlicia myrtoidea",NA,"Sellow F","Southern America","Brazil",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2551332 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2551332",NA,"Myrtales","Cham.",NA,NA,"NL-L2551332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"13","2020-11-04 11:13:45-03","ESALQ","ESA","32073","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","myrtoidea","Microlicia myrtoidea",NA,"Oliveira, S.S. et al.",NA,"Brasil",NA,NA,NA,NA,"ESA032073","Magnoliophyta",NA,"Cham.",NA,"Paraná","ESA032073","Romero, R.","1995","04","08","Senges","-49.4636001586914","-24.1128005981445",NA,NA,NA,"55682","auto",NA,NA,NA,NA,NA,NA,NA
"14","2021-01-14 15:31:41-03","MN","R","9212","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","myrtoidea","Microlicia myrtoidea",NA,"Glaziou, A.F.M.",NA,"Brasil",NA,NA,NA,"Plantas do Brasil Central","R000009212",NA,NA,"Cham.","8372","São Paulo","R000009212_001",NA,"1868","01","04","Bocaina","-48.5099983215332","-22.1299991607666",NA,NA,NA,"18396","auto",NA,NA,NA,NA,NA,NA,NA
"15","2019-02-15 11:45:48-02","IPA","IPA","2094","S","Plantae","Melastomataceae","Microlicia","myrtoidea","Microlicia myrtoidea",NA,"Andrade-Lima","Southern America","Brasil","Serra do Cipó",NA,NA,"Pequeno arbusto; flores vermelhas.; Campos alpinos.","IPA0002094","Plantae",NA,"Cham.","51-844","Minas Gerais",NA,"Brade, A.C.","1951","01","16",NA,NA,NA,NA,NA,"1956",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-11-21 14:39:43-03","UFJF","CESJ","39961","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","myrtoidea","Microlicia myrtoidea",NA,"L.C.S. Assis; M.S. Magalhães","América do Sul","Brasil","Mata do Baú",NA,NA,"Subarbusto no campo cerrado, indumento ferrugíneo com tricomas glandulares, folhas discolores, cálice verde, corola alva, anteras amarelas.","CESJ039961","Angiosperma",NA,"Cham.","673","Minas Gerais",NA,"L.C.S. Assis","2003","02","18","Barroso","-43.9757995605469","-21.1868991851807",NA,NA,"2004","7934","auto","02",NA,NA,NA,"12",NA,NA
"17","2019-11-21 14:39:43-03","UFJF","CESJ","36264","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","myrtoidea","Microlicia myrtoidea",NA,"L.C.S. Assis","América do Sul","Brasil","Mata do Baú",NA,NA,"Arbusto encontrado na borda da mata, caule amarronzado, folhas discolores, pétalas alvas e anteras amarelas, botões rosas. Pouco frequente.","CESJ036264","Angiosperma",NA,"Cham.","448","Minas Gerais",NA,"L.C.S. Assis","2002","02","14","Barroso","-43.9757995605469","-21.1868991851807",NA,NA,"2004","7934","auto","11",NA,NA,NA,"12",NA,NA
