"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","recordNumber","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","individualCount","fieldNumber","typeStatus","infraspecificEpithet","relatedCatalogItem"
"1","2021-04-05 14:33:19-03","UNESC","CRI","7002","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","umbellatus","Handroanthus umbellatus","(Sond.) Mattos","Vanilde Citadini- Zanette","Andressa Biava; Enilda Sebastiana & Marlete Borges","1999","10","16","Brasil","Santa Catarina","Criciúma","Campus da UNESC.","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58","CRI001635","CRI001635",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:19-03","UNESC","CRI","4432","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","umbellatus","Handroanthus umbellatus","(Sond.) Mattos","Valbemar P. Boff","V. P. Boff","1995","11","02","Brasil","Santa Catarina","Araranguá","Rod. SC Ermo Sanga da Toca.","-49.486111","-28.935278","49º29'10''W","28º56'7''S","4","4","CRI001688","CRI001688","Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:19-03","UNESC","CRI","6021","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","umbellatus","Handroanthus umbellatus","(Sond.) Mattos","Vanilde Citadini- Zanette","Maria Costa Rebelo","1996","09","13","Brasil","Santa Catarina","Jaguaruna","Praça Serafim S. Costa.","-49.025833","-28.615556","49º1'33''W","28º36'56''S","12","12","CRI001636","CRI001636","Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:19-03","UNESC","CRI","4963","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","umbellatus","Handroanthus umbellatus","(Sond.) Mattos","Ana Maria da Silva Claudino","A. M. da S. Claudino","1996","10","09","Brasil","Santa Catarina","Sombrio",NA,"-49.616944","-29.114444","49º37'1''W","29º6'52''S","17","17","CRI001680","CRI001680","Habito: arbustiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:19-03","UNESC","CRI","4512","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","umbellatus","Handroanthus umbellatus","(Sond.) Mattos","Elaine T. G. Carvalho","E. T. G. Carvalho",NA,NA,NA,"Brasil","Santa Catarina","Araranguá",NA,"-49.486111","-28.935278","49º29'10''W","28º56'7''S","4","4","CRI001689","CRI001689",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:19-03","UNESC","CRI","4872","PreservedSpecimen","Plantae","Bignoniaceae","Tabebuia","umbellata","Tabebuia umbellata","(Sond.) Sandwith",NA,"Clair Maria Martinello; Z. P. Topanotti","1995","09","07","Brasil","Santa Catarina","Forquilhinha","Prop. Clair M. Martinello, São Pedro.","-49.4725","-28.748056","49º28'21''W","28º44'53''S","28","28","CRI001638","CRI001638","Habitat: interior da mata Habito: árvore","34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","948724","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","umbellatus","Handroanthus umbellatus","(Sond.) Mattos",NA,"E. P. Heringer","1965","08","31","Brazil","Distrito Federal","Brasília","Jardim Zoologico","-47.9294","-15.7797",NA,NA,NA,NA,"NY00948724","NY00948724_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015602' target='other'> <mi>dwc_moreinfo</mi></a>","10520","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","402891","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","umbellatus","Handroanthus umbellatus","(Sond.) Mattos",NA,"A. H. Gentry","1985","02","08","Brazil","Bahia","Mascote","BR-101, cacao plantation, 2 km N of crossing of Río Pardo.","-39.47","-15.58",NA,NA,"30","30","NY00402891","NY00402891_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=478659' target='other'> <mi>dwc_moreinfo</mi></a>","49954","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","402897","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","umbellatus","Handroanthus umbellatus","(Sond.) Mattos",NA,"E. P. Heringer","1978","08","10","Brazil","Distrito Federal","Brasília","RECOR - Mata ciliar local algado","-47.9294","-15.7797",NA,NA,NA,NA,"NY00402897","NY00402897_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=478655' target='other'> <mi>dwc_moreinfo</mi></a>","594","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","948725","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","umbellatus","Handroanthus umbellatus","(Sond.) Mattos",NA,"C. C. de Mello",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NY00948725","NY00948725_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015612' target='other'> <mi>dwc_moreinfo</mi></a>","s.n.","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
