"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","class","relatedCatalogItem","typeStatus","locality","fieldNumber","individualCount","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","02172686","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Helicostylis","heterotricha","Helicostylis heterotricha","Ducke","W. A. Ducke","985","1942","08","26","South America","Brazil","Amazonas","Borba","-59.5938987731934","-4.38778018951416","270195","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2326928' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172686","NY02172686_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:45:25-03","EAO","IAN","10529","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Moraceae","Helicostylis","heterotricha","Helicostylis heterotricha","Ducke","Ducke, A","985","1942","08","26","Southern America","Brasil","Amazonas","Borba","-59.5938987731934","-4.38778018951416","270195",NA,"Árvore mediana, receptáculos brancacentos.","IAN010529","IAN010529 IAN010529_e","auto","CB",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:24:23-03","NBC","NL-BOTANY","U 0285717","PreservedSpecimen","Plantae",NA,"Rosales","Moraceae","Helicostylis","heterotricha","Helicostylis heterotricha","Ducke","Sanchez S M; et al.",NA,NA,NA,NA,"Southern America","Colombia",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200285717 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0285717",NA,NA,NA,"Magnoliopsidae","Uw33045",NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:24:23-03","NBC","NL-BOTANY","U.1432106","PreservedSpecimen","Plantae",NA,"Rosales","Moraceae","Helicostylis","heterotricha","Helicostylis heterotricha","Ducke","Ducke A",NA,"1931","10","06","Southern America","Brazil","Amazonas",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1432106 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1432106","NL-U1432106",NA,"Berg CC","Magnoliopsidae","U 0106969",NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:24:23-03","NBC","NL-BOTANY","U.1432369","PreservedSpecimen","Plantae",NA,"Rosales","Moraceae","Helicostylis","heterotricha","Helicostylis heterotricha","Ducke","Sánchez S; M; et al.",NA,"1988","11","20","Southern America","Colombia","Caquetá",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1432369 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1432369","NL-U1432369",NA,"Berg CC","Magnoliopsidae","U 0107253",NA,NA,NA,NA,NA,NA
"6","2016-02-02 14:38:37-02","BGBM","B","B 10 0244546","S","Plantae",NA,NA,"Moraceae","Helicostylis","heterotricha","Helicostylis heterotricha","Ducke","A. Ducke","RB 19486","1927","11","08","Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,"Jardim Botanico do Rio de Janeiro, Herbario No. 19486 <a href=http://herbarium.bgbm.org/object/B100244546 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100244546","B100244546",NA,NA,NA,NA,"isotype","Tonantins; Rio Solimões, civ. Amazonia; silva non inundabili.",NA,NA,NA,NA
"7","2014-08-20 11:40:47-03","MNHN","RECOLNAT_MNHN_P","P00745497","PreservedSpecimen",NA,NA,NA,"Moraceae","Helicostylis","heterotricha","Helicostylis heterotricha","Ducke","Ducke, A.",NA,"1927","11","8",NA,"Brésil",NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00745497' target='other'> <mi>dwc_moreinfo</mi></a>","P00745497","P00745497_01",NA,"Nigtevecht",NA,NA,"isotype","Tonantins (Rio Solimoes, cir. Amazonas)","19486",NA,NA,NA
"8","2011-03-24 10:03:00-03","MO","MOBOT","100180279","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Helicostylis","heterotricha","Helicostylis heterotricha","Ducke","A. Ducke","Ducke 985","1942","8","26","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C.C. Berg",NA,NA,NA,"Borba, silva non inundabili.",NA,"1",NA,NA
"9","2008-05-27 22:02:00-03","MO","MOBOT","1790387","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Helicostylis","heterotricha","Helicostylis heterotricha","Ducke","Boris A. Krukoff","Krukoff 8832","1936","10","26","South America","Brazil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C.C. Berg",NA,NA,"Isotype","State of Amazonas. Municipality Sã0 Paulo de Olivenca. Basin of creek Belem.",NA,NA,NA,NA
"10","2009-03-18 10:23:00-03","MO","MOBOT","705406","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Helicostylis","heterotricha","Helicostylis heterotricha","Ducke","Walter A. Palacios","Palacios Cuenca 2405","1988","1","9","South America","Ecuador","Napo",NA,"-76.2166667","-0.95",NA,NA,NA,NA,NA,NA,"C.C. Berg (BG)",NA,NA,NA,"Parque Nacional Yasuni. Pozopetrolero Amo 2. Bosque muy húmedo tropical bosque primario. Suelo rojo arcilloso.","88-1","9","230.00000000",NA
