"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","typeStatus","individualCount","fieldNumber"
"1","2021-04-05 14:24:59-03","UNESC","CRI","7359","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","J. L. Waechter","Robson dos Santos; Vanilde Citadini Zanette & Alexandre S. Klein","2001","11","18","Brasil","Santa Catarina","Praia Grande","Aparados da Serra.","-49.950556","-29.197222","49º57'2''W","29º11'50''S","CRI001125","CRI001125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","779216","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","H. E. Robinson","R. A. Wasum","1999","10","11","Brazil","Rio Grande do Sul","Sao Francisco de Paula","Mun. Sao Francisco de Paula-Linha Sao Paulo","-50.5833","-29.4483",NA,NA,"NY00779216","NY00779216_01","Magnoliophyta","Asterales","168","South America","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=261091' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","779217","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","M. Sobral","M. Sobral","1983","12",NA,"Brazil","Rio Grande do Sul","Cambará do Sul","Faxinal, Cambará do Sul","-50.143208","-29.047894",NA,NA,"NY00779217","NY00779217_01","Magnoliophyta","Asterales","2789","South America",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=261090' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-18 09:28:53-03","UNESP-IBB","BOTU","11829","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera",NA,"Sobral, M.","1983","12",NA,"Brasil","Rio Grande do Sul","Faxinal","Cambará do Sul",NA,NA,"9999","9999","BOTU011829",NA,NA,NA,"2789",NA,NA,NA,NA,"Erva em interior de mata, capítulos amarelos",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-02-15 11:34:24-02","IPA","IPA","89169","S","Plantae","Asteraceae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","Moraes, M.D. de","Moraes, M.D. de","2006","11","11","Brasil","Santa Catarina",NA,"24 km ao sul de Lages, margem de córrego.",NA,NA,NA,NA,"IPA0089169","IPA0089169","Plantae",NA,"830","Southern America",NA,NA,NA,"Flores brancas.; Matinha com araucarias, árvores com tillandsia usneoides. Solo úmido com avencas e samambaias.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-27 13:27:45-03","IAP","PACA-AGP","62952","PreservedSpecimen","Plantae","Compositae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","Emrich-Rambo","Camargo, O. R.","1958","01","20","Brasil","RS","Bom Jesus","Lageadinho","-50.4166984558105","-28.6678009033203",NA,NA,"PACA062952",NA,"Magnoliophyta","Asterales","3116",NA,NA,NA,NA,"VULNERÁVEL Habitat: in araucarieto Fenofase: flor","Magnoliatae","1958","09","24","55856","auto",NA,NA,NA
"7","2019-08-27 13:27:45-03","IAP","PACA-AGP","99440","PreservedSpecimen","Plantae","Compositae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","N.I. Matzembacher","Bottega kerber, K.T.","2004","12","20","Brasil","RS","Cambará do Sul","Parque Nacional dos Aparados da Serra","-50.133333","-29.033333","50°08'W","29°02'S","PACA099440",NA,"Magnoliophyta","Asterales","57",NA,NA,NA,NA,"Hasu Habitat: terrestre","Magnoliatae","2005","07","11",NA,NA,NA,NA,NA
"8","2019-08-27 13:27:45-03","IAP","PACA-AGP","103079","PreservedSpecimen","Plantae","Compositae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera",NA,"Kerber, K.T.B.","2005",NA,NA,"Brasil","RS","Cambará do Sul",NA,"-50.1446990966797","-29.0478000640869",NA,NA,"PACA103079",NA,"Magnoliophyta","Asterales","305",NA,NA,NA,NA,NA,"Magnoliatae",NA,NA,NA,"30776","auto",NA,NA,NA
"9","2019-08-27 13:27:45-03","IAP","PACA-AGP","51098","PreservedSpecimen","Plantae","Compositae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","Emrich-Rambo","Sehnem, A.","1951","01","13","Brasil","RS","Garibaldi","Salto Ventoso","-51.5335998535156","-29.2560997009277",NA,NA,"PACA051098",NA,"Magnoliophyta","Asterales","5555",NA,NA,NA,NA,"VULNERÁVEL Habitat: n rupestribus ad rivum Fenofase: flor","Magnoliatae","1954","07","05","25074","auto",NA,NA,NA
"10","2019-08-27 13:27:45-03","IAP","PACA-AGP","2183","PreservedSpecimen","Plantae","Compositae","Pamphalea","araucariophila","Pamphalea araucariophila","Cabrera","Emrich-Rambo","Rambo, B.","1935","12","27","Brasil","RS","Montenegro","Campestre","-51.4611015319824","-29.6886005401611",NA,NA,"PACA002183","PACA002183","Magnoliophyta","Asterales",NA,NA,NA,NA,NA,"VULNERÁVEL&nf;PARATYPUS. Habitat: in araucarieto ad aquam Fenofase: flor","Magnoliatae","1954","07","05","21601","auto","Paratipo",NA,NA
