"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","scientificNameAuthorship","identifiedBy","yearIdentified","recordNumber","barcode","imagecode"
"1","2021-03-04 15:43:22-03","IF","SPSF","03462","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Myrocarpus","leprosus","Myrocarpus leprosus","Holótipo","D.Bento Pickel","1949","09","29","América do Sul","Brasil","SP","Santos","morro de Santa Teresinha","-46.3300018310547","-23.9599990844727","26836","COLETA: XLS: SPSFAntigo&nf;Na mata.&nf;Nome popular: cabreúva-parda;","auto",NA,NA,NA,NA,NA,NA
"2","2019-11-21 10:06:15-03","IBt","SP","53474","S","Plantae",NA,NA,NA,"Fabaceae","Myrocarpus","leprosus","Myrocarpus leprosus","Isotype","Pickel, B",NA,NA,NA,NA,"Brasil","São Paulo","Santos","Morro de Santa Teresinha","-46.3300018310547","-23.9599990844727","26836","29/9/1949 (fl.) e 27/11/1949 (fr. imat.). Ex Serv. Florestal do Estado de S. Paulo nº 3462","auto","Pickel","Pickel, B","1955","s.n.","SP001034","SP001034"
