"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","preparationType","occurrenceRemarks","barcode","imagecode","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","typeStatus","individualCount","identifiedBy","verbatimLongitude","verbatimLatitude","class","yearIdentified","monthIdentified","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","02431748","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","expeditionaria","Spondias expeditionaria","J.D.Mitch. & Daly","H. Lorenzi","s.n.","1997","10","16","South America","Brazil","Minas Gerais","Expedicionário Alício","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2976644' target='other'> <mi>dwc_moreinfo</mi></a>","NY02431748","NY02431748_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02431749","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","expeditionaria","Spondias expeditionaria","J.D.Mitch. & Daly","V. C. Souza","390","1992","11","09","South America","Brazil","Espírito Santo","Baixo Guandu","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2976646' target='other'> <mi>dwc_moreinfo</mi></a>","NY02431749","NY02431749_01","lado direito da estrada indo de Baixo Guandú para Mutum Preto.","-41.0158004760742","-19.5188999176025","34474","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02431747","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","expeditionaria","Spondias expeditionaria","J.D.Mitch. & Daly","V. Demuner","1533","2003","03","02","South America","Brazil","Espírito Santo","Santa Teresa","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2976643' target='other'> <mi>dwc_moreinfo</mi></a>","NY02431747","NY02431747_01","propriedade de Domingos Demuner.","-40.6002998352051","-19.9356002807617","23813","auto","400","550",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02711099","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","expeditionaria","Spondias expeditionaria","J.D.Mitch. & Daly","H. Lorenzi","s.n.","1997","10","16","South America","Brazil","Minas Gerais","Expedicionário Alício","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3001496' target='other'> <mi>dwc_moreinfo</mi></a>","NY02711099","NY02711099_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02059432","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","expeditionaria","Spondias expeditionaria","J.D.Mitch. & Daly","D. A. Folli","1534","1991","12","15","South America","Brazil","Espírito Santo",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2697389' target='other'> <mi>dwc_moreinfo</mi></a>","NY02059432","NY02059432_01","Barra do Riacho, ARACRUZ, Localizada no Barranco do Rio Guandú, lado direito da estrada de Baixo Guandú a Ibitubam Km 22.",NA,NA,NA,NA,NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02431750","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","expeditionaria","Spondias expeditionaria","J.D.Mitch. & Daly","V. C. Souza","390","1992","11","09","South America","Brazil","Espírito Santo","Baixo Guandu","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2976647' target='other'> <mi>dwc_moreinfo</mi></a>","NY02431750","NY02431750_01","lado direito da estrada indo de Baixo Guandú para Mutum Preto.","-41.0158004760742","-19.5188999176025","34474","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-05-15 10:24:00-03","MO","MOBOT","100987262","PreservedSpecimen","Plantae",NA,NA,"Anacardiaceae","Spondias","expeditionaria","Spondias expeditionaria","J.D. Mitch. & Daly","D.A. Folli","Folli 1534","1991","12","15","South America","Brazil","Espírito Santo","Aracruz",NA,NA,NA,NA,"Barra do Riacho, on levee of Rio Guandú, km 22 of Baixo Guandú-Ibituba road, right side.","-40.2733001708984","-19.8202991485596","37987","auto",NA,NA,"Isotype","1",NA,NA,NA,NA,NA,NA,NA
"8","2020-07-10 09:43:14-03","MBML","MBML-HERBARIO","19714",NA,"Plantae",NA,NA,"Anacardiaceae","Spondias","expeditionaria","Spondias expeditionaria","Mitch & Daly","V. Demuner","1583","2003","03","02",NA,"Brasil","Espírito Santo","Santa Teresa",NA,"Árvore 10m, fuste 70cm, DAP 40+40cm, frutos de cor verde. Planta isolada em lavouras de café.","MBML019714","MBML019714","Pedra Alegre","-40.824722","-19.888889",NA,NA,NA,NA,NA,NA,"N.G. Antas/24-VIII-2011","40W49'29","19S53'20",NA,NA,NA,NA
"9","2021-02-25 10:13:17-03","CVRD","CVRD","4072","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","expeditionaria","Spondias expeditionaria","J.D. Mitch. & Daly","Souza, V.D.","390","1992","11","09","América do Sul","BRASIL","ES","Baixo Guandu",NA,"<ll>dwc_commonname:</ll> Cajazinho","CVRD004072",NA,"Lado direito da estrada indo de Baixo Guandu para Mutum Preto - Baixo Guandu - ES.","-41.0158004760742","-19.5188999176025","34474","auto",NA,NA,"PARATYPUS",NA,"John D. Mitch. & Douglas C. Daly",NA,NA,"Magnoliopsida","2017","07","30"
"10","2021-02-25 10:13:17-03","CVRD","CVRD","3647","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","expeditionaria","Spondias expeditionaria","J.D. Mitch. & Daly","Folli, D.A.","1534","1991","12","15","América do Sul","BRASIL","ES","Baixo Guandu",NA,"<ll>dwc_commonname:</ll> Cajazinho","CVRD003647",NA,"Localizada no Barranco do Rio Guandú, lado direito da estrada de Baixo Guandu à Ibituba. Km 22.","-41.0158004760742","-19.5188999176025","34474","auto",NA,NA,"HOLOTYPUS",NA,"John D. Mitch. & Douglas C. Daly",NA,NA,"Magnoliopsida","2017","07","30"
