"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","recordNumber","continentOcean","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","yearIdentified","class","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","typeStatus","fieldNumber","individualCount"
"1","2021-04-05 14:25:14-03","UNESC","CRI","1970","PreservedSpecimen","Plantae","Euphorbiaceae","Dalechampia","glechomifolia","Dalechampia glechomifolia","Baill.","L. B. Smith","R. Reitz; R. M. Klein","1963","12","29","Brasil","Santa Catarina","Abelardo Luz","-52.328611","-26.565278","52º19'43''W","26º33'55''S","CRI002528","CRI002528",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","504815","PreservedSpecimen","Plantae","Euphorbiaceae","Dalechampia","glechomifolia","Dalechampia glechomifolia","Baill.","L. B. Smith; R. J. Downs","L. B. Smith","1956","12","05","Brazil","Santa Catarina","Campos Novos","-51.2247","-27.4019",NA,NA,"NY00504815","NY00504815_01","Magnoliophyta","Malpighiales","8384","South America","3 km from C N on Joaçaba rd. 3 km north of Campos Novos","900","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=528144' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","504816","PreservedSpecimen","Plantae","Euphorbiaceae","Dalechampia","glechomifolia","Dalechampia glechomifolia","Baill.","G. L. Webster","M. Sobral","1986","12","01","Brazil","Rio Grande do Sul","Cruz Alta","-53.6064","-28.6386",NA,NA,"NY00504816","NY00504816_01","Magnoliophyta","Malpighiales","5288","South America","Cruz Alta",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=528147' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02431415","PreservedSpecimen","Plantae","Euphorbiaceae","Dalechampia","glechomifolia","Dalechampia glechomifolia","Baill.",NA,"G. L. Webster","1986","12","04","Brazil","Rio Grande do Sul","Cruz Alta","-53.42","-28.67",NA,NA,"NY02431415","NY02431415_01","Magnoliophyta","Malpighiales","25868","South America","Along Ibiruba-Cruz Alta road, c. 13 km E of Cruz Alta","400",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2969140' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","504814","PreservedSpecimen","Plantae","Euphorbiaceae","Dalechampia","glechomifolia","Dalechampia glechomifolia","Baill.","S. F. Smith","R. Reitz","1965","12","14","Brazil","Paraná","Guarapuava","-51.5632738","-25.394435",NA,NA,"NY00504814","NY00504814_01","Magnoliophyta","Malpighiales","17593","South America","8 km ao oeste de Guarapuava, Guarapuava","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=528146' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","504817","PreservedSpecimen","Plantae","Euphorbiaceae","Dalechampia","glechomifolia","Dalechampia glechomifolia","Baill.","A. C. Allem","A. C. Allem","1976","11","20","Brazil","Goiás","Cristalina","-47.6133","-16.7686",NA,NA,"NY00504817","NY00504817_01","Magnoliophyta","Malpighiales","514","South America","5 km ao sul de Cristalina BR-040-60",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=528145' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-18 09:29:31-03","UNESP-IBB","BOTU","10320","PreservedSpecimen","Plantae","Euphorbiaceae","Dalechampia","glechomifolia","Dalechampia glechomifolia","Baill.","Hatschbach, G.","Hatschbach, G.","1982","09","22","Brasil","Paraná","Ponta Grossa",NA,NA,"9999","9999","BOTU010320",NA,NA,NA,"45487",NA,NA,NA,NA,NA,"Reptante, flor creme-esverdeada","1982",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-08 17:38:22-03","EAO","IAN","5809","PreservedSpecimen","Plantae","Euphorbiaceae","Dalechampia","parvula","Dalechampia parvula","Pax & K.Hoffm.",NA,"Niederlein, G",NA,NA,NA,"Argentina",NA,NA,NA,NA,NA,NA,"IAN005809","IAN005809_f","Dicotiledônea",NA,"s.n.","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:48:17-03","NBC","NL-BOTANY","U.1273031","PreservedSpecimen","Plantae","Euphorbiaceae","Dalechampia","glechomifolia","Dalechampia glechomifolia","Baill.",NA,"Lindeman JC; Haas JH de","1967","06","30","Brazil",NA,NA,NA,NA,NA,NA,"NL-U1273031","NL-U1273031",NA,"Malpighiales",NA,"Southern America","Brasiliae Australis. Hab. Est. D.F. Lago de Brasilia. Campo cerrado on peninsula. By central road.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1273031 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:48:17-03","NBC","NL-BOTANY","U.1273032","PreservedSpecimen","Plantae","Euphorbiaceae","Dalechampia","glechomifolia","Dalechampia glechomifolia","Baill.",NA,"Hatschbach GG","1964","10","02","Brazil",NA,NA,NA,NA,NA,NA,"NL-U1273032","NL-U1273032",NA,"Malpighiales",NA,"Southern America","Est. Parana (Brasil). Mun Ponta Grossa. Rod. do Cafe, Fda. Rivadavia.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1273032 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
