"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","verbatimLongitude","verbatimLatitude","relatedCatalogItem","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","476052","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","florbranca","Trichilia florbranca","T.D.Penn.","T. D. Pennington","A. M. Amorim","2207","1998","02","21","South America","Brazil","Bahia","Jussari","Rod. Jussari/Palmira. Entrada ca. 7,5 km de Jussari. Faz. Teimoso. RPPN Serra do Teimoso","-39.5286","-15.1581","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=664882' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476052","NY00476052_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","408367","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","florbranca","Trichilia florbranca","T.D.Penn.","T. D. Pennington","T. D. Pennington","10193","1978","03","09","South America","Brazil","Bahia","Jussari","Mun. Itabuna. 3.5 km NW of Jucari. Near bed of small stream","-39.5166","-15.1666","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=664883' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408367","NY00408367_01","200","200",NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00749938","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","florbranca","Trichilia florbranca","T.D.Penn.","T. D. Pennington","P. Fiaschi","1927","2004","02","14","South America","Brazil","Bahia","Jussari","Estrada de Jussari para Palmira, entrada à esq. Ca. 7,5 km após Jussari. Fazenda Teimoso. RPPN Serra do Teimoso.","-39.5361111","-15.1602778","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=911131' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749938","NY00749938_01",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","408369","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","florbranca","Trichilia florbranca","T.D.Penn.","T. D. Pennington","T. D. Pennington","10193","1978","03","09","South America","Brazil","Bahia","Jussari","Mun. Itabuna. 3.5 km NW of Jucari. Near bed of small stream","-39.5166","-15.1666","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=664881' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408369","NY00408369_01","200","200",NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","408368","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","florbranca","Trichilia florbranca","T.D.Penn.","T. D. Pennington","T. D. Pennington","10190","1978","03","09","South America","Brazil","Bahia","Jussari","Mun. de Itabuna. 3.5 km NW of Jucari. Near bed of small stream","-39.5166","-15.1666","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=664884' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408368","NY00408368_01","200","200","isotype",NA,NA,NA,NA,NA
"6","2019-11-13 11:26:12-03","USP","SPF","166045","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","florbranca","Trichilia florbranca","T.D.Penn.","Anônimo","Fiaschi, P","1927","2004","02","14",NA,"Brasil","Bahia","Jussari","RPPN Serra do Teimoso","-39.536111","-16.569444",NA,NA,"SPF00166045",NA,NA,NA,NA,"-39.536111","-16.569444",NA,NA,NA
"7","2020-07-23 12:13:50-03","CEPLAC","CEPEC","101113","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","florbranca","Trichilia florbranca",NA,"Sem Informação","Fiaschi, P.","1927","2004","02","14",NA,"Brasil","Bahia","JUSSARÍ","Estrada de Jussari para Palmira, entrada à esq. Ca 7,5km após Jussari. Fazenda Teimoso. RPPN Serra do Teimoso.","-39.536111","-15.160278",NA,NA,NA,NA,NA,NA,NA,"39W32'10","15S9'37",NA,NA,NA
"8","2020-07-23 12:13:50-03","CEPLAC","CEPEC","81096","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","florbranca","Trichilia florbranca",NA,"T. D. Pennington","A. M. Amorim","2207","1998","02","21",NA,"Brasil","Bahia","JUSSARÍ","Rod. Jussari/Palmira. Ntrada ca. 7,5Km de Jussari. Faz. Teimoso. RPPN Serra do Teimoso. Árvore 358.","-39.528611","-15.158056",NA,"<ll>dwc_commonname:</ll> Bilreiro",NA,NA,NA,NA,NA,"39W31'43","15S9'29","30/12/2000",NA,NA
"9","2020-07-23 12:13:50-03","CEPLAC","CEPEC","81678","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","florbranca","Trichilia florbranca",NA,"P. Fiaschi","A. M. Amorim","2583","2007","11","09",NA,"Brasil","Bahia","JUSSARÍ","Rod. Jussari/Palmira. Entrada ca. 7,5Km de Jussari.Faz. Teimoso. RPPN Serra do Teimoso.","-39.528611","-15.158056",NA,NA,NA,NA,NA,NA,NA,"39W31'43","15S9'29","30/12/2003",NA,NA
"10","2020-07-23 12:13:50-03","CEPLAC","CEPEC","96733","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","florbranca","Trichilia florbranca",NA,"P. Fiaschi","P. Fiaschi","1666","2003","10","11",NA,"Brasil","Bahia","JUSSARÍ","Ca.7,5Km da estrada Jussari/Palmira,ramal a esquerda. Acesso p/ a sede Faz. Teimoso. RPPN Serra do Teimoso.","-39.528611","-15.158056",NA,NA,NA,NA,NA,NA,NA,"39W31'43","15S9'29","30/12/2004",NA,NA
