"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","709979","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus","(Miq.) Radlk.","P. Acevedo-Rodríguez","D. C. Daly","10434","2000","12","05","South America","Brazil","Acre","Marechal Thaumaturgo","Basin of Rio Juruá, Rio Bagé (tributary of Rio Tejo).","-72.55","-8.9289","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512529' target='other'> <mi>dwc_moreinfo</mi></a>","NY00709979","NY00709979_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","985147","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus","(Miq.) Radlk.","T. D. Pennington","S. L. M. Moore","616","1891",NA,NA,"South America","Brazil","Mato Grosso",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1075958' target='other'> <mi>dwc_moreinfo</mi></a>","NY00985147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01159395","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus","(Miq.) Radlk.","T. D. Pennington","H. H. Rusby","552","1886","10",NA,"South America","Brazil","Rondônia",NA,"Falls of Madeira","-65.3465375","-10.7798649","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1471992' target='other'> <mi>dwc_moreinfo</mi></a>","NY01159395","NY01159395_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","985146","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus","(Miq.) Radlk.","M. S. Ferrucci","R. de Mello-Silva","51","1989","10","22","South America","Brazil","Minas Gerais","Maria da Fé","Córrego próximo à cidade.","-45.3753","-22.3083","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1075956' target='other'> <mi>dwc_moreinfo</mi></a>","NY00985146","NY00985146_01","1278","1278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","447816","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus","(Miq.) Radlk.","R. L. G. Coelho","G. Gardner","1261",NA,NA,NA,"South America","Brazil","Alagoas",NA,"In provinica Dos Alagoas",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=188416' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447816",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01159396","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus","(Miq.) Radlk.","T. D. Pennington","H. H. Rusby","552","1886","10",NA,"South America","Brazil","Rondônia",NA,"Falls of Madeira","-65.3465375","-10.7798649","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1471993' target='other'> <mi>dwc_moreinfo</mi></a>","NY01159396","NY01159396_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02636671","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus","(Miq.) Radlk.","R. L. G. Coelho","P. Fiaschi","1913","2004","01","23","South America","Brazil","Bahia","Barro Preto","Serra da Pedra Lascada. 13.7 km de Barro Preto, na estrada que passa pela Fazenda São Miguel, em direção à serra. Trilha de acesso à trilha de subida para o topo da serra.","-39.2028","-14.7703","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2475254' target='other'> <mi>dwc_moreinfo</mi></a>","NY02636671","NY02636671_01","600","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02890640","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus","(Miq.) Radlk.","R. L. Coelho","A. M. Amorim","4383","2004","10","29","South America","Brazil","Bahia","Camacan","RPPN Serra Bonita, Fazenda Serra Bonita.","-39.5653","-15.3917","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2474196' target='other'> <mi>dwc_moreinfo</mi></a>","NY02890640","NY02890640_01","835","835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","03123381","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus","(Miq.) Radlk.","R. L. G. Coelho","C. A. Cid Ferreira","10543","1991","11","03","South America","Brazil","Acre","Porto Walter","Rio Juruá, margem esquerda, entrada do Igarapé Viseu.","-72.73","-8.25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=193537' target='other'> <mi>dwc_moreinfo</mi></a>","NY03123381","NY03123381_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","985145","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus","(Miq.) Radlk.","M. S. Ferrucci","G. G. Hatschbach","66938","1997","08","16","South America","Brazil","Mato Grosso","Pontes e Lacerda","Rod. BR-174, 9km N de Pontes e Lacerda.","-59.3353","-15.2261","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1075954' target='other'> <mi>dwc_moreinfo</mi></a>","NY00985145","NY00985145_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","709980","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus","(Miq.) Radlk.","P. Acevedo-Rodríguez","D. C. Daly","10436","2000","12","05","South America","Brazil","Acre","Marechal Thaumaturgo","Basin of Rio Juruá, Rio Bagé (tributary of Rio Tejo).","-72.55","-8.9289","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512530' target='other'> <mi>dwc_moreinfo</mi></a>","NY00709980","NY00709980_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-24 17:11:02-03","UTFPR","DVPR","1263","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus","(Miq.) Radlk.","Duarte, E","Estevan, DA","s.n.","2014","06","02",NA,"Brasil","Paraná","Dois Vizinhos","Parque municipal Jirau Alto","-53.0326","-25.4401",NA,"Arvoreta de 3 m de altura, frutos maduros alaranjados e imaturos verdes.; Ecótono entre Floresta Estacional Semidecidual e Floresta Ombrófila Mista.","DVPR001263","DVPR001263",NA,NA,"2014","09","03","-53.0326","-25.4401",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-24 17:11:02-03","UTFPR","DVPR","2264","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus","(Miq.) Radlk.","Estevan, DA","Estevan, DA","2090","2014","12","09",NA,"Brasil","Paraná","Dois Vizinhos","UTFPR - DV","-53.060075","-25.415306",NA,"Arvoreta, 2,5 m, flores amarelas.; Borda de mata.","DVPR002264",NA,"510","510","2014","12","09","-53.060075","-25.415306",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-24 17:11:02-03","UTFPR","DVPR","1361","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus","(Miq.) Radlk.","Estevan, DA","Moura, APC","94","2013","09","14",NA,"Brasil","Paraná","Dois Vizinhos","Mata Nativa, UTFPR - DV. Parcela 4, sub-parcela arvoreta 1","-53.0604","-25.413",NA,"Árvore.; Ecótono entre Floresta Estacional Semidecidual e Floresta Ombrófila Mista.","DVPR001361",NA,NA,NA,"2013","11",NA,"-53.0604","-25.413",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-11-24 17:11:02-03","UTFPR","DVPR","3435","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus","(Miq.) Radlk.","Estevan, DA","Estevan, DA; et al.","522","2004","07","02",NA,"Brasil","Paraná","Ventania","Fazenda Califórnia de Henrique Sato","-50.2428016662598","-24.2458000183105",NA,"Árvore 2,5m, veg.","DVPR003435",NA,NA,NA,"2004",NA,NA,NA,NA,"32424","auto",NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-10-18 16:28:11-02","UNEMAT","TANG","2066","S","Plantae",NA,NA,"Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus","(Miq.) Radlk.","Ferrucci, MS","Silva, RAG","s.n.","1998","10","15",NA,"Brasil","Paraná","Sapopema","Material vindo do Herbário FUEL.","-50.5802993774414","-23.9108009338379",NA,"Árvore 5m, flores cremes.","TANG000002066",NA,NA,NA,"2002",NA,NA,NA,NA,"21990","auto",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-30 12:48:48-03","EAO","IAN","4648","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus","Radlk. ex S.Moore",NA,"Moore, RH","616",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN004648",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-30 12:48:48-03","EAO","IAN","127827","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus","Radlk. ex S.Moore","Silva, NT da","Silva, NT da","1451","1968","11","27","Southern America","Brasil","Pará","Almeirim","Monte Dourado, Rio Jarí, Bandeira, capoeira, terra firme.","-52.5816993713379","-1.52332997322083",NA,"Arbusto de 3m; cálice verde; corola e estame cremes.","IAN127827",NA,NA,NA,"1971","07",NA,NA,NA,"564600","auto",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-30 12:48:48-03","EAO","IAN","59120","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus","Radlk. ex S.Moore","Smith, LC","Pires, JM","2699","1950","12","20","Southern America","Brasil","Pará","Belém","IAN. Estrada do Cafezal.","-48.5043983459473","-1.4558299779892",NA,"Árvore pequena; flor branca.","IAN059120",NA,NA,NA,"1966","05",NA,NA,NA,"48462","auto",NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-10-09 11:24:31-03","UFBA","ALCB","82833","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapindaceae","Allophylus","semidentatus","Allophylus semidentatus","(Miq.) Radlk.","Ferrucci, MS","Silva, JM; Goldenberg, R; Michelangeli, F","4419","2005","10","17","Southern America","Brasil","São Paulo",NA,"Itaóca, arredores",NA,NA,NA,"4 m. fruto imaturo.","ALCB066327",NA,NA,NA,"2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
