"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","stateProvince","phylum","order","continentOcean","preparationType","occurrenceRemarks","typeStatus","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount"
"1","2021-04-05 14:25:18-03","UNESC","CRI","2711","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","muehlbergianus","Lonchocarpus muehlbergianus","Hassl.","A. Burkart","Reitz; Klein","18067","1967","07","15","Brasil","Brasil","Parque Municipal.","-49.378889","-26.250833","49º22'44''W","26º15'3''S","800","800","CRI002951","CRI002951",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:18-03","UNESC","CRI","8188","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","muehlbergianus","Lonchocarpus muehlbergianus","Hassl.","A. L. de Gasper","M. Verdi; B. Grosch & G. Klemz","1092","2008","11","28","Brasil","Concórdia","Pinheiro Preto.","-52.155","-27.27","52º9'18''W","27º16'12''S","503","503","CRI002954","CRI002954","2009","05","12","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:18-03","UNESC","CRI","6810","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","muehlbergianus","Lonchocarpus muehlbergianus","Hassl.","A. Burkart","P. R. Reitiz; Klein","10422","1960","12","17","Brasil","Gaspar","Belchior.","-48.959167","-26.931944","48º57'33''W","26º55'55''S","30","30","CRI002949","CRI002949",NA,NA,NA,"Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:18-03","UNESC","CRI","6757","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","muehlbergianus","Lonchocarpus muehlbergianus","Hassl.",NA,"R. Reitz; R. M. Klein",NA,"1960","12","17","Brasil","Gaspar","Belchior.","-48.959167","-26.931944","48º57'33''W","26º55'55''S","30","30","CRI002952","CRI002952",NA,NA,NA,"Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:32-03","UNESC","CRI","2744","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","muehlbergianus","Lonchocarpus muehlbergianus","Hassl.","A. Burkart","R. Reitz; R. M. Klein",NA,"1960","12","17","Brasil","Gaspar",NA,"-48.953889","-26.933889","48º57'14''W","26º56'2''S",NA,NA,"CRI002953","CRI002953",NA,NA,NA,"Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","603083","PreservedSpecimen","Plantae","Fabaceae","Dahlstedtia","muehlbergiana","Dahlstedtia muehlbergiana","(Hassl.) M.J.Silva & A.M.G.Azevedo","M. J. da Silva","G. G. Hatschbach","13309","1965","12","10","Brazil","Xambrê","Altônia","-53.49","-23.7361",NA,NA,NA,NA,"NY00603083","NY00603083_01",NA,NA,NA,"Paraná","Magnoliophyta","Fabales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=328708' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","603073","PreservedSpecimen","Plantae","Fabaceae","Dahlstedtia","muehlbergiana","Dahlstedtia muehlbergiana","(Hassl.) M.J.Silva & A.M.G.Azevedo","M. J. da Silva","F. C. Hoehne","s.n.","1936","12","01","Brazil",NA,"Tiete",NA,NA,NA,NA,NA,NA,"NY00603073","NY00603073_01",NA,NA,NA,"São Paulo","Magnoliophyta","Fabales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=328723' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","603079","PreservedSpecimen","Plantae","Fabaceae","Dahlstedtia","muehlbergiana","Dahlstedtia muehlbergiana","(Hassl.) M.J.Silva & A.M.G.Azevedo","M. J. da Silva","G. G. Hatschbach","21507","1969","05","15","Brazil","Terra Boa","Fda. Murure","-52.4442","-23.7683",NA,NA,NA,NA,"NY00603079","NY00603079_01",NA,NA,NA,"Paraná","Magnoliophyta","Fabales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=328713' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","603087","PreservedSpecimen","Plantae","Fabaceae","Dahlstedtia","muehlbergiana","Dahlstedtia muehlbergiana","(Hassl.) M.J.Silva & A.M.G.Azevedo","M. J. da Silva","E. P. Heringer","3663","1954","11","05","Brazil","Paraopeba","Hôrto Florestal de Paraopeba","-44.4042","-19.2744",NA,NA,NA,NA,"NY00603087","NY00603087_01",NA,NA,NA,"Minas Gerais","Magnoliophyta","Fabales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=328722' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","603072","PreservedSpecimen","Plantae","Fabaceae","Dahlstedtia","muehlbergiana","Dahlstedtia muehlbergiana","(Hassl.) M.J.Silva & A.M.G.Azevedo","M. J. da Silva","A. Gehrt","s.n.","1934","04","18","Brazil","Indaiatuba","Indaiatuba","-47.195048","-23.116473",NA,NA,NA,NA,"NY00603072","NY00603072_01",NA,NA,NA,"São Paulo","Magnoliophyta","Fabales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=328726' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
