"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","55567","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","fonsecae","Byrsonima fonsecae","W.R.Anderson","isotype","W. R. Anderson","36183","1972","02","18","South America","Brazil","Minas Gerais","Serra do Espinhaço","1225","1225","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=356018' target='other'> <mi>dwc_moreinfo</mi></a>","NY00055567","NY00055567_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-07-02 14:02:40-03","JBP","HPL","6711","S","Plantae",NA,NA,"Malpighiaceae","Byrsonima","fonsecae","Byrsonima fonsecae",NA,NA,"V.C. Souza & A. O. Araújo et al.","28074","2002","02","20",NA,"Brasil","MG","Coletado em Camarinhas, em área de campo rupestre. S 20° 22' 08,7; W 43° 30' 30,5 - 1400 m.s.m.",NA,NA,NA,NA,NA,NA,"S. I. Elias","2004","05","10","Ouro Preto","-43.5081","-20.2875","44599","auto",NA,NA,NA,NA
"3","2020-12-21 16:32:37-03","MBM","MBM","81527","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","fonsecae","Byrsonima fonsecae","W. Anderson","ISOTYPE","Anderson, W.R.; Stieber, M.; Kirkbride, J.H.; Stieber, M.; Kirkbride, J.H.","36183","1972","02","18","Southern America","Brazil","Minas Gerais",NA,"1225","1225",NA,"Rocky campo and cerrado, sloping down to wet-sand meadow adjacent to gallery forest along stream; sandy soil, with sandstone outcrops; Rocky campo and cerrado, slp]oping down to wet-sand meadow adjacent to gallery forest along stream","MBM081527","MBM081527","Anderson, W.R.","1982",NA,NA,"Serra do Cipó",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-11 11:37:31-03","UFMG","BHCB","197083","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Byrsonima","fonsecae","Byrsonima fonsecae","W.R.Anderson",NA,"Rezende, SG; Justo, AG","6636","2018","02","22","Southern America","Brasil","Minas Gerais","Serra do Gandarela","1608","1608",NA,"Arbóreo; Floresta Estacional Semidecidual em Estágio Avançado de Regeneração","BHCB197083",NA,NA,NA,NA,NA,"Rio Acima","-43.684722","-20.086944",NA,NA,"-43.684722","-20.086944",NA,NA
"5","2020-12-11 11:37:31-03","UFMG","BHCB","201540","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Byrsonima","fonsecae","Byrsonima fonsecae","W.R.Anderson",NA,"Faria, FS","s.n.","2019","09","12","Southern America","Brasil","Minas Gerais","Museu de História Natural e Jardim Botânico UFMG, Borda de mata em frente ao Palacinho",NA,NA,NA,"Pétalas jovens brancas e rosadas quando senescentes.; Floresta Estacional Semidecidual.","BHCB201540","BHCB201540",NA,"2020","01","23","Belo Horizonte","-43.937801361084","-19.9207992553711","17082","auto",NA,NA,NA,NA
"6","2009-10-21 07:13:00-02","MO","MOBOT","1843832","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","fonsecae","Byrsonima fonsecae","W.R. Anderson","Isotype","William R. Anderson|M.T. Stieber|Joseph H. Kirkbride, Jr.","Anderson 36183","1972","2","18","South America","Brazil","Minas Gerais","Serra do Espinhaco. Serra do Cipó. Rocky campo and cerrado, sloping down to wet-sand meadow adjacent to gallery forest along stream. Sandy soil, with sandstone outcrops.","1225.00000000",NA,NA,NA,NA,NA,"W.R. Anderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:11:02-03","FZB-BH","BHZB","6568","S","Plantae",NA,NA,"Malpighiaceae","Byrsonima","fonsecae","Byrsonima fonsecae",NA,NA,"Lutterbach, A.","4","2008","05","25",NA,"Brasil","MG","Fazenda Bela Vista",NA,NA,NA,"Frutos na coleção carpológica nº 1122. Doação de duplicata para Herbário HUEFS em fev 2014. Anteriormente Byrsonima sp. <ll>dwc_commonname:</ll> Fruto-de-jacú",NA,NA,"R, F, Almeida","2015",NA,NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","2989389","PreservedSpecimen","Plantae",NA,"Polygalales","Malpighiaceae","Byrsonima","fonsecae","Byrsonima fonsecae","W.R. Anderson","Isotype","W. R. Anderson","36183","1972","2","18","South America - Neotropics","Brazil","Minas Gerais","Serra do Cipo.","1225","1225",NA,NA,"US00108712","US00108712_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"9","2021-03-15 18:28:18-03","USP","SPF","152760","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","fonsecae","Byrsonima fonsecae","W.R.Anderson",NA,"Campos, MTVA","CFSC13531","1993","11","20",NA,"Brasil","Minas Gerais","Serra do Cipó, Rod. Belo Horizonte - Conceição do Mato Dentro MG-010, ca. de 400 m antes da bifurcação entre Morro do Pilar e Conceição do Mato Dentro. Primeiro capão a W da rod.",NA,NA,NA,"Árvore 6 m, na borda do capão de mata. Folhas com tricomas ferrugíneos na face abaxial. Flores alvas a rosadas.","SPF00152760","SPF00152760","Francener, A","2014","12","12","Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,NA,NA
"10","2019-10-07 09:31:49-03","UEFS","HUEFS","210597","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Malpighiaceae","Byrsonima","fonsecae","Byrsonima fonsecae","W.R.Anderson",NA,"Lutterbach, A.","BHZB6568","2008","05","25",NA,"Brasil","Minas Gerais","Fazenda Bela Vista.",NA,NA,NA,"Cerrado.","HUEFS0210597","HUEFS0210597","A.Francener","2015","05",NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,"Rosanae",NA
