"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","class","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","617409","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Eryngium","corallinum","Eryngium corallinum","Mathias & Constance","L. Constance","R. Reitz","17814","1965","12","16","South America","Brazil","Paraná","Guarapuava","Fazenda Capao Redondo, Guarapuava","-51.4581","-25.3956","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=477169' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617409","NY00617409_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","617410","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Eryngium","corallinum","Eryngium corallinum","Mathias & Constance","M. E. Mathias; L. Constance","L. B. Smith","13768","1964","12","07","South America","Brazil","Santa Catarina","Campo Erê","8 km west of Campo Erê","-53.1","-26.37","900","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=477170' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617410","NY00617410_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","617408","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Eryngium","corallinum","Eryngium corallinum","Mathias & Constance","L. Constance","G. G. Hatschbach","19773","1968","09","21","South America","Brazil","Paraná","Guarapuava","Lagoa Sêca","-51.925602","-25.447968",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=477171' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617408","NY00617408_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:33:50-03","EAO","IAN","126772","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Apiaceae","Eryngium","corallinum","Eryngium corallinum","Mathias & Constance",NA,"Reitz, R; Padre","C670","1966",NA,NA,"Southern America","Brasil","Paraná","Guarapuáva",NA,"-51.4580993652344","-25.395299911499",NA,NA,NA,"Leaves green, rosulate, ascending; scapes weak, dichotomously branched; flowers scentless; petals white","IAN126772",NA,"53832","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:08:43-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Apiaceae","Eryngium","corallinum","Eryngium corallinum","Math & Constâncio","Hatschbach, G","Barbosa, E; Cunha, EM","1756","2006","10","26","Southern America","Brasil","Paraná","Candói","Lagoa Seca, Lajeado;","-52.0558013916016","-25.5722007751465",NA,NA,NA,"ereta. Flor creme.",NA,NA,"42664","auto","2006",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:43:49-03","NBC","NL-BOTANY","L.2576367","PreservedSpecimen","Plantae",NA,"Apiales","Umbelliferae","Eryngium","corallinum","Eryngium corallinum","Mathias & Constance",NA,"Hatschbach GG",NA,"1960","10","21","Southern America","Brazil",NA,NA,"Est. Parana (Brasil), Mun. Guarapuava, Rio Coutinho.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2576367 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2576367","NL-L2576367",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:43:49-03","NBC","NL-BOTANY","U.1077015","PreservedSpecimen","Plantae",NA,"Apiales","Umbelliferae","Eryngium","corallinum","Eryngium corallinum","Mathias & Constance",NA,"Lindeman JC; Haas JH de",NA,"1966","10","21","Southern America","Brazil",NA,NA,"Est Paraná. at road-km 170 near Rio Campo Real, 35 km W of Guarapueva.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1077015 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1077015","NL-U1077015",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:43:49-03","NBC","NL-BOTANY","U.1077016","PreservedSpecimen","Plantae",NA,"Apiales","Umbelliferae","Eryngium","corallinum","Eryngium corallinum","Mathias & Constance",NA,"Lindeman JC; Haas JH de",NA,"1966","11","04","Southern America","Brazil",NA,NA,"Est Paraná. Near Cantagalo, 30 km E.of Laranjeiras do Sul.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1077016 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1077016","NL-U1077016",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:43:49-03","NBC","NL-BOTANY","U.1077017","PreservedSpecimen","Plantae",NA,"Apiales","Umbelliferae","Eryngium","corallinum","Eryngium corallinum","Mathias & Constance",NA,"Hatschbach GG",NA,"1960","10","21","Southern America","Brazil",NA,NA,"Est. Parana (Brasil), Mun. Guarapuava, Rio Coutinho.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1077017 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1077017","NL-U1077017",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"10","2019-08-16 08:38:14-03","UTFPR","HCF","23647","S","Plantae",NA,NA,"Apiaceae","Eryngium","corallinum","Eryngium corallinum","Mathias & Constance","E. Barboza","J.M. Silva","9050","2015","10","17",NA,"Brasil","PR","Guarapuava","próximo à Rodovia BR-277","-51.667778","-25.413889","995","995",NA,"herbácea; flor bege. Estepe Gramíneo-lenhosa (campo), sobre lajeado.",NA,NA,NA,NA,"2017",NA,"03","31","51°40'04 W","25°24'50 S",NA,NA,NA
