"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","individualCount","class","coordinatePrecision","geoFlag","infraspecificEpithet","recordNumber","continentOcean","preparationType","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","typeStatus","previousCatalogNumber"
"1","2021-04-05 14:33:50-03","UNESC","CRI","12953","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.","Alexandre Medeiros","2018","01","19","Alexandre Medeiros","2018","01","19","Brasil","Santa Catarina","Balneário Camboriú","Barra.","-48.637778","-27.001389","48º38'16''W","27º0'5''S","Coleta 843. Flores verdes. Habito: Epífita","CRI011561","CRI011561",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","4144","S","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata",NA,"Carlos Alberto Ferreira Júnior","2017","08","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Asparagales","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4177","S","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata",NA,"Carlos Alberto Ferreira Júnior","2017","09","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4507","S","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata",NA,"Carlos Alberto Ferreira Júnior","2018","12","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:58-03","FZB-BH","CVJBFZB","2138","S","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.",NA,NA,NA,NA,"Rubens Custódio;",NA,NA,NA,"Brasil","Minas Gerais","Nova Lima",NA,"-43.8466987609863","-19.9855995178223",NA,NA,"254",NA,NA,"Magnoliophyta","Asparagales",NA,"Equisetopsida","29211","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","4145","S","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata coerulea",NA,"Carlos Alberto Ferreira Júnior","2017","08","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Asparagales","1",NA,NA,NA,"coerulea",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","3877","S","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata var. coerulea caliman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Asparagales","1",NA,NA,NA,"var. coerulea caliman",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","414815","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.","F. W. L. Kraenzlin",NA,NA,NA,"P. K. H. Dusén","1910","02","26","Brazil","Paraná","Jaguariaíva","Jaguariaiva","-49.7056","-24.2511",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=82380' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414815","NY00414815_01","Magnoliophyta","Asparagales",NA,NA,NA,NA,NA,"9864","South America","sheet",NA,NA,NA,NA,NA
"9","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","32707","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.",NA,NA,NA,NA,"Amaral Jr., A.","1973","04","07","Brasil","Santa Catarina","Camboriú","Mata das Taquaras",NA,NA,"9999","9999",NA,"BOTU032707",NA,NA,NA,NA,NA,NA,NA,NA,"1516",NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 12:17:29-03","ESALQ","ESA","131351","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","guttata","Cattleya guttata","Lindl.","Forster, W.","2013",NA,NA,"Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.","2013","02","24","Brasil","São Paulo","Cachoeira Paulista","Fragmento 35 (TAV). Floresta Ombrófila Densa com elementos de Floresta Estacional Semidecidual, área alagável.","-22.6755","-45.0589","-22.6755","-45.0589","Epífita","ESA131351",NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,"36554.0",NA,NA,"517","517",NA,NA,NA
