"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","class","order","year","month","day","locality","occurrenceRemarks","imagecode","typeStatus","preparationType","stateProvince","decimalLongitude","decimalLatitude","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","verbatimLongitude","verbatimLatitude"
"1","2021-03-30 12:35:11-03","EAO","IAN","34710","PreservedSpecimen","Plantae","Dicotiledônea","Asteraceae","Trichocline","maxima","Trichocline maxima","Less.","Sellow, F","1831","Southern America","Brasil","IAN034710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:51:54-03","NBC","NL-BOTANY","L.1584950","PreservedSpecimen","Plantae",NA,"Compositae","Trichocline","maxima","Trichocline maxima","Less.","Sellow F",NA,"Southern America","Brazil","NL-L1584950","Magnoliopsidae","Asterales","1833","01","01","Brasilia.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1584950 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1584950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-10-01 22:54:17-03","MNHN","RECOLNAT_MNHN_P","P00703278","PreservedSpecimen",NA,NA,"Asteraceae","Trichocline","maxima","Trichocline maxima","Less.","Sellow, F.",NA,NA,"Brésil","P00703278",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00703278' target='other'> <mi>dwc_moreinfo</mi></a>","P00703278_01","isotype","hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2014-03-27 20:53:00-03","MO","MOBOT","2516931","PreservedSpecimen","Plantae",NA,"Asteraceae","Trichocline","maxima","Trichocline maxima","Less.","J. Chebataroff","Chebataroff 9112","South America","Uruguay",NA,NA,NA,NA,NA,NA,"Paso de Ataque",NA,NA,NA,NA,"Rivera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-09-04 18:46:36-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Asteraceae","Trichocline","maxima","Trichocline maxima",NA,"F. Sellow","1831","South America","Brazil",NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA
"6","2017-09-11 17:08:31-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Asteraceae","Trichocline","maxima","Trichocline maxima","Less.","Isabelle, A","s.n.","Southern America","Brazil",NA,NA,NA,NA,NA,NA,"Habitat in prov. Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2017-09-11 17:08:31-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Asteraceae","Trichocline","maxima","Trichocline maxima","Less.","Isabelle, A","s.n.","Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2017-09-11 17:08:31-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Asteraceae","Trichocline","maxima","Trichocline maxima","Less.","Sello, HL","s.n.","Southern America","Brazil",NA,NA,NA,NA,NA,NA,"Habitat in prov. Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2017-09-11 17:08:31-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Asteraceae","Trichocline","maxima","Trichocline maxima","Less.","Sello, HL","s.n.","Southern America","Brazil",NA,NA,NA,NA,NA,NA,"Habitat in prov. Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2017-09-11 17:08:31-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Asteraceae","Trichocline","maxima","Trichocline maxima","Less.","Sello, HL","s.n.","Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,"In campis arenosis.; HABITAT: In campis arenosis.",NA,NA,NA,"Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA
