"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","recordNumber","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","infraspecificEpithet","sex"
"1","2021-04-05 14:33:35-03","UNESC","CRI","1505","PreservedSpecimen","Plantae","Lauraceae","Aniba","firmula","Aniba firmula","(Nees & Mart.) Mez","J. B. Baitello","R. Negrelle; C. Londero","1993","03","19","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habito: arbórea","CRI003468","CRI003468",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:23-03","UNESC","CRI","9461","PreservedSpecimen","Plantae","Lauraceae","Aniba","firmula","Aniba firmula","(Nees & Mart.) Mez","M. Verdi","M. Verdi; D. H. Klettenberg & G. Klemz","2010","01","21","Brasil","Santa Catarina","Treviso","Cirenaica.","-49.497222","-28.529167","49º29'50''W","28º31'45''S","197","197","Floresta Ombrófila Densa","CRI003470","CRI003470","2010","03","15","3411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:35-03","UNESC","CRI","9457","PreservedSpecimen","Plantae","Lauraceae","Aniba","firmula","Aniba firmula","(Nees & Mart.) Mez","A. Quinet","L. Sevegnani","1999","01","15","Brasil","Santa Catarina","Ilhota","Morro do Baú.","-48.8275","-26.900278","48º49'39''W","26º54'1''S","11","11","Floresta Ombrófila Densa Habito: árvore","CRI003472","CRI003472","2010","09","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:35-03","UNESC","CRI","1504","PreservedSpecimen","Plantae","Lauraceae","Aniba","firmula","Aniba firmula","(Nees & Mart.) Mez","J. B. Baitello","R. R. B. Negrelle","1993","01","21","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habito: árvore","CRI003467","CRI003467",NA,NA,NA,"682",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:23-03","UNESC","CRI","9511","PreservedSpecimen","Plantae","Lauraceae","Aniba","firmula","Aniba firmula","(Nees & Mart.) Mez","M. Verdi","M. Verdi; A.L. Tomazi & G. Klemz","2009","12","02","Brasil",NA,"Brasil","Estação Cocal.","-49.232222","-28.619167","49º13'56''W","28º37'9''S","50","50","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea","CRI003471","CRI003471","2009","12","02","3329",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:35-03","UNESC","CRI","1506","PreservedSpecimen","Plantae","Lauraceae","Aniba","firmula","Aniba firmula","(Nees & Mart.) Mez","J. B. Baitello","R. R. B. Negrelle; et al.","1992","08","22","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habito: árvore","CRI003469","CRI003469",NA,NA,NA,"313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-08 15:16:31-03","UNESC","CRI","13244","PreservedSpecimen","Plantae","Lauraceae","Aniba","firmula","Aniba firmula","(Nees & Mart.) Mez","M.L. Brotto","Funez, L.A.","2016","01","06","Brasil","Santa Catarina","Rodeio","São Pedro Velho. São Pedro Velho.","-49.4075","-26.923889","49º24'27''W","26º55'26''S","163","163","Habitat: floresta Habito: árvore 5m, flores esverdeadas","CRI011887",NA,"2016","12","08","4954",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:40:11-03","E","E","259401","PreservedSpecimen","Plantae","Lauraceae","Aniba","gardneri","Aniba gardneri",NA,NA,"Gardner, George",NA,NA,NA,"BR","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00259401 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259401",NA,NA,NA,NA,"5156","isotype","E. Tropical South America","herbarium specimen of unspecif","BGBASE:270330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","459719","PreservedSpecimen","Plantae","Lauraceae","Aniba","firmula","Aniba firmula","(Nees & Mart.) Mez","I. de Vattimo","J. G. Kuhlmann","1926","02","22","Brazil","Rio de Janeiro","Rio de Janeiro","Horto Florestal","-43.2075","-22.9031",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470509' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459719","NY00459719_01",NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00894286","PreservedSpecimen","Plantae","Lauraceae","Aniba","firmula","Aniba firmula","(Nees & Mart.) Mez","I. de Vattimo","C. A. W. Schwacke","1894","09",NA,"Brazil","Minas Gerais","Rio Novo",NA,"-43.1253","-21.4578",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983593' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894286","NY00894286_01",NA,NA,NA,"10923",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA
