"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","fieldNumber","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","02642203","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Ctenitis","eriocaulis","Ctenitis eriocaulis","(Fée) Alston","P. H. Labiak E.","4905","2008","07","23","South America","Brazil","Espírito Santo","Cariacica","Trilha da Jaqueira. Floresta Ombrófila Densa Submontana. Reserva Biológica de Duas Bocas","-40.525278","-20.267778","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2964300' target='other'> <mi>dwc_moreinfo</mi></a>","NY02642203","NY02642203_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","678839","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Ctenitis","eriocaulis","Ctenitis eriocaulis","(Fée) Alston","A. C. Brade","19896","1949","05","25","South America","Brazil","Espírito Santo","Cachoeiro de Itapemirim","Fazenda da Pedra Branca.","-41.1128","-20.8492","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=811784' target='other'> <mi>dwc_moreinfo</mi></a>","NY00678839","NY00678839_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","678838","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Ctenitis","eriocaulis","Ctenitis eriocaulis","(Fée) Alston","A. C. Brade","19896","1949","05","25","South America","Brazil","Espírito Santo","Cachoeiro de Itapemirim","Fazenda da Pedra Branca.","-41.1128","-20.8492","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=811696' target='other'> <mi>dwc_moreinfo</mi></a>","NY00678838","NY00678838_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","678840","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Ctenitis","eriocaulis","Ctenitis eriocaulis","(Fée) Alston","A. C. Brade","7599","1914","06","26","South America","Brazil","São Paulo",NA,"Sa. do Itapetinga.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=811786' target='other'> <mi>dwc_moreinfo</mi></a>","NY00678840","NY00678840_01","A. Salino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-01-14 15:27:45-03","MN","R","1235","PreservedSpecimen","Plantae",NA,NA,"Dryopteridaceae","Ctenitis","eriocaulis","Ctenitis eriocaulis","(Fée) Alston",NA,NA,"1881","03",NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"R010045000",NA,"Salino, A.","2001","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-01-14 15:27:45-03","MN","R","1212","PreservedSpecimen","Plantae",NA,NA,"Dryopteridaceae","Ctenitis","eriocaulis","Ctenitis eriocaulis","(Fée) Alston","Giraldi, J.","80","1868","04",NA,NA,"Brasil","Rio de Janeiro","Teresópolis",NA,"-42.9655990600586","-22.4122009277344",NA,NA,"R010045005,R010045003",NA,"Salino, A.","2001","11","38539","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-21 14:52:15-03","UFJF","CESJ","3312","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Dryopteridaceae","Ctenitis","eriocaulis","Ctenitis eriocaulis","(Fée) A.H.G. Alston","L.B. Damazio","s.n.",NA,NA,NA,"América do Sul","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"CESJ003312",NA,"A. Salino","1997","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-19 14:06:33-03","UFRPE","PEUFR","24131","PreservedSpecimen","Plantae",NA,NA,"Dryopteridaceae","Ctenitis","eriocaulis","Ctenitis eriocaulis","Alston","I.CL. Barros; A.C. Souza; A.C. Sacramento; F.F. Melo; A. Marcom","29","1998","05","22",NA,"Brasil","Pernambuco","Maraial","Lagoa dos Gatos","-35.8088989257812","-8.78250026702881",NA,"Terrestre de solo. Herbácea","PEUFR024131",NA,"A. Salino & T.E. Almeida","2006","07","17320","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-09-03 17:13:52-03","MNHN","RECOLNAT_MNHN_P","P00170012","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Ctenitis","eriocaulis","Ctenitis eriocaulis","(Fée) Alston","Weddell, H.A.",NA,"1844",NA,NA,NA,"Brésil",NA,NA,"Minas Geraes",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00170012' target='other'> <mi>dwc_moreinfo</mi></a>","P00170012","P00170012_01","Viveros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-10-18 11:39:59-02","MNHN","RECOLNAT_MNHN_P","P00170023","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Ctenitis","eriocaulis","Ctenitis eriocaulis","(Fée) Alston","Glaziou, A.",NA,"1868","4","6",NA,"Brésil",NA,NA,"Fortaleza de Santa Anna, Rio Janeiro",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00170023' target='other'> <mi>dwc_moreinfo</mi></a>","P00170023","P00170023_01","Viveros",NA,NA,NA,NA,"2369",NA,NA,NA,NA,NA,NA,NA,NA
