"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","decimalLongitude","decimalLatitude","identifiedBy","coordinatePrecision","maximumElevationInMeters","geoFlag","class","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","imagecode","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","04167319","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Blechnaceae","Austroblechnum","squamipes","Austroblechnum squamipes","(Hieron.) Gasper & V.Dittrich","H. Huaylla Limachi","1510","2004","11","10","South America","Bolivia","Tarija","Aniceto Arce","Municipio Padcaya. Reserva Nacional de Flora y Fauna Tariquía. Bajando de La Cumbre hacia Potreross.","2550","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4490725' target='other'> <mi>dwc_moreinfo</mi></a>","NY04167319",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","04167318","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Blechnaceae","Austroblechnum","squamipes","Austroblechnum squamipes","(Hieron.) Gasper & V.Dittrich","I. Jiménez-Pérez","2379","2004","06","09","South America","Bolivia","Tarija","Aniceto Arce","Reserva Natural de Flora y Fauna Tariquía, campamento Alisos; río Escalera, al inicio de la senda al Nogal","1860","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4490724' target='other'> <mi>dwc_moreinfo</mi></a>","NY04167318","-64.57","-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:21:13-03","ESALQ","ESA","55048","PreservedSpecimen","Plantae","Pteridophyta",NA,"Blechnaceae","Blechnum","squamipes","Blechnum squamipes",NA,"Salino, A.","11979.0","2007","04","04",NA,"Brasil","Santa Catarina","Urupema","Fazenda Farofa, trilha do meio antes do campo drenado, em direçao ao campo de altitude","1535",NA,"Terrestre, interior de mata.","ESA055048","-49.8731002807617","-27.9528007507324","Dittrich, V.A.O.","23096","1535","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-27 13:34:39-03","IAP","PACA-AGP","73719","PreservedSpecimen","Plantae","Não Informado","Não Informado","Blechnaceae","Blechnum","mochaenum","Blechnum mochaenum var. squamipes","(Hieron.) de la Sota","Sehnem, A.",NA,"1970","05","02",NA,"Brasil","RS","Cambará do Sul","Fortaleza - Aparados da Serra",NA,NA,"Habitat: ad rupem in declivio Hábito: rupícola","PACA073719","-50.1446990966797","-29.0478000640869","C. Kazmirczak","30776",NA,"auto","Não Informado","var. squamipes",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-08-27 13:34:39-03","IAP","PACA-AGP","73720","PreservedSpecimen","Plantae","Não Informado","Não Informado","Blechnaceae","Blechnum","mochaenum","Blechnum mochaenum var. squamipes","(Hieron.) de la Sota","Sehnem, A.",NA,"1959","02","27",NA,"Brasil","RS","São Francisco de Paula","Taimbe",NA,NA,"confirmado por V.A.O. Dittrich em 01.2006 como&nf;B.mochaenum Kunkel var squamipes (Hieron.) de la Sota Habitat: ad rupes in taimbe","PACA073720","-50.5835990905762","-29.4480991363525","C. Kazmirczak","76715",NA,"auto","Não Informado","var. squamipes","1998","10",NA,NA,NA,NA,NA,NA
"6","2019-08-27 13:34:39-03","IAP","PACA-AGP","73721","PreservedSpecimen","Plantae","Não Informado","Não Informado","Blechnaceae","Blechnum","mochaenum","Blechnum mochaenum var. squamipes","(Hieron.) de la Sota","Sehnem, A.",NA,"1956","02","13",NA,"Brasil","RS","São Francisco de Paula","Taimbe","800",NA,"Habitat: ad rupes taimbe","PACA073721","-50.5835990905762","-29.4480991363525","V.A. de O. Dittrich","76715","800","auto","Não Informado","var. squamipes","2006","01",NA,NA,NA,NA,NA,NA
"7","2019-08-27 13:34:39-03","IAP","PACA-AGP","87986","PreservedSpecimen","Plantae","Não Informado","Não Informado","Blechnaceae","Blechnum","mochaenum","Blechnum mochaenum var. squamipes","(Hieron.) de la Sota","Windisch, P. G.",NA,"2000","11","19",NA,"Brasil","RS","Canela","Parque da Ferradura.",NA,NA,"Habitat: Mata de encosta.","PACA087986","-50.815601348877","-29.3656005859375","C. R. Lehn","16452",NA,"auto","Não Informado","var. squamipes","2002","12","04",NA,NA,NA,NA,NA
"8","2019-08-27 13:34:39-03","IAP","PACA-AGP","87987","PreservedSpecimen","Plantae","Não Informado","Não Informado","Blechnaceae","Blechnum","mochaenum","Blechnum mochaenum var. squamipes","(Hieron.) de la Sota","T. Falavigna",NA,NA,NA,NA,NA,"Brasil","RS","Canela","Parque da Ferradura.",NA,NA,NA,"PACA087987","-50.815601348877","-29.3656005859375","C. R. Lehn","16452",NA,"auto","Não Informado","var. squamipes",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-21 14:51:33-03","UFJF","CESJ","67923","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Blechnaceae","Austroblechnum","squamipes","Austroblechnum squamipes","(Hieron.) Gasper & V.A.O. Dittrich","A. Salino; et al.","12036","2007","04","10","América do Sul","Brasil","Santa Catarina","Urubici","Parque Nacional de São Joaquim, Morro da igreja.","1680",NA,"Terrestre. Interior de Mata Nebular.","CESJ067923","-49.477778","-28.122611","V.A.O. Dittrich",NA,"1680",NA,NA,NA,"2017","09",NA,"-49.477778","-28.122611",NA,NA,NA
"10","2020-07-02 19:03:31-03","UFJF","CESJ","70242","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Blechnaceae","Austroblechnum","squamipes","Austroblechnum squamipes","(Hieron.) Gasper & V.A.O. Dittrich","F. Gonzatti","3130",NA,NA,NA,"América do Sul","Brasil","Rio Grande do Sul","São José dos Ausentes","Pico Monte Negro, rotas do entorno","1247",NA,NA,"CESJ070242","-49.813361","-28.626917","F. Gonzatti",NA,"1247",NA,NA,NA,NA,NA,NA,"-49.813361","-28.626917",NA,NA,NA
"11","2020-07-02 19:03:31-03","UFJF","CESJ","70243","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Blechnaceae","Austroblechnum","squamipes","Austroblechnum squamipes","(Hieron.) Gasper & V.A.O. Dittrich","F. Gonzatti","3152",NA,NA,NA,"América do Sul","Brasil","Santa Catarina","São Joaquim","Campos de Santa Bárbara, Morro do Baú","1605",NA,NA,"CESJ070243","-49.739361","-28.519333","F. Gonzatti",NA,"1605",NA,NA,NA,"2017","09",NA,"-49.739361","-28.519333",NA,NA,NA
"12","2020-10-14 09:59:46-03","FURB","FURB","35516","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Austroblechnum","squamipes","Austroblechnum squamipes","(Hieron.) Gasper & V.A.O. Dittrich","Salino, A.; Almeida, T.E. & Gasper, A.L. de","14737","2010","04","08",NA,"Brasil","Santa Catarina","Bom Jardim da Serra","Morro da Igreja.",NA,NA,"caule com estolho Habitat: Matinha nebular; interior do fragmento Habito: erva terrícola;","FURB00056","-49.48","-28.1233334","Gasper, A.L. de",NA,NA,NA,NA,NA,"2016","10","07","-49.4800000","-28.1233334","FURB00056",NA,NA
"13","2020-10-14 09:59:46-03","FURB","FURB","36743","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Austroblechnum","squamipes","Austroblechnum squamipes","(Hieron.) Gasper & V.A.O. Dittrich","Gasper, A.L. de; Salino, A. & Meyer, L.","2959","2011","11","13",NA,"Brasil","Santa Catarina","Urubici","RPPN Leão da Montanha.",NA,NA,"Local úmido Coleta Extra IFFSC (Rupícola) Habitat: Floresta Ombrófila Mista; Estágio Avançado; paredão rochoso Habito: rupícola;","FURB00047","-49.5917015075684","-28.0149993896484","Gasper, A.L. de","30102",NA,"auto",NA,NA,"2016","10","07",NA,NA,"FURB00047",NA,NA
"14","2021-03-16 17:56:33-03","UCS","HUCS","46278","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Blechnaceae","Austroblechnum","squamipes","Austroblechnum squamipes","(Hieron.) Gasper & V.A.O. Dittrich","Gonzatti, F.","3152","2016","12","11",NA,"Brasil","Santa Catarina","São Joaquim","Campos de Santa Bárbara, Morro do Baú","1605",NA,"erva rosetada ertera, em sub-bosquesw mata mista","HUCS000667","-49.739361","-28.519333","Gonzatti, F.",NA,"1605",NA,NA,NA,"2017","09",NA,"-49.739361","-28.519333","HUCS000667",NA,NA
"15","2021-03-16 17:56:33-03","UCS","HUCS","46277","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Blechnaceae","Austroblechnum","squamipes","Austroblechnum squamipes","(Hieron.) Gasper & V.A.O. Dittrich","Gonzatti, F.","3130","2016","12","10",NA,"Brasil","Rio Grande do Sul","São José dos Ausentes","Pico Monte Negro, rotas do entorno","1247",NA,"erva terrícola, caule ereto. Em subbosque de mata nebulosa","HUCS000794","-49.813361","-28.626917","Gonzatti, F.",NA,"1247",NA,NA,NA,NA,NA,NA,"-49.813361","-28.626917","HUCS000794",NA,NA
"16","2020-12-21 16:18:40-03","MBM","MBM","106452","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Blechnum","mochaenum","Blechnum mochaenum squamipes","(Hieron.) de la Sota","Sehnem, A.","6798","1956","02","13","Southern America","Brazil","Rio Grande do Sul","São Francisco de Paula","Taimbé",NA,NA,"Reg. errado","MBM106452","-50.5835990905762","-29.4480991363525","Kazmirczak, C.; Dittrich, V.A.","76715",NA,"auto",NA,"squamipes",NA,NA,NA,NA,NA,"MBM106452",NA,NA
"17","2014-11-13 10:55:30-02","MNHN","RECOLNAT_MNHN_P","P00627598","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Blechnum","mochaenum","Blechnum mochaenum squamipes","(Hieron.) de la Sota","Hieronymus, G.",NA,"1878","12","3",NA,"Argentine",NA,NA,"Quebrada del Chorro al Este de los Gigantes ; Sierra Achala de Cordoba",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00627598' target='other'> <mi>dwc_moreinfo</mi></a>","P00627598",NA,NA,"de la Sota",NA,NA,NA,NA,"squamipes",NA,NA,NA,NA,NA,"P00627598_01","33",NA
