"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","617666","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Eryngium","zosterifolium","Eryngium zosterifolium","H.Wolff","L. Constance","R. Reitz","8171","1959","01","13","South America","Brazil","Santa Catarina","Sao Joaquim","Fazenda da Laranja, Bom Jardim, Sao Joaquim","-49.9317","-28.2942","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=732961' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617666","NY00617666_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","617665","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Eryngium","zosterifolium","Eryngium zosterifolium","H.Wolff","T. M. Pedersen","T. M. Pedersen","13808","1984","03","10","South America","Brazil","Santa Catarina","Lauro Muller","Serra do Rio do Rastro, near the edge of the plateau above, by the monument for Irene Bornhausen","-49.3967","-28.3931",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=732962' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617665","NY00617665_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","617498","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Eryngium","zosterifolium","Eryngium zosterifolium","H.Wolff","D. Lucas","M. Sobral","4786","1986","01",NA,"South America","Brazil","Santa Catarina",NA,"Desfiladeiro do Funil, Bom Jardim da Serra",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=59753' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617498",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:43:55-03","NBC","NL-BOTANY","L.4222097","PreservedSpecimen","Plantae",NA,"Apiales","Umbelliferae","Eryngium","zosterifolium","Eryngium zosterifolium","H.Wolff",NA,"Pedersen TM",NA,"1984","03","10","Southern America","Brazil",NA,NA,"Santa Catarina, mun. Lauro Muller: Serra do Rio do Rastro, near the edge of the plateau above, by the monument for Ireneu Bornhausen.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4222097 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4222097","NL-L4222097","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:43:55-03","NBC","NL-BOTANY","WAG.1182521","PreservedSpecimen","Plantae",NA,"Apiales","Umbelliferae","Eryngium","zosterifolium","Eryngium zosterifolium","H.Wolff",NA,"Pedersen TM",NA,"1984","03","10","Southern America","Brazil",NA,NA,"Santa Catarina, mun. Lauro Muller: Serra do Rio do Rastro, near the edge of the plateau above, by the monument for Ireneu Bornhausen.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1182521 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1182521","NL-WAG1182521","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-27 13:33:47-03","IAP","PACA-AGP","32421","PreservedSpecimen","Plantae","Magnoliophyta","Umbellales","Umbelliferae","Eryngium","zosterifolium","Eryngium zosterifolium","H. Wolff","Emrich-Rambo","Rambo, B.",NA,"1946","02","28",NA,"Brasil","RS","Bom Jesus","Serra da Rocinha","-50.4166984558105","-28.6678009033203",NA,NA,NA,"VULNERÁVEL&nf;fl. Habitat: in turfosis graminosis Fenofase: flor","PACA032421",NA,"Magnoliatae","1954","09","24","55856","auto",NA,NA,NA,NA,NA
"7","2019-08-27 13:33:47-03","IAP","PACA-AGP","45475","PreservedSpecimen","Plantae","Magnoliophyta","Umbellales","Umbelliferae","Eryngium","zosterifolium","Eryngium zosterifolium","H. Wolff","Emrich-Rambo","Rambo, B.",NA,"1950","01","18",NA,"Brasil","RS","Bom Jesus","Serra da Rocinha","-50.4166984558105","-28.6678009033203",NA,NA,NA,"VULNERÁVEL&nf;fl. Habitat: in paludosis alte dumetosis Fenofase: flor","PACA045475",NA,"Magnoliatae","1955","12","19","55856","auto",NA,NA,NA,NA,NA
"8","2019-08-27 13:33:50-03","IAP","PACA-AGP","86331","PreservedSpecimen","Plantae","Magnoliophyta","Umbellales","Umbelliferae","Eryngium","zosterifolium","Eryngium zosterifolium","H. Wolff","B. Irgang","Sehnem, A.","4258a","1950","01","19",NA,"Brasil","RS","Bom Jesus","Serra da Rocinha","-50.4166984558105","-28.6678009033203","1000","1000",NA,"VULNERÁVEL&nf;altit. 1000 m. Habitat: in campo","PACA086331",NA,"Magnoliatae","1973",NA,NA,"55856","auto",NA,NA,NA,NA,NA
"9","2019-08-27 13:33:47-03","IAP","PACA-AGP","36768","PreservedSpecimen","Plantae","Magnoliophyta","Umbellales","Umbelliferae","Eryngium","zosterifolium","Eryngium zosterifolium","H. Wolff","Emrich-Rambo","Rambo, B.",NA,"1944","08","24",NA,"Brasil","RS","Cambará do Sul",NA,"-50.1446990966797","-29.0478000640869",NA,NA,NA,"VULNERÁVEL&nf;fl. fr. Habitat: in humidis graminosis Fenofase: flor e fruto","PACA036768",NA,"Magnoliatae","1948","02",NA,"30776","auto",NA,NA,NA,NA,NA
"10","2019-08-27 13:33:47-03","IAP","PACA-AGP","32146","PreservedSpecimen","Plantae","Magnoliophyta","Umbellales","Umbelliferae","Eryngium","zosterifolium","Eryngium zosterifolium","H. Wolff","Emrich-Rambo","Rambo, B.",NA,"1946","02","14",NA,"Brasil","RS","São Francisco de Paula","Serra do Fachinal","-50.5835990905762","-29.4480991363525",NA,NA,NA,"VULNERÁVEL&nf;fl. fr. Habitat: in turfosis graminosis Fenofase: flor e fruto","PACA032146",NA,"Magnoliatae","1954","09","24","76715","auto",NA,NA,NA,NA,NA
"11","2019-08-27 13:33:47-03","IAP","PACA-AGP","4373","PreservedSpecimen","Plantae","Magnoliophyta","Umbellales","Umbelliferae","Eryngium","zosterifolium","Eryngium zosterifolium","H. Wolff","Emrich-Rambo","Rambo, B.",NA,"1941","02","07",NA,"Brasil","RS","Taimbezinho",NA,NA,NA,NA,NA,NA,"VULNERÁVEL&nf;fl. Habitat: in humidis graminosis Fenofase: flor","PACA004373",NA,"Magnoliatae","1954","09","24",NA,NA,NA,NA,NA,NA,NA
"12","2019-08-27 13:33:47-03","IAP","PACA-AGP","45517","PreservedSpecimen","Plantae","Magnoliophyta","Umbellales","Umbelliferae","Eryngium","zosterifolium","Eryngium zosterifolium","H. Wolff","Emrich-Rambo","Rambo, B.",NA,"1950","01","30",NA,"Brasil","RS","Taimbezinho",NA,NA,NA,NA,NA,NA,"VULNERÁVEL&nf;fl. Habitat: in humidis graminosis Fenofase: flor","PACA045517",NA,"Magnoliatae","1954","09","24",NA,NA,NA,NA,NA,NA,NA
"13","2019-08-27 13:33:47-03","IAP","PACA-AGP","50116","PreservedSpecimen","Plantae","Magnoliophyta","Umbellales","Umbelliferae","Eryngium","zosterifolium","Eryngium zosterifolium","H. Wolff","Emrich-Rambo","Rambo, B.",NA,"1951","02","21",NA,"Brasil","RS","Taimbezinho",NA,NA,NA,NA,NA,NA,"VULNERÁVEL&nf;fl. Habitat: in humidis graminosis Fenofase: flor","PACA050116",NA,"Magnoliatae","1954","09","24",NA,NA,NA,NA,NA,NA,NA
"14","2019-08-27 13:33:47-03","IAP","PACA-AGP","54036","PreservedSpecimen","Plantae","Magnoliophyta","Umbellales","Umbelliferae","Eryngium","zosterifolium","Eryngium zosterifolium","H. Wolff","Emrich-Rambo","Rambo, B.",NA,"1953","02","20",NA,"Brasil","RS","Taimbezinho",NA,NA,NA,NA,NA,NA,"VULNERÁVEL&nf;fl. Habitat: in humidis graminosis Fenofase: flor","PACA054036",NA,"Magnoliatae","1954","09","24",NA,NA,NA,NA,NA,NA,NA
