"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","country","stateProvince","individualCount","occurrenceRemarks","class","typeStatus","recordedBy","recordNumber","year","continentOcean","locality","barcode","imagecode"
"1","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","443","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","aff. doeringiana","Neoregelia aff. doeringiana","L.B.Sm.","Elton. C. M. Leme","2011","08","Brasil","Paraná","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-12 05:00:02-03","US","US","2320671","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Neoregelia","doeringiana","Neoregelia doeringiana","L.B. Sm.",NA,NA,NA,"Brazil","São Paulo","1",NA,"Monocotyledonae","Holotype","W. Doering","7","1960","South America - Neotropics","Sao Vicente.","US00091351","US00091351_01"
