"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","day","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","595090","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.","R. P. Wunderlin","A. F. M. Glaziou","s.n.","1882","10","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=184340' target='other'> <mi>dwc_moreinfo</mi></a>","NY00595090","NY00595090_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00958209","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.","J. W. Grimes","H. S. Irwin","17733","1966","06","South America","Brazil","Goiás","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021949' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958209","NY00958209_01","26","Caiapônia","Córrego d'Anta, ca. 40 km. S. of Caiapônia, road to Jataí. Serra do Caiapó.","-51.8","-17.25","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00958235","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.","J. W. Grimes","G. G. Hatschbach","30301","1972","04","South America","Brazil","Mato Grosso do Sul","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022030' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958235","NY00958235_01","17","Miranda","Rod. Br. 262, prox. ao rio Miranda","-56.3781","-20.2408",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1135149","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.",NA,"J. M. Pires","51053",NA,NA,"South America","Brazil","Amapá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1372528' target='other'> <mi>dwc_moreinfo</mi></a>","NY01135149","NY01135149_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00958262","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.",NA,"B. A. S. Pereira","2536","1993","09","South America","Brazil","Maranhão","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022174' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958262","NY00958262_01","07","Santa Quitéria","Fazenda Marflora",NA,NA,"80","80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","595086","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.",NA,"G. G. Hatschbach","7410","1960","11","South America","Brazil","Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=184343' target='other'> <mi>dwc_moreinfo</mi></a>","NY00595086","NY00595086_01","03","Guaratuba","Pedra Branca de Araraquara","-48.90806","-25.93389",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1135188","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.",NA,"G. P. Lewis","1426",NA,NA,"South America","Brazil","Roraima","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1370508' target='other'> <mi>dwc_moreinfo</mi></a>","NY01135188","NY01135188_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00958220","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.",NA,"J. M. Pires","56880","1963","09","South America","Brazil","Mato Grosso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022095' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958220","NY00958220_01","28","Cuiabá","50 km from Cuiaba, road to Rondonopolis","-56.0967","-15.5961","170","170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1135163","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.","A. M. S. da F. Vaz","G. T. Prance","5655","1968","07","South America","Brazil","Rondônia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1373459' target='other'> <mi>dwc_moreinfo</mi></a>","NY01135163","NY01135163_01","05",NA,"Road to Cassiterite Mines in Serra dos Tres Irmãos, north bark of Rio Madeira, 8 km above Mutumparaná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1135187","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","ungulata","Bauhinia ungulata","L.","R. P. Wunderlin","G. T. Prance","4132","1967","01","South America","Brazil","Roraima","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1373449' target='other'> <mi>dwc_moreinfo</mi></a>","NY01135187","NY01135187_01","27",NA,"Rio Apiaú, 20 Km from mouth. Bank of river.","-61.4163637","2.7065648",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
