"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","459687","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aiouea","acarodomatifera","Aiouea acarodomatifera","Kosterm.","I. de Vattimo","R. M. Klein","1659","1955","10","07","South America","Brazil","Santa Catarina","Itajaí","Morro da Fazenda","-48.6617","-26.9081","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=734065' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459687","NY00459687_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","459685","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aiouea","acarodomatifera","Aiouea acarodomatifera","Kosterm.","I. de Vattimo","R. M. Klein","1432","1955","06","24","South America","Brazil","Santa Catarina","Itajaí","Morro da Fazenda","-48.6617","-26.9081","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=734063' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459685","NY00459685_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02423602","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aiouea","acarodomatifera","Aiouea acarodomatifera","Kosterm.",NA,"M. L. Brotto","764","2011","08","28","South America","Brazil","Paraná","Quatro Barras","Serra da Farinha Seca, pico Mãe Catira","-48.908164","-25.343642","1130",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2669365' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423602","NY02423602_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","459689","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aiouea","acarodomatifera","Aiouea acarodomatifera","Kosterm.","I. de Vattimo","R. M. Klein","1710","1955","10","14","South America","Brazil","Santa Catarina","Itajaí","Morro da Ressacada","-48.6617","-26.9081","30","30","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=734062' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459689","NY00459689_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1039636","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aiouea","acarodomatifera","Aiouea acarodomatifera","Kosterm.","M. L. Brotto","M. L. Brotto","220","2009","10","21","South America","Brazil","Paraná","Quatro Barras","Parque Estadual Serra da Baitaca.","-49.0183","-25.38","960",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1488658' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039636","NY01039636_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1039644","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aiouea","acarodomatifera","Aiouea acarodomatifera","Kosterm.","M. L. Brotto","M. L. Brotto","278","2009","01","22","South America","Brazil","Paraná","Quatro Barras","Parque Estadual Serra da Baitaca.","-49.0183","-25.38","960",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1488677' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039644","NY01039644_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","459686","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aiouea","acarodomatifera","Aiouea acarodomatifera","Kosterm.","I. de Vattimo","R. M. Klein","1432","1955","06","24","South America","Brazil","Santa Catarina","Itajaí","Morro da Fazenda","-48.6617","-26.9081","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=734064' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459686","NY00459686_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02423601","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aiouea","acarodomatifera","Aiouea acarodomatifera","Kosterm.",NA,"M. L. Brotto","765","2011","08","28","South America","Brazil","Paraná","Quatro Barras","Serra da Farinha Seca, pico Mãe Catira","-48.90945","-25.337819","960",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2669362' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423601","NY02423601_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1104817","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aiouea","acarodomatifera","Aiouea acarodomatifera","Kosterm.",NA,"G. M. Nunes","201","1935",NA,NA,"South America","Brazil","Rio de Janeiro",NA,"G. Portella, Monte Sinai",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1295411' target='other'> <mi>dwc_moreinfo</mi></a>","NY01104817","NY01104817_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","459688","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aiouea","acarodomatifera","Aiouea acarodomatifera","Kosterm.","I. de Vattimo","R. M. Klein","1710","1955","10","14","South America","Brazil","Santa Catarina","Itajaí","Morro da Ressacada","-48.6617","-26.9081","30","30","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=734061' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459688","NY00459688_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
