"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","order","recordNumber","continentOcean","preparationType","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","verbatimLongitude","verbatimLatitude","sex","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"1","2021-04-05 14:25:06-03","UNESC","CRI","12448","PreservedSpecimen","Plantae","Capparaceae","Cynophalla","flexuosa","Cynophalla flexuosa","(L.) J.Presl","Aline Votri Guislon & Peterson T. Padilha","2017","07","18","Alexandre Medeiros","2017","04","20","Brasil","Santa Catarina","Balneário Camboriú","Praia do Estaleiro.","-48.6347007751465","-26.9906005859375","8793","Coleta 123. Habito: Arbustivo","CRI010655","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:06-03","UNESC","CRI","12715","PreservedSpecimen","Plantae","Capparaceae","Cynophalla","flexuosa","Cynophalla flexuosa","(L.) J.Presl","Aline Votri Guislon & Renato colares","2017","09","18","Alexandre Medeiros","2017","06","11","Brasil","Santa Catarina","Balneário Camboriú","Taquarinhas.","-48.6347007751465","-26.9906005859375","8793","Coleta 476. Flor branca.","CRI010929","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:06-03","UNESC","CRI","12510","PreservedSpecimen","Plantae","Capparaceae","Cynophalla","flexuosa","Cynophalla flexuosa","(L.) J.Presl","Aline Votri Guislon & Renato colares","2017","08","01","Alexandre Medeiros","2017","05","28","Brasil","Santa Catarina","Balneário Camboriú","Estaleiro.","-48.6347007751465","-26.9906005859375","8793","Coleta 384. Habito: Arbustivo","CRI010717","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00387620","PreservedSpecimen","Plantae","Capparaceae","Capparis","amazonica","Capparis amazonica","Iltis","H. H. Iltis",NA,NA,NA,"D. C. Daly","1981","11","14","Brazil","Pará",NA,"Approx. 25 km from Tucurui, SW on new road serving fazendas. Road construction site.","-49.7234774","-3.9700079",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=632572' target='other'> <mi>dwc_moreinfo</mi></a>","NY00387620",NA,"Magnoliophyta","Brassicales","1341","South America","sheet","NY00387620_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00230248","PreservedSpecimen","Plantae","Capparaceae","Capparis","flexuosa","Capparis flexuosa","(L.) L.","M. H. Nee",NA,NA,NA,"M. H. Nee","1998","01","03","Bolivia","Santa Cruz","Florida","6 km (by air) SSW of Mairana, Quebrada Los Cántaros","-63.97","-18.17",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=760627' target='other'> <mi>dwc_moreinfo</mi></a>","NY00230248",NA,"Magnoliophyta","Brassicales","47774","South America","sheet",NA,"1350","1350",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2265547","PreservedSpecimen","Plantae","Capparaceae","Capparis","flexuosa","Capparis flexuosa","(L.) L.",NA,NA,NA,NA,"G. A. Black","1950","11","03","Brazil","Pará",NA,"Morro de Óbides",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2426512' target='other'> <mi>dwc_moreinfo</mi></a>","NY02265547",NA,"Magnoliophyta","Brassicales","50-10509","South America","sheet","NY02265547_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00486725","PreservedSpecimen","Plantae","Capparaceae","Capparis","flexuosa","Capparis flexuosa amazonica","(L.) Iltis","H. H. Iltis",NA,NA,NA,"S. R. Lowrie","1980","10","01","Brazil","Acre",NA,"35 km from Río Branco on Río Branco-Santa Rosa road.",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=88981' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486725",NA,"Magnoliophyta","Brassicales","306","South America","sheet","NY00486725_01",NA,NA,"amazonica",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00486723","PreservedSpecimen","Plantae","Capparaceae","Capparis","flexuosa","Capparis flexuosa amazonica","(L.) Iltis","H. H. Iltis",NA,NA,NA,"H. H. Rusby","1886","08",NA,"Bolivia","El Beni",NA,"Junction of Rivers Beni and Madre de Dios","-66.0886","-10.9903",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=88982' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486723",NA,"Magnoliophyta","Brassicales","1291","South America","sheet",NA,NA,NA,"amazonica",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2265544","PreservedSpecimen","Plantae","Capparaceae","Capparis","flexuosa","Capparis flexuosa","(L.) L.",NA,NA,NA,NA,"S. A. da M. Souza","1987","02","11","Brazil","Pará","Altamira","Rio Xingu, canal da Boa Esperança, morro do Bandeira.","-52.2064","-3.20333",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2426509' target='other'> <mi>dwc_moreinfo</mi></a>","NY02265544",NA,"Magnoliophyta","Brassicales","1192","South America","sheet","NY02265544_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2265546","PreservedSpecimen","Plantae","Capparaceae","Capparis","flexuosa","Capparis flexuosa","(L.) L.",NA,NA,NA,NA,"J. Jangoux","1981","11","23","Brazil","Pará",NA,"Tocantins River, between Marabá and Tucurui, 1 1/2 hours downstream by diesel boat from Itupiranga. Area to be flooded by Tucurui dam.","-49.33","-5",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2426511' target='other'> <mi>dwc_moreinfo</mi></a>","NY02265546",NA,"Magnoliophyta","Brassicales","1698","South America","sheet","NY02265546_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00486836","PreservedSpecimen","Plantae","Capparaceae","Capparis","flexuosa","Capparis flexuosa","(L.) L.",NA,NA,NA,NA,"M. C. Tschá","1995","12","27","Brazil","Pernambuco","Bezerros","Parque ecológico de Serra Negra","-35.8167","-8.2",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=760635' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486836",NA,"Magnoliophyta","Brassicales","434","South America","sheet","NY00486836_01","471","471",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","2265548","PreservedSpecimen","Plantae","Capparaceae","Capparis","flexuosa","Capparis flexuosa","(L.) L.",NA,NA,NA,NA,"J. J. Strudwick","1981","07","31","Brazil","Pará",NA,"Ca. 23 km upstream from Lageira airstrip","-54.43","-0.92",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2426513' target='other'> <mi>dwc_moreinfo</mi></a>","NY02265548",NA,"Magnoliophyta","Brassicales","3810","South America","sheet","NY02265548_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","2265542","PreservedSpecimen","Plantae","Capparaceae","Capparis","flexuosa","Capparis flexuosa","(L.) L.",NA,NA,NA,NA,"S. A. da M. Souza","1986","11","26","Brazil","Pará","Altamira","Travessão do CNEC, Dique 13.","-52.2064","-3.20333",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2426507' target='other'> <mi>dwc_moreinfo</mi></a>","NY02265542",NA,"Magnoliophyta","Brassicales","536","South America","sheet","NY02265542_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","01034319","PreservedSpecimen","Plantae","Capparaceae","Capparis","flexuosa","Capparis flexuosa","(L.) L.","E. Cottier",NA,NA,NA,"A. C. Cervi","1995","02","17","Brazil","Alagoas","Quebrangulo","Reserva Biológica de Pedra Talhada","-36.42","-9.25",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1250788' target='other'> <mi>dwc_moreinfo</mi></a>","NY01034319",NA,"Magnoliophyta","Brassicales","CA7389","South America","sheet","NY01034319_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","2265545","PreservedSpecimen","Plantae","Capparaceae","Capparis","flexuosa","Capparis flexuosa","(L.) L.",NA,NA,NA,NA,"R. de Lemos Fróes","1948","09","24","Brazil","Pará",NA,"Tucuruhy. Rio Tocantins.",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2426510' target='other'> <mi>dwc_moreinfo</mi></a>","NY02265545",NA,"Magnoliophyta","Brassicales","23521","South America","sheet","NY02265545_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00485191","PreservedSpecimen","Plantae","Capparaceae","Capparis","flexuosa","Capparis flexuosa","(L.) L.",NA,NA,NA,NA,"L. P. de Queiroz","1987","11","03","Brazil","Bahia","Barreiras","As margens do Rio do Ondas, próximo à cidade de Barreiras","-45","-12.1531",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=760638' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485191",NA,"Magnoliophyta","Brassicales","2133","South America","sheet","NY00485191_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","2265543","PreservedSpecimen","Plantae","Capparaceae","Capparis","flexuosa","Capparis flexuosa","(L.) L.",NA,NA,NA,NA,"S. A. da M. Souza","1987","02","05","Brazil","Pará","Altamira","Rio Xingu, Morro do Porcão.","-52.2064","-3.20333",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2426508' target='other'> <mi>dwc_moreinfo</mi></a>","NY02265543",NA,"Magnoliophyta","Brassicales","1066","South America","sheet","NY02265543_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00486726","PreservedSpecimen","Plantae","Capparaceae","Capparis","flexuosa","Capparis flexuosa amazonica","(L.) Iltis","H. H. Iltis",NA,NA,NA,"R. de Lemos Fróes","1942","11","04","Brazil","Bahia","Itambé","Rasta Rama","-40.6242","-15.245",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=88983' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486726",NA,"Magnoliophyta","Brassicales","12652/18","South America","sheet","NY00486726_01",NA,NA,"amazonica",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00486724","PreservedSpecimen","Plantae","Capparaceae","Capparis","flexuosa","Capparis flexuosa amazonica","(L.) Iltis","H. H. Iltis",NA,NA,NA,"J. Jangoux","1978","12","17","Brazil","Maranhão","Açailândia","Estrada BR 222, entre Santa Inês e Açailândia, a 281 km de Santa Inês","-47.17","-4.75",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=88979' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486724",NA,"Magnoliophyta","Brassicales","544","South America","sheet","NY00486724_01","30","30","amazonica",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","01031674","PreservedSpecimen","Plantae","Capparaceae","Cynophalla","flexuosa","Cynophalla flexuosa","(L.) J.Presl",NA,NA,NA,NA,"A. B. Anderson","1985","03","20","Brazil","Maranhão","Lago Verde","Fazenda São Francisco, estrada Alto Alegre-Lago Verde km 9.","-44.8219","-3.9572",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1185241' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031674",NA,"Magnoliophyta","Brassicales","2017","South America","sheet","NY01031674_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","01031625","PreservedSpecimen","Plantae","Capparaceae","Cynophalla","flexuosa","Cynophalla flexuosa","(L.) J.Presl",NA,NA,NA,NA,"R. de Lemos Fróes","1932","08","30","Brazil","Maranhão","Cândido Mendes","Ilha do Trauira. Maracassumé River Region.","-45.5592889","-1.2143892",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1184370' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031625",NA,"Magnoliophyta","Brassicales","1826","South America","sheet","NY01031625_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
